
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending November 2, 2002 (WEEK 44)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis cummulative for 2002
Shigellosis cummulative for 2001
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2001
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2001
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2001

tab delimited data:
test
UNITED STATES	15,473	16,389	3,480	3,128	2,000	2,212	217	358													
NEW ENGLAND	280	273	165	194	18	107	3	38													
Maine	10	6	20	10	-	-	-	-													
N.H.	11	6	34	N	-	-	N	N													
Vt.	1	7	9	14	5	7	2	1													
Mass.	168	192	87	58	N	N	N	N													
R.I.	16	17	15	12	13	4	1	3													
Conn.	74	45	-	100	-	96	-	34													
MID. ATLANTIC	1,155	1,330	564	581	94	142	59	91													
Upstate N.Y.	259	428	259	233	81	135	58	91													
N.Y. City	355	365	133	156	U	U	U	U													
N.J.	332	251	118	119	N	N	N	N													
Pa.	209	286	54	73	13	7	1	-													
E.N. CENTRAL	1,540	3,784	604	703	195	155	90	110													
Ohio	558	2,508	189	177	49	1	14	-													
Ind.	86	190	45	56	141	154	51	51													
Ill.	600	530	105	225	2	-	-	59													
Mich.	156	275	265	194	3	-	N	N													
Wis.	140	281	-	51	N	N	25	-													
W.N. CENTRAL	895	1,673	213	322	411	131	49	53													
Minn.	194	378	108	143	292	58	49	44													
Iowa	111	335	-	-	N	N	N	N													
Mo.	165	284	42	68	5	9	-	-													
N. Dak.	17	21	-	17	1	6	-	9													
S. Dak.	150	507	12	11	1	3	-	-													
Nebr.	179	81	18	35	29	19	N	N													
Kans.	79	67	33	48	83	36	N	N													
S. ATLANTIC	5,653	2,303	709	514	1,059	1,175	7	5													
Del.	258	14	2	4	3	6	N	N													
Md.	1,007	136	121	N	N	N	N	N													
D.C.	48	52	7	21	48	5	1	3													
Va.	824	325	68	69	N	N	N	N													
W. Va.	9	8	19	18	37	37	6	2													
N.C.	381	309	112	133	N	N	U	U													
S.C.	105	232	34	10	169	242	N	N													
Ga.	1,310	411	149	163	267	359	N	N													
Fla.	1,711	816	197	96	535	526	N	N													
E.S. CENTRAL	1,226	1,482	99	104	117	214	-	-													
Ky.	145	698	18	35	15	24	N	N													
Tenn.	89	89	81	69	102	189	N	N													
Ala.	680	185	-	-	-	1	N	N													
Miss.	312	510	-	-	-	-	-	-													
W.S. CENTRAL	1,495	2,542	109	287	67	249	5	61													
Ark.	164	524	6	-	6	15	-	-													
La.	372	214	-	1	61	234	2	61													
Okla.	505	71	39	38	N	N	3	-													
Tex.	454	1,733	64	248	N	N	-	-													
MOUNTAIN	794	850	493	352	39	35	4	-													
Mont.	3	8	-	-	-	-	-	-													
Idaho	15	37	9	7	N	N	N	N													
Wyo.	9	7	7	11	9	5	-	-													
Colo.	161	219	126	137	-	-	-	-													
N. Mex.	185	110	93	73	29	28	-	-													
Ariz.	346	350	229	121	-	-	N	N													
Utah	30	50	29	3	-	-	4	-													
Nev.	45	69	-	-	1	2	-	-													
PACIFIC	2,435	2,152	524	71	-	4	-	-													
Wash.	141	183	65	-	-	-	N	N													
Oreg.	100	98	N	N	N	N	N	N													
Calif.	2,131	1,811	364	-	N	N	N	N													
Alaska	6	6	-	-	-	-	N	N													
Hawaii	57	54	95	71	-	4	-	-													
Guam	-	45	-	1	-	-	-	-													
P.R.	7	16	N	N	-	-	N	N													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	-	-	U	U													
C.N.M.I.	17	U	-	U	-	-	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


