
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending October 3, 1998 (WEEK 39)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1998*
AIDS § cummulative for 1997
Chlamydia† cummulative for 1998
Chlamydia† cummulative for 1997
Escherichia coli O157:H7 NETSS cummulative for 1998
Escherichia coli O157:H7 PHLIS cummulative for 1998
Gonorrhea cummulative for 1998
Gonorrhea cummulative for 1997
Hepatitis C/NA,NB cummulative for 1998
Hepatitis C/NA,NB cummulative for 1997

tab delimited data:
test
UNITED STATES	35,486	43,681	396,438	343,217	2,245	1,325	241,098	217,368	2,917	2,670											
NEW ENGLAND	1,381	1,895	14,256	13,294	273	220	4,104	4,447	51	46											
Maine	24	46	743	773	32	-	53	52	-	-											
N.H.	28	29	673	599	37	40	71	74	-	-											
Vt.	17	31	315	305	17	10	28	42	-	2											
Mass.	712	640	6,275	5,434	130	131	1,636	1,593	48	37											
R.I.	94	119	1,710	1,506	11	1	282	344	3	7											
Conn.	506	1,030	4,540	4,677	46	38	2,034	2,342	-	-											
MID. ATLANTIC	9,642	13,711	47,100	42,877	231	63	27,037	28,306	288	248											
Upstate N.Y.	1,102	2,133	N	N	173	-	4,168	4,838	224	178											
N.Y. City	5,457	7,287	26,156	20,249	6	12	11,673	10,369	-	-											
N.J.	1,765	2,685	7,858	7,421	52	41	4,952	5,740	-	-											
Pa.	1,318	1,606	13,086	15,207	N	10	6,244	7,359	64	70											
E.N. CENTRAL	2,567	3,310	65,965	45,338	336	255	46,660	29,681	391	446											
Ohio	540	676	18,995	16,285	94	53	12,187	10,668	7	14											
Ind.	414	444	4,656	6,873	76	40	3,353	4,603	4	12											
Ill.	993	1,345	18,908	U	84	39	15,697	U	25	74											
Mich.	468	648	15,932	13,989	82	54	12,212	10,876	355	321											
Wis.	152	197	7,474	8,191	N	69	3,211	3,534	-	25											
W.N. CENTRAL	664	823	22,676	24,053	407	234	11,469	10,557	247	49											
Minn.	136	156	4,571	4,930	200	98	1,723	1,724	9	3											
Iowa	58	85	2,063	3,264	79	46	660	845	8	24											
Mo.	312	380	8,950	8,973	32	47	6,561	5,542	222	9											
N. Dak.	4	10	616	627	10	13	51	48	-	2											
S. Dak.	13	8	1,156	982	22	21	181	103	-	-											
Nebr.	59	71	1,471	1,916	42	-	508	768	3	2											
Kans.	82	113	3,849	3,361	22	9	1,785	1,527	5	9											
S. ATLANTIC	9,235	10,556	81,681	70,006	186	119	68,014	68,667	138	180											
Del.	112	183	1,920	-	-	2	1,109	904	-	-											
Md.	1,304	1,384	5,599	5,338	27	12	6,658	8,627	8	4											
D.C.	691	751	N	N	1	-	2,729	3,293	-	-											
Va.	688	878	10,309	8,793	N	38	6,913	6,134	11	23											
W. Va.	70	80	1,904	2,205	8	6	609	700	6	15											
N.C.	638	679	16,473	12,859	44	37	14,440	12,767	18	41											
S.C.	604	576	13,334	9,286	11	8	8,526	8,525	5	33											
Ga.	972	1,265	17,684	11,998	61	-	15,487	13,982	9	-											
Fla.	4,156	4,760	14,458	19,527	34	16	11,543	13,735	81	64											
E.S. CENTRAL	1,444	1,553	29,027	25,913	93	33	28,514	26,099	168	279											
Ky.	222	292	4,776	4,812	24	-	2,762	3,085	18	11											
Tenn.	522	631	9,916	9,517	45	29	8,678	8,202	143	187											
Ala.	395	384	7,611	6,378	21	2	9,811	8,934	5	7											
Miss.	305	246	6,724	5,206	3	2	7,263	5,878	2	74											
W.S. CENTRAL	4,202	4,634	59,586	47,947	103	14	35,192	31,445	515	361											
Ark.	159	180	2,808	2,242	9	6	1,827	3,703	13	11											
La.	708	763	11,165	6,980	5	2	9,644	6,744	41	163											
Okla.	238	240	7,535	5,641	12	6	4,140	3,704	12	7											
Tex.	3,097	3,451	38,078	33,084	77	-	19,581	17,294	449	180											
MOUNTAIN	1,230	1,228	16,687	22,094	275	194	6,384	5,992	282	240											
Mont.	23	34	999	772	15	-	32	34	7	19											
Idaho	19	41	1,497	1,191	34	19	135	102	87	49											
Wyo.	1	13	399	436	51	54	18	43	51	61											
Colo.	230	313	10	5,291	62	48	1,716	1,600	23	26											
N. Mex.	179	141	2,453	2,822	17	13	623	662	76	45											
Ariz.	499	269	7,537	8,116	21	25	2,724	2,698	3	24											
Utah	101	98	1,527	1,262	65	21	163	202	21	3											
Nev.	178	319	2,265	2,204	10	14	973	651	14	13											
PACIFIC	5,121	5,971	59,460	51,695	341	193	13,724	12,174	837	821											
Wash.	335	455	8,155	6,800	71	56	1,425	1,450	17	22											
Oreg.	138	249	4,334	3,619	91	89	635	555	5	3											
Calif.	4,500	5,173	43,797	38,821	175	35	11,063	9,490	760	665											
Alaska	17	43	1,405	1,136	4	-	242	300	1	-											
Hawaii	131	51	1,769	1,319	N	13	359	379	54	131											
Guam	-	2	201	193	N	-	24	27	-	-											
P.R.	1,246	1,509	U	U	6	U	284	449	-	-											
V.I.	24	79	N	N	N	U	U	U	U	U											
Amer. Samoa	-	-	U	U	N	U	U	U	U	U											
C.N.M.I.	-	1	N	N	N	U	28	17	-	2											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 1998 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


