
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending October 8, 2005 (WEEK 40)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal Disease, Invasive, Group A cummulative for 2005
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2005
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2004
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2005
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2004
Syphilis (Primary and Secondary) cummulative for 2005
Syphilis (Primary and Secondary) cummulative for 2004
Syphilis (Congenital) cummulative for 2005
Syphilis (Congenital) cummulative for 2004

tab delimited data:
test
UNITED STATES	3,396	3,566	1,699	1,706	656	596	5,987	5,956	186	307											
NEW ENGLAND	136	234	90	114	47	80	164	156	1	4											
Maine	9	10	N	N	-	4	1	2	-	-											
N.H.	13	16	-	-	4	N	14	4	-	3											
Vt.	9	8	10	6	4	1	1	-	-	-											
Mass.	96	106	64	31	38	44	102	95	-	-											
R.I.	9	17	16	18	1	6	12	23	-	1											
Conn.	U	77	U	59	U	25	34	32	1	-											
MID. ATLANTIC	726	602	161	118	111	86	777	762	21	29											
Upstate N.Y.	219	195	63	49	49	59	71	73	5	3											
N.Y. City	133	101	U	U	20	U	473	469	5	12											
N.J.	149	128	N	N	19	8	107	119	11	13											
Pa.	225	178	98	69	23	19	126	101	-	1											
E.N. CENTRAL	652	814	463	379	171	140	627	682	26	46											
Ohio	161	191	291	265	65	61	166	177	1	2											
Ind.	86	84	161	114	44	30	48	46	1	2											
Ill.	116	215	11	-	50	3	325	289	10	14											
Mich.	255	249	-	N	-	N	62	143	12	28											
Wis.	34	75	N	N	12	46	26	27	2	-											
W.N. CENTRAL	222	257	36	17	70	80	181	131	5	5											
Minn.	86	122	-	-	41	52	49	19	1	1											
Iowa	N	N	N	N	-	N	2	5	-	-											
Mo.	56	56	29	12	8	12	109	79	4	2											
N. Dak.	9	11	2	-	3	2	-	-	-	-											
S. Dak.	20	15	3	5	-	-	1	-	-	-											
Nebr.	17	18	2	-	7	6	4	6	-	-											
Kans.	34	35	N	N	11	8	16	22	-	2											
S. ATLANTIC	724	716	669	881	67	45	1,492	1,481	34	49											
Del.	5	3	1	4	-	N	9	7	-	1											
Md.	161	112	-	-	44	31	244	277	12	8											
D.C.	8	9	15	8	2	4	83	46	-	1											
Va.	68	62	N	N	-	N	104	81	4	2											
W. Va.	22	23	96	96	21	10	4	3	-	-											
N.C.	104	104	N	N	U	U	206	143	8	9											
S.C.	26	50	-	83	-	N	57	95	4	11											
Ga.	141	170	111	216	-	N	236	278	1	3											
Fla.	189	183	446	474	-	N	549	551	5	14											
E.S. CENTRAL	138	181	134	120	10	12	338	321	17	20											
Ky.	29	52	25	24	N	N	34	34	-	1											
Tenn.	109	129	109	94	-	N	168	100	12	8											
Ala.	-	-	-	-	-	N	107	140	4	9											
Miss.	-	-	-	2	10	12	29	47	1	2											
W.S. CENTRAL	212	279	94	53	129	122	928	939	53	61											
Ark.	15	16	12	7	14	8	39	41	-	3											
La.	6	2	82	46	22	26	176	228	6	4											
Okla.	94	55	N	N	23	36	30	20	1	2											
Tex.	97	206	N	N	70	52	683	650	46	52											
MOUNTAIN	506	385	52	23	42	31	304	310	15	39											
Mont.	-	-	-	-	-	-	5	1	-	-											
Idaho	2	8	N	N	-	N	20	15	1	2											
Wyo.	3	7	22	9	-	-	-	3	-	-											
Colo.	186	82	N	N	41	31	31	51	-	-											
N. Mex.	39	81	-	N	-	-	38	71	2	2											
Ariz.	209	170	N	N	-	N	129	131	12	34											
Utah	66	34	28	12	1	-	6	9	-	1											
Nev.	1	3	2	2	-	-	75	29	-	-											
PACIFIC	80	98	-	1	9	-	1,176	1,174	14	54											
Wash.	N	N	N	N	N	N	107	104	-	-											
Oreg.	N	N	N	N	6	N	22	24	-	-											
Calif.	-	-	N	N	N	N	1,037	1,040	14	54											
Alaska	-	-	-	-	-	N	6	1	-	-											
Hawaii	80	98	-	1	3	-	4	5	-	-											
Guam	-	-	-	-	-	-	-	1	-	-											
P.R.	N	N	N	N	-	N	156	112	8	5											
V.I.	-	-	-	-	-	-	-	4	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


