
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending September 5, 1998 (WEEK 35)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1998
H. influenzae, Invasive cummulative for 1997
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1997
Hepatitis (Viral), Type B cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1997
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1998
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1998
Measles (Rubeola), Total cummulative for 1998
Measles (Rubeola), Total cummulative for 1997

tab delimited data:
test
UNITED STATES	732	761	14,628	18,577	5,519	6,294	1	30	-	19	49	107									
NEW ENGLAND	39	43	164	468	112	120	-	1	-	2	3	19									
Maine	2	4	16	47	2	6	-	-	-	-	-	1									
N.H.	7	6	8	21	11	9	-	-	-	-	-	1									
Vt.	5	3	13	9	3	6	-	-	-	1	1	-									
Mass.	22	26	46	196	22	52	-	1	-	1	2	16									
R.I.	2	2	12	107	56	12	-	-	-	-	-	-									
Conn.	1	2	69	88	18	35	-	-	-	-	-	1									
MID. ATLANTIC	105	118	990	1,454	777	923	-	9	-	4	13	23									
Upstate N.Y.	43	35	238	220	206	192	-	2	-	-	2	5									
N.Y. City	20	31	240	649	198	344	-	-	-	-	-	7									
N.J.	37	37	224	214	144	173	-	7	-	1	8	3									
Pa.	5	15	288	371	229	214	-	-	-	3	3	8									
E.N. CENTRAL	124	126	2,113	1,917	564	1,018	-	11	-	3	14	10									
Ohio	42	70	230	234	55	58	-	-	-	1	1	-									
Ind.	31	13	110	211	70	76	U	2	U	1	3	-									
Ill.	44	28	339	513	111	194	-	-	-	-	-	7									
Mich.	3	15	1,310	819	303	298	-	9	-	1	10	2									
Wis.	4	-	124	140	25	392	-	-	-	-	-	1									
W.N. CENTRAL	70	39	1,011	1,457	269	332	-	-	-	-	-	12									
Minn.	55	27	90	133	31	27	-	-	-	-	-	3									
Iowa	2	5	377	290	48	26	-	-	-	-	-	-									
Mo.	8	4	411	740	157	241	-	-	-	-	-	1									
N. Dak.	-	-	3	10	4	4	U	-	U	-	-	-									
S. Dak.	-	2	21	18	1	1	-	-	-	-	-	8									
Nebr.	-	1	29	69	9	10	-	-	-	-	-	-									
Kans.	5	-	80	197	19	23	-	-	-	-	-	-									
S. ATLANTIC	150	117	1,250	1,146	813	826	-	3	-	5	8	10									
Del.	-	-	3	23	-	4	-	-	-	1	1	-									
Md.	42	44	211	137	111	114	-	-	-	1	1	2									
D.C.	-	-	42	17	9	25	-	-	-	-	-	1									
Va.	14	10	156	150	74	85	-	-	-	2	2	1									
W. Va.	4	3	3	8	5	11	-	-	-	-	-	-									
N.C.	23	17	76	138	150	177	-	-	-	-	-	1									
S.C.	3	4	23	74	24	71	-	-	-	-	-	1									
Ga.	32	23	365	264	124	94	-	1	-	1	2	1									
Fla.	32	16	371	335	316	245	-	2	-	-	2	3									
E.S. CENTRAL	40	40	275	437	273	479	-	-	-	2	2	1									
Ky.	6	6	18	56	32	27	-	-	-	-	-	-									
Tenn.	22	24	160	268	191	311	-	-	-	1	1	-									
Ala.	10	8	54	61	49	46	-	-	-	1	1	1									
Miss.	2	2	43	52	1	95	-	-	-	-	-	-									
W.S. CENTRAL	42	34	2,870	3,727	951	769	1	1	-	-	1	7									
Ark.	-	2	70	162	58	58	-	-	-	-	-	-									
La.	19	7	53	145	67	95	1	1	-	-	1	-									
Okla.	20	23	402	1,074	59	29	-	-	-	-	-	-									
Tex.	3	2	2,345	2,346	767	587	-	-	-	-	-	7									
MOUNTAIN	74	70	2,202	2,913	575	601	-	-	-	-	-	7									
Mont.	-	-	72	58	5	7	-	-	-	-	-	-									
Idaho	-	1	189	98	24	24	-	-	-	-	-	-									
Wyo.	1	3	29	24	4	22	-	-	-	-	-	-									
Colo.	16	13	198	297	80	113	-	-	-	-	-	-									
N. Mex.	5	7	108	227	239	183	-	-	-	-	-	-									
Ariz.	41	28	1,371	1,471	138	137	U	-	U	-	-	5									
Utah	4	3	147	432	53	68	-	-	-	-	-	-									
Nev.	7	15	88	306	32	47	-	-	-	-	-	2									
PACIFIC	88	174	3,753	5,058	1,185	1,226	-	5	-	3	8	18									
Wash.	7	3	742	368	76	52	-	-	-	1	1	2									
Oreg.	34	29	257	251	74	74	-	-	-	-	-	-									
Calif.	39	132	2,708	4,311	1,021	1,081	-	4	-	2	6	12									
Alaska	1	3	15	25	9	11	-	1	-	-	1	-									
Hawaii	7	7	31	103	5	8	U	-	U	-	-	4									
Guam	-	-	-	-	-	3	U	-	U	-	-	-									
P.R.	2	-	48	219	316	519	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	6	3	1	45	34	U	-	U	-	-	1									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


