
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending June 10, 2000 (WEEK 23)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2000
Meningococcal Disease cummulative for 1999
Mumps current week
Mumps cummulative for 2000
Mumps cummulative for 1999
Pertussis current week
Pertussis cummulative for 2000
Pertussis cummulative for 1999
Rubella current week
Rubella cummulative for 2000
Rubella cummulative for 1999

tab delimited data:
test
UNITED STATES	1,089	1,261	2	171	183	64	2,072	2,631	-	54	125										
NEW ENGLAND	60	64	-	2	3	11	520	269	-	5	7										
Maine	5	4	-	-	-	2	14	-	-	-	-										
N.H.	4	9	-	-	1	-	59	53	-	1	-										
Vt.	2	4	-	-	-	-	111	9	-	-	-										
Mass.	39	38	-	-	2	9	311	195	-	3	7										
R.I.	3	2	-	1	-	-	7	3	-	-	-										
Conn.	7	7	U	1	-	U	18	9	U	1	-										
MID. ATLANTIC	105	122	-	9	24	14	169	562	-	2	15										
Upstate N.Y.	30	32	-	6	5	10	97	485	-	2	10										
N.Y. City	24	39	-	-	6	-	-	13	-	-	1										
N.J.	21	23	-	-	1	-	-	15	-	-	1										
Pa.	30	28	-	3	12	4	72	49	-	-	3										
E.N. CENTRAL	194	215	-	18	24	2	252	207	-	-	-										
Ohio	42	78	-	7	6	1	161	103	-	-	-										
Ind.	27	29	-	-	2	-	22	10	-	-	-										
Ill.	46	57	-	4	7	-	20	44	-	-	-										
Mich.	60	27	-	7	8	1	18	19	-	-	-										
Wis.	19	24	-	-	1	-	31	31	-	-	-										
W.N. CENTRAL	91	127	-	12	7	3	102	81	-	1	61										
Minn.	7	27	-	-	1	-	53	25	-	-	-										
Iowa	16	24	-	5	3	1	17	16	-	-	17										
Mo.	54	46	-	1	1	1	16	19	-	-	-										
N. Dak.	2	3	-	-	-	-	1	-	-	-	-										
S. Dak.	4	6	-	-	-	1	2	2	-	-	-										
Nebr.	3	8	-	2	-	-	3	1	-	-	44										
Kans.	5	13	-	4	2	-	10	18	-	1	-										
S. ATLANTIC	179	196	2	30	31	7	170	125	-	32	17										
Del.	-	3	-	-	-	-	4	-	-	-	-										
Md.	16	32	-	6	4	-	40	39	-	-	1										
D.C.	-	1	-	-	2	-	-	-	-	-	-										
Va.	29	25	1	5	8	2	17	13	-	-	-										
W. Va.	7	4	-	-	-	-	-	1	-	-	-										
N.C.	29	25	-	4	5	5	49	28	-	23	16										
S.C.	12	24	1	9	3	-	16	7	-	7	-										
Ga.	32	36	-	2	1	-	20	16	-	-	-										
Fla.	54	46	U	4	8	U	24	21	U	2	-										
E.S. CENTRAL	79	95	-	5	3	1	34	51	-	4	2										
Ky.	17	18	-	-	-	-	16	12	-	1	-										
Tenn.	35	34	-	2	-	1	9	25	-	-	-										
Ala.	23	26	-	2	1	-	8	12	-	3	2										
Miss.	4	17	-	1	2	-	1	2	-	-	-										
W.S. CENTRAL	83	122	-	18	23	1	68	71	-	4	4										
Ark.	7	22	-	1	-	-	9	5	-	-	-										
La.	25	41	-	3	4	-	3	3	-	-	-										
Okla.	21	19	-	-	1	-	6	8	-	-	-										
Tex.	30	40	-	14	18	1	50	55	-	4	4										
MOUNTAIN	62	85	-	14	9	12	374	289	-	1	15										
Mont.	1	2	-	1	-	-	7	2	-	-	-										
Idaho	6	8	-	-	1	1	42	93	-	-	-										
Wyo.	-	3	-	1	-	-	-	2	-	-	-										
Colo.	20	23	-	1	3	7	208	83	-	1	-										
N. Mex.	7	10	-	1	N	4	67	18	-	-	-										
Ariz.	18	28	-	3	-	-	38	59	-	-	13										
Utah	7	6	U	4	2	U	8	30	U	-	1										
Nev.	3	5	-	3	3	-	4	2	-	-	1										
PACIFIC	236	235	-	63	59	13	383	976	-	5	4										
Wash.	24	35	-	3	2	12	133	477	-	-	-										
Oreg.	31	40	N	N	N	-	42	19	-	-	-										
Calif.	172	150	-	55	51	1	197	458	-	5	4										
Alaska	3	6	-	4	1	-	7	3	-	-	-										
Hawaii	6	4	-	1	5	-	4	19	-	-	-										
Guam	-	1	U	-	1	U	-	1	U	-	-										
P.R.	4	10	-	-	-	-	-	8	-	-	-										
V.I.	-	U	U	-	U	U	-	U	U	-	U										
Amer. Samoa	-	U	U	-	U	U	-	U	U	-	U										
C.N.M.I.	-	U	U	-	U	U	-	U	U	-	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


