
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending February 9, 2008 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2008
Pertussis cummulative for 2007
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2008
Rabies, animal cummulative for 2007
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2008
Rocky Mountain Spotted Fever cummulative for 2007

tab delimited data:
test
UNITED STATES	101	175	354	621	1,105	17	103	191	229	501	11	34	148	31	43						
NEW ENGLAND	2	24	45	9	197	-	11	22	19	54	-	0	1	-	-						
Conn.	-	0	5	-	9	-	4	10	9	23	-	0	0	-	-						
Maine	-	1	5	4	14	-	1	5	1	11	-	0	1	-	-						
Mass.	-	18	33	-	159	-	0	0	-	N	-	0	1	-	-						
N.H.	-	1	5	-	10	-	1	4	3	5	-	0	1	-	-						
R.I.	1	0	8	3	-	-	1	4	3	4	-	0	0	-	-						
Vt.	1	0	9	2	5	-	2	13	3	11	-	0	0	-	-						
MID. ATLANTIC	27	22	40	88	225	4	26	56	29	105	1	1	7	2	6						
N.J.	-	2	6	-	35	N	0	0	N	N	-	0	3	-	1						
N.Y. (Upstate)	7	8	25	25	117	4	9	20	29	29	-	0	1	-	-						
N.Y. City	-	2	7	-	19	-	0	5	-	11	-	0	3	1	2						
Pa.	20	7	22	63	54	-	16	44	-	65	1	0	3	1	3						
E.N. CENTRAL	41	25	180	304	235	-	4	48	-	2	-	1	4	-	3						
Ill.	-	3	8	6	47	-	1	15	-	1	-	1	3	-	1						
Ind.	-	0	9	2	-	-	0	1	-	-	-	0	2	-	-						
Mich.	-	4	16	9	49	-	1	27	-	1	-	0	1	-	1						
Ohio	41	12	176	287	109	-	1	11	-	-	-	0	2	-	1						
Wis.	-	0	24	-	30	N	0	0	N	N	-	0	0	-	-						
W.N. CENTRAL	3	12	65	64	76	1	4	13	8	13	-	5	37	8	4						
Iowa	-	2	8	4	28	-	0	3	1	1	-	0	4	-	-						
Kans.	-	2	8	-	31	-	2	7	-	8	-	0	2	-	2						
Minn.	-	0	61	-	-	1	0	6	5	2	-	0	2	-	-						
Mo.	1	2	13	50	6	-	0	3	-	1	-	5	29	8	2						
Nebr.	2	1	12	9	3	-	0	0	-	-	-	0	2	-	-						
N. Dak.	-	0	4	-	-	-	0	5	2	1	-	0	0	-	-						
S. Dak.	-	0	7	1	8	-	0	2	-	-	-	0	1	-	-						
S. ATLANTIC	13	16	48	57	95	11	40	65	151	286	10	15	112	18	16						
Del.	-	0	2	-	-	-	0	0	-	-	-	0	2	-	2						
D.C.	-	0	1	-	1	-	0	0	-	-	-	0	1	-	-						
Fla.	3	3	17	12	35	2	0	3	10	124	-	0	3	-	-						
Ga.	-	0	3	1	10	-	5	31	42	18	-	0	6	3	3						
Md.	1	2	6	9	20	-	8	18	8	40	-	1	5	4	6						
N.C.	9	4	34	27	-	9	9	19	42	33	10	5	96	11	-						
S.C.	-	1	11	3	14	-	0	11	-	8	-	0	7	-	3						
Va.	-	2	11	5	15	-	13	31	49	57	-	2	11	-	2						
W. Va.	-	0	12	-	-	-	0	11	-	6	-	0	3	-	-						
E.S. CENTRAL	-	6	35	26	40	-	3	6	2	11	-	5	16	3	13						
