
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending May 17, 2003 (WEEK 20)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2002
Giardiasis cummulative for 2003
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2003
Gonorrhea cummulative for 2002

tab delimited data:
test
UNITED STATES	382	527	58	24	46	5	5,178	6,660	112,673	132,085											
NEW ENGLAND	20	38	7	2	5	1	380	594	2,521	3,048											
Maine	3	2	1	-	-	-	43	64	81	29											
N.H.	5	4	-	-	-	-	14	18	43	51											
Vt.	-	1	-	-	-	-	32	44	32	41											
Mass.	6	21	1	2	5	1	181	317	1,019	1,335											
R.I.	1	3	-	-	-	-	42	40	365	364											
Conn.	5	7	5	-	-	-	68	111	981	1,228											
MID. ATLANTIC	24	38	2	-	13	2	946	1,454	11,993	15,611											
Upstate N.Y.	17	26	1	-	9	-	302	388	2,669	3,098											
N.Y. City	3	2	-	-	-	-	405	564	4,253	4,731											
N.J.	4	10	-	-	-	-	56	172	2,075	2,977											
Pa.	N	N	1	-	4	2	183	330	2,996	4,805											
E.N. CENTRAL	89	158	8	5	7	-	861	1,146	25,136	27,397											
Ohio	23	24	8	2	7	-	305	301	8,734	7,968											
Ind.	12	10	-	-	-	-	-	-	2,403	2,782											
Ill.	17	57	-	2	-	-	200	364	7,022	9,231											
Mich.	20	28	-	1	-	-	237	305	4,979	5,237											
Wis.	17	39	-	-	-	-	119	176	1,998	2,179											
W.N. CENTRAL	53	68	4	4	6	-	515	625	5,729	6,701											
Minn.	20	21	3	3	-	-	190	222	787	1,180											
Iowa	7	15	-	-	-	-	80	91	334	452											
Mo.	16	15	N	N	N	N	124	173	3,011	3,198											
N. Dak.	1	-	-	-	1	-	12	6	23	26											
S. Dak.	2	1	-	-	-	-	18	22	65	93											
Nebr.	5	9	1	1	-	-	48	53	545	626											
Kans.	2	7	-	-	5	-	43	58	964	1,126											
S. ATLANTIC	36	48	18	9	-	-	908	985	28,298	34,001											
Del.	-	2	N	N	N	N	14	19	467	632											
Md.	-	3	-	-	-	-	44	38	2,967	3,335											
D.C.	1	-	-	-	-	-	13	18	699	1,052											
Va.	8	9	1	-	-	-	99	70	3,092	4,013											
W. Va.	1	1	-	-	-	-	10	10	323	372											
N.C.	5	9	5	-	-	-	N	N	5,152	6,261											
S.C.	-	-	-	-	-	-	37	20	3,022	3,510											
Ga.	10	14	2	4	-	-	364	299	5,853	6,421											
Fla.	11	10	10	5	-	-	327	511	6,723	8,405											
E.S. CENTRAL	21	20	-	-	4	-	115	115	9,574	11,569											
Ky.	8	4	-	-	4	-	N	N	1,335	1,337											
Tenn.	8	12	-	-	-	-	48	51	2,911	3,555											
Ala.	4	1	-	-	-	-	67	64	3,112	4,079											
Miss.	1	3	-	-	-	-	-	-	2,216	2,598											
W.S. CENTRAL	31	14	10	-	7	1	80	49	15,076	18,446											
Ark.	2	1	-	-	-	-	42	49	1,273	1,633											
La.	-	1	-	-	-	-	3	-	3,509	4,381											
Okla.	2	3	-	-	-	-	35	-	1,525	1,765											
Tex.	27	9	10	-	7	1	-	-	8,769	10,667											
MOUNTAIN	46	46	7	2	4	1	455	477	3,825	4,167											
Mont.	1	8	-	-	-	-	22	29	29	39											
Idaho	12	5	4	-	-	-	58	25	32	35											
Wyo.	1	2	-	1	-	-	6	8	20	24											
Colo.	16	10	1	-	4	1	125	161	928	1,349											
N. Mex.	1	4	2	1	-	-	17	60	411	560											
Ariz.	9	5	N	N	N	N	83	61	1,569	1,367											
Utah	5	6	-	-	-	-	99	81	165	77											
Nev.	1	6	-	-	-	-	45	52	671	716											
PACIFIC	62	97	2	2	-	-	918	1,215	10,521	11,145											
Wash.	16	10	1	-	-	-	63	150	1,115	1,134											
Oreg.	9	24	1	2	-	-	113	139	367	315											
Calif.	36	45	-	-	-	-	701	852	8,729	9,251											
Alaska	1	4	-	-	-	-	30	31	200	232											
Hawaii	-	14	-	-	-	-	11	43	110	213											
Guam	N	N	-	-	-	-	-	-	-	-											
P.R.	-	1	-	-	-	-	10	4	44	195											
V.I.	-	-	-	-	-	-	-	-	-	18											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


