
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 15, 1997 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1997*
AIDS § cummulative for 1996
Chlamydia† cummulative for 1997
Chlamydia† cummulative for 1996
Escherichia coli O157:H7 NETSS cummulative for 1997
Escherichia coli O157:H7 PHLIS cummulative for 1997
Gonorrhea cummulative for 1997
Gonorrhea cummulative for 1996
Hepatitis C/NA,NB cummulative for 1997
Hepatitis C/NA,NB cummulative for 1996

tab delimited data:
test
UNITED STATES	5,109	6,331	33,897	43,828	108	42	25,380	41,867	258	343											
NEW ENGLAND	134	332	1,805	2,427	10	5	642	1,051	1	8											
Maine	13	7	49	-	-	-	3	3	-	-											
N.H.	1	14	73	76	-	-	29	15	-	-											
Vt.	7	5	49	59	1	1	8	14	-	4											
Mass.	62	246	965	917	8	4	317	381	1	4											
R.I.	19	9	290	311	-	-	78	73	-	-											
Conn.	32	51	379	1,064	1	-	207	565	-	-											
MID. ATLANTIC	1,921	1,439	2,459	2,680	8	-	1,559	3,596	22	15											
Upstate N.Y.	113	238	N	N	5	-	134	2	13	11											
N.Y. City	1,039	709	-	1,932	1	-	-	1,650	-	1											
N.J.	468	353	707	748	2	-	442	448	-	-											
Pa.	301	139	1,752	-	N	-	983	1,496	9	3											
E.N. CENTRAL	242	494	5,522	12,140	12	7	4,058	8,506	62	59											
Ohio	57	143	1,484	2,700	8	6	1,156	2,054	4	2											
Ind.	25	50	563	1,196	1	-	535	986	1	-											
Ill.	115	163	1,464	3,454	-	-	707	2,518	-	13											
Mich.	29	106	1,558	3,281	3	-	1,366	2,221	57	44											
Wis.	16	32	453	1,509	N	1	294	727	-	-											
W.N. CENTRAL	127	214	2,368	3,547	19	9	1,057	1,845	14	8											
Minn.	17	56	-	562	10	7	U	-	-	-											
Iowa	38	17	605	59	6	-	157	25	6	1											
Mo.	54	87	1,143	1,586	1	-	710	1,357	2	5											
N. Dak.	2	-	81	90	2	1	5	5	1	-											
S. Dak.	-	2	127	123	-	-	18	19	-	-											
Nebr.	15	15	60	500	-	-	6	91	-	2											
Kans.	1	37	352	627	-	1	161	348	5	-											
S. ATLANTIC	1,239	1,522	8,989	5,849	10	-	10,680	14,379	27	17											
Del.	20	32	-	-	-	-	146	226	-	-											
Md.	166	70	649	616	-	-	1,606	1,874	3	-											
D.C.	55	65	N	N	-	-	686	612	-	-											
Va.	130	94	1,486	1,631	N	-	1,242	1,384	1	1											
W. Va.	14	19	-	-	N	-	73	45	-	3											
N.C.	59	1	2,502	U	2	-	2,240	2,686	8	5											
S.C.	104	12	922	U	-	-	1,500	1,888	9	1											
Ga.	183	214	711	1,001	3	-	1,024	3,230	U	-											
Fla.	508	1,015	2,719	2,601	5	-	2,163	2,434	6	7											
E.S. CENTRAL	134	173	3,069	3,627	12	3	3,201	4,215	37	65											
Ky.	23	61	807	972	3	-	579	582	1	-											
Tenn.	59	57	1,475	1,491	8	3	1,376	1,462	14	65											
Ala.	37	35	787	1,135	-	-	1,246	1,880	1	-											
Miss.	15	20	-	29	1	-	-	291	21	-											
W.S. CENTRAL	420	579	1,633	3,491	2	1	1,839	4,193	23	39											
Ark.	18	44	156	190	2	-	314	592	1	-											
La.	64	171	760	-	-	1	917	1,173	14	7											
Okla.	32	2	717	868	-	-	608	600	-	25											
Tex.	306	362	-	2,433	-	-	-	1,828	8	7											
MOUNTAIN	122	160	2,462	1,409	18	13	887	1,116	48	92											
Mont.	7	2	85	-	-	-	6	2	3	3											
Idaho	2	1	195	190	-	-	16	9	9	21											
Wyo.	1	-	61	85	-	-	6	6	19	27											
Colo.	24	84	-	-	12	5	216	283	9	10											
N. Mex.	5	8	569	506	3	1	138	139	3	19											
Ariz.	30	37	1,105	64	N	5	387	521	4	7											
Utah	10	22	154	180	1	-	19	45	-	4											
Nev.	43	6	293	384	2	2	99	111	1	1											
PACIFIC	770	1,418	5,590	8,658	17	2	1,457	2,966	24	40											
Wash.	45	65	1,174	1,310	1	-	312	358	1	5											
Oreg.	30	92	194	726	3	2	31	32	3	2											
Calif.	682	1,251	3,924	6,334	13	-	1,002	2,435	-	13											
Alaska	10	3	177	55	-	-	71	65	-	1											
Hawaii	3	7	121	233	N	-	41	76	20	19											
Guam	-	-	-	55	N	-	-	16	-	-											
P.R.	144	248	N	N	-	U	46	28	-	6											
V.I.	4	1	N	N	N	U	-	-	-	-											
Amer. Samoa	-	-	-	-	N	U	-	-	-	-											
C.N.M.I.	-	-	N	N	N	U	-	7	-	-											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1996 and 1997 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


