
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending September 27, 2008 (WEEK 39)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007

tab delimited data:
test
UNITED STATES	57	94	259	4,030	4,178	19	36	166	1,138	1,270											
NEW ENGLAND	-	6	31	299	322	-	2	14	55	96											
Conn.	-	0	26	90	95	-	0	11	-	12											
Maine	-	0	3	22	22	-	0	1	1	2											
Mass.	-	3	8	138	161	-	1	5	39	64											
N.H.	-	0	2	20	24	-	0	1	7	8											
R.I.	-	0	9	17	5	-	0	2	7	8											
Vt.	-	0	2	12	15	-	0	1	1	2											
MID. ATLANTIC	6	18	43	833	781	2	4	19	142	214											
N.J.	-	3	11	133	140	-	1	6	28	43											
N.Y. (Upstate)	4	6	17	276	242	2	2	14	73	75											
N.Y. City	-	3	10	150	185	-	1	12	41	96											
Pa.	2	6	16	274	214	N	0	0	N	N											
E.N. CENTRAL	9	19	42	782	811	4	6	23	207	225											
Ill.	-	5	16	206	244	-	1	6	46	56											
Ind.	1	2	11	112	98	-	0	14	29	14											
Mich.	3	3	10	138	169	-	1	5	54	60											
Ohio	5	5	14	224	192	3	1	5	46	48											
Wis.	-	2	10	102	108	1	1	3	32	47											
W.N. CENTRAL	1	5	39	308	276	1	2	16	102	67											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	1	0	5	34	28	-	0	3	14	-											
Minn.	-	0	35	144	131	-	0	13	41	38											
Mo.	-	1	10	70	74	-	1	2	28	18											
Nebr.	-	0	3	31	21	-	0	3	7	10											
N. Dak.	-	0	5	10	14	-	0	2	5	1											
S. Dak.	-	0	2	19	8	1	0	1	7	-											
S. ATLANTIC	25	18	34	754	1,004	4	6	13	170	230											
Del.	-	0	2	6	9	-	0	0	-	-											
D.C.	-	0	4	23	16	-	0	1	1	2											
Fla.	3	5	11	202	240	2	1	4	47	49											
Ga.	12	4	13	188	193	-	1	5	49	51											
Md.	2	1	6	27	171	-	0	4	5	50											
N.C.	7	2	10	117	139	N	0	0	N	N											
S.C.	-	1	5	54	87	2	1	4	38	36											
Va.	1	3	12	110	127	-	0	6	25	35											
W. Va.	-	0	3	27	22	-	0	1	5	7											
E.S. CENTRAL	5	4	9	142	171	1	2	11	71	75											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	1	1	3	33	32	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	3	16	5											
Tenn.	4	3	7	109	139	1	1	9	55	70											
W.S. CENTRAL	4	8	85	362	251	4	5	66	198	177											
Ark.	1	0	2	5	17	-	0	2	5	11											
La.	-	0	2	11	14	-	0	2	10	30											
Okla.	1	2	19	92	58	1	1	7	52	37											
Tex.	2	6	65	254	162	3	3	58	131	99											
MOUNTAIN	4	11	22	433	452	3	5	12	180	173											
Ariz.	1	3	9	156	173	2	2	8	91	86											
Colo.	3	2	8	122	113	1	1	4	51	35											
Idaho	-	0	2	11	15	-	0	1	3	2											
Mont.	N	0	0	N	N	-	0	1	4	1											
Nev.	-	0	2	8	2	N	0	0	N	N											
N. Mex.	-	2	8	84	76	-	0	3	15	28											
Utah	-	1	5	46	68	-	0	3	15	21											
Wyo.	-	0	2	6	5	-	0	1	1	-											
PACIFIC	3	3	10	117	110	-	0	2	13	13											
Alaska	1	0	4	31	20	N	0	0	N	N											
Calif.	-	0	0	-	-	N	0	0	N	N											
Hawaii	2	2	10	86	90	-	0	2	13	13											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	12	30	4	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	1	-	13	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


