
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending October 27, 2012 (WEEK 43)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia trachomatis infection current week
Chlamydia trachomatis infection previous 52 weeks median 
Chlamydia trachomatis infection previous 52 weeks maximum 
Chlamydia trachomatis infection cummulative for 2012
Chlamydia trachomatis infection cummulative for 2011
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2012
Coccidioidomycosis cummulative for 2011
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2012
Cryptosporidiosis cummulative for 2011

tab delimited data:
test
UNITED STATES	11,030	26,580	30,645	1,094,859	1,166,793	213	385	584	14,573	18,496	50	127	279	5,930	8,125						
NEW ENGLAND	654	957	1,807	38,493	37,832	-	0	1	2	2	-	7	19	334	373						
Conn.	-	244	1,268	9,039	9,439	N	0	0	N	N	-	1	3	31	65						
Maine	76	61	101	2,602	2,560	N	0	0	N	N	-	1	4	61	42						
Mass.	506	453	706	19,456	18,790	-	0	0	-	-	-	2	8	127	151						
N.H.	27	61	85	2,500	2,498	-	0	1	1	1	-	1	4	39	61						
R.I.	-	84	186	3,532	3,323	-	0	1	1	1	-	0	10	12	11						
Vt.	45	28	87	1,364	1,222	N	0	0	N	N	-	1	6	64	43						
MID. ATLANTIC	847	3,516	4,469	143,443	149,062	-	0	1	4	4	7	14	40	647	790						
N.J.	-	544	640	22,387	22,078	N	0	0	N	N	-	0	4	23	49						
N.Y. (Upstate)	847	725	2,215	30,704	29,504	N	0	0	N	N	7	4	18	202	191						
N.Y. City	-	1,134	1,427	45,819	54,293	N	0	0	N	N	-	2	8	86	77						
Pa.	-	1,092	1,341	44,533	43,187	-	0	1	4	4	-	7	20	336	473						
E.N. CENTRAL	1,241	4,080	4,785	164,134	183,300	2	1	4	44	41	9	32	106	1,482	2,405						
Ill.	25	1,117	1,504	43,994	54,081	N	0	0	N	N	-	3	8	125	191						
