
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending September 29, 2007 (WEEK 39)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	34	96	261	3,863	4,191	10	31	108	1,136	967											
NEW ENGLAND	-	6	28	307	278	1	2	11	77	83											
Conn.	-	0	23	96	73	-	0	6	-	24											
Maine	-	0	3	22	15	1	0	1	2	-											
Mass.	-	3	12	141	140	-	2	6	58	48											
N.H.	-	0	4	31	33	-	0	2	7	7											
R.I.	-	0	12	2	5	-	0	2	8	4											
Vt.	-	0	2	15	12	-	0	1	2	-											
MID. ATLANTIC	2	17	41	724	760	-	5	27	186	133											
N.J.	-	2	9	99	124	-	1	4	25	50											
N.Y. (Upstate)	2	5	27	242	244	-	2	15	78	66											
N.Y. City	-	4	13	172	137	-	1	25	83	17											
Pa.	-	5	11	211	255	N	0	0	N	N											
E.N. CENTRAL	5	17	32	668	808	2	5	14	177	256											
Ill.	-	4	13	176	246	-	1	6	47	63											
Ind.	2	2	17	108	97	1	0	10	16	46											
Mich.	3	4	10	164	169	-	1	4	56	58											
Ohio	-	4	14	192	203	1	1	7	49	51											
Wis.	-	0	6	28	93	-	0	2	9	38											
W.N. CENTRAL	-	5	32	266	276	-	2	8	84	77											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	3	28	45	-	0	1	1	11											
Minn.	-	0	29	131	127	-	1	6	56	47											
Mo.	-	2	6	67	59	-	0	2	16	11											
Nebr.	-	0	3	21	25	-	0	2	10	5											
N. Dak.	-	0	2	12	10	-	0	2	1	3											
S. Dak.	-	0	2	7	10	-	0	0	-	-											
S. ATLANTIC	18	21	52	985	940	4	4	14	218	61											
Del.	-	0	1	9	10	-	0	0	-	-											
D.C.	-	0	3	8	11	-	0	1	-	1											
Fla.	3	6	16	241	224	3	1	5	52	-											
Ga.	3	5	13	190	193	-	0	5	44	-											
Md.	4	4	10	170	177	1	1	6	49	50											
N.C.	5	1	22	140	138	-	0	0	-	-											
S.C.	-	1	7	81	54	-	0	4	35	-											
Va.	1	2	11	123	108	-	0	4	31	-											
W. Va.	2	0	3	23	25	-	0	4	7	10											
E.S. CENTRAL	1	4	13	169	169	2	1	6	73	16											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	32	39	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	3	16											
Tenn.	1	3	13	137	130	2	1	6	70	-											
W.S. CENTRAL	4	6	90	244	320	1	4	43	165	167											
Ark.	-	0	2	17	23	1	0	2	10	18											
La.	-	0	4	16	16	-	0	4	27	19											
Okla.	4	1	23	60	81	-	1	13	38	37											
Tex.	-	3	64	151	200	-	1	27	90	93											
MOUNTAIN	3	9	21	389	553	-	4	9	132	155											
Ariz.	2	3	11	127	290	-	2	7	72	88											
Colo.	-	3	9	126	96	-	1	4	34	38											
Idaho	1	0	2	14	8	-	0	1	2	1											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	2	-	-	0	1	1	2											
N. Mex.	-	1	5	43	103	-	0	4	19	26											
Utah	-	2	7	72	53	-	0	2	4	-											
Wyo.	-	0	1	5	3	-	0	0	-	-											
PACIFIC	1	3	9	111	87	-	0	4	24	19											
Alaska	-	0	3	30	N	-	0	2	22	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	1	2	9	81	87	-	0	2	2	19											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	-	-	U	U	U	-	-	U	U											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


