
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 1, 1997 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1997
Meningococcal Disease cummulative for 1996
Mumps current week
Mumps cummulative for 1997
Mumps cummulative for 1996
Pertussis current week
Pertussis cummulative for 1997
Pertussis cummulative for 1996
Rubella current week
Rubella cummulative for 1997
Rubella cummulative for 1996

tab delimited data:
test
UNITED STATES	284	405	7	18	43	78	326	173	-	-	10										
NEW ENGLAND	18	21	-	-	-	23	79	59	-	-	-										
Maine	-	4	-	-	-	-	3	1	-	-	-										
N.H.	2	1	-	-	-	-	18	1	-	-	-										
Vt.	-	1	-	-	-	12	44	3	-	-	-										
Mass.	10	4	-	-	-	11	14	54	-	-	-										
R.I.	2	4	-	-	-	-	-	-	-	-	-										
Conn.	4	7	-	-	-	-	-	-	-	-	-										
MID. ATLANTIC	18	34	2	2	5	8	9	8	-	-	1										
Upstate N.Y.	2	2	-	-	1	6	6	5	-	-	-										
N.Y. City	4	8	-	-	-	-	-	-	-	-	-										
N.J.	6	10	-	-	2	-	-	2	-	-	1										
Pa.	6	14	2	2	2	2	3	1	-	-	-										
E.N. CENTRAL	34	56	1	2	9	7	33	39	-	-	-										
Ohio	26	26	1	2	5	7	25	19	-	-	-										
Ind.	6	3	-	-	-	-	-	1	-	-	-										
Ill.	-	17	-	-	1	-	3	2	-	-	-										
Mich.	2	3	-	-	3	-	5	5	-	-	-										
Wis.	-	7	-	-	-	-	-	12	-	-	-										
W.N. CENTRAL	25	42	-	-	2	2	7	4	-	-	-										
Minn.	2	-	-	-	-	1	1	-	-	-	-										
Iowa	9	7	-	-	-	1	5	-	-	-	-										
Mo.	10	24	-	-	-	-	-	3	-	-	-										
N. Dak.	-	-	-	-	2	-	-	-	-	-	-										
S. Dak.	1	2	-	-	-	-	1	-	-	-	-										
Nebr.	1	4	-	-	-	-	-	1	-	-	-										
Kans.	2	5	-	-	-	-	-	-	-	-	-										
S. ATLANTIC	58	55	-	-	4	8	20	5	-	-	-										
Del.	2	1	-	-	-	-	-	-	-	-	-										
Md.	4	9	-	-	2	8	20	4	-	-	-										
D.C.	1	2	-	-	-	-	-	-	-	-	-										
Va.	3	4	-	-	-	-	-	-	-	-	-										
W. Va.	1	1	-	-	-	-	-	-	-	-	-										
N.C.	9	6	-	-	-	-	-	-	-	-	-										
S.C.	16	10	-	-	1	-	-	-	-	-	-										
Ga.	14	19	-	-	1	-	-	1	-	-	-										
Fla.	8	3	-	-	-	-	-	-	-	-	-										
E.S. CENTRAL	30	34	-	4	3	7	10	7	-	-	-										
Ky.	3	6	-	-	-	-	-	5	-	-	-										
Tenn.	14	6	-	1	-	4	4	1	-	-	-										
Ala.	9	14	-	1	3	3	4	1	-	-	-										
Miss.	4	8	-	2	-	-	2	-	-	-	N										
W.S. CENTRAL	5	42	3	3	1	-	1	2	-	-	-										
Ark.	3	6	-	-	-	-	-	1	-	-	-										
La.	-	7	-	-	1	-	-	1	-	-	-										
Okla.	1	2	-	-	-	-	-	-	-	-	-										
Tex.	1	27	3	3	-	-	1	-	-	-	-										
MOUNTAIN	18	32	-	2	2	11	105	19	-	-	-										
Mont.	1	1	-	-	-	-	-	-	-	-	-										
Idaho	2	2	-	-	-	2	72	-	-	-	-										
Wyo.	-	-	-	-	-	1	3	-	-	-	-										
Colo.	1	3	-	1	-	8	21	-	-	-	-										
N. Mex.	3	8	N	N	N	-	5	8	-	-	-										
Ariz.	7	12	-	-	-	-	4	2	-	-	-										
Utah	2	1	-	1	-	-	-	-	-	-	-										
Nev.	2	5	-	-	2	-	-	9	-	-	-										
PACIFIC	78	89	1	5	17	12	62	30	-	-	9										
Wash.	7	5	-	-	1	3	4	3	-	-	-										
Oreg.	26	18	-	-	-	-	3	13	-	-	-										
Calif.	45	64	-	1	11	9	54	13	-	-	9										
Alaska	-	1	-	-	1	-	1	-	-	-	-										
Hawaii	-	1	1	4	4	-	-	1	-	-	-										
Guam	-	1	U	-	1	U	-	-	U	-	-										
P.R.	-	-	-	-	-	-	-	-	-	-	-										
V.I.	-	-	-	-	-	-	-	-	-	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1996 and 1997 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


