
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending July 28, 2012 (WEEK 30)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011

tab delimited data:
test
UNITED STATES	9	11	66	482	493	19	24	85	391	1,655	-	2	8	64	92						
NEW ENGLAND	-	0	2	13	3	-	6	19	154	305	-	0	1	-	1						
Conn.	-	0	0	-	-	-	2	7	48	103	-	0	0	-	-						
Maine	-	0	1	2	1	-	1	3	30	11	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	7	-	140	-	0	0	-	-						
N.H.	-	0	0	-	1	-	1	5	28	11	-	0	0	-	1						
R.I.	-	0	2	11	1	-	0	15	40	37	-	0	1	-	-						
Vt.	-	0	0	-	-	-	0	2	8	3	-	0	0	-	-						
MID. ATLANTIC	1	1	6	23	63	17	8	44	171	174	-	0	2	5	14						
N.J.	-	0	2	-	40	-	0	8	-	56	-	0	1	-	6						
N.Y. (Upstate)	1	0	4	15	21	17	6	41	156	93	-	0	2	5	3						
N.Y. City	-	0	3	8	2	-	0	4	15	22	-	0	0	-	-						
Pa.	-	0	1	-	-	-	0	2	-	3	-	0	1	-	5						
E.N. CENTRAL	-	0	4	17	34	-	1	22	7	516	-	1	5	30	41						
Ill.	-	0	4	14	20	-	0	1	6	7	-	0	0	-	-						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	5	28	14						
Mich.	-	0	0	-	4	-	0	0	-	-	-	0	2	2	1						
Ohio	-	0	1	3	5	-	0	1	1	3	-	0	0	-	1						
Wis.	-	0	1	-	5	-	0	21	-	506	-	0	2	-	25						
W.N. CENTRAL	2	2	32	186	131	1	2	35	19	613	-	0	4	14	22						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	3	15	12	-	0	1	2	3	-	0	0	-	1						
Minn.	-	0	1	-	5	-	0	35	-	591	-	0	1	-	9						
Mo.	2	2	32	171	113	1	0	4	16	15	-	0	4	14	12						
Nebr.	-	0	1	-	-	-	0	1	1	1	-	0	1	-	-						
N. Dak.	-	0	0	-	-	-	0	3	-	-	-	0	0	-	-						
S. Dak.	-	0	0	-	1	-	0	0	-	3	-	0	0	-	-						
S. ATLANTIC	4	4	18	139	153	-	1	6	22	32	-	0	2	7	5						
Del.	-	0	2	11	13	-	0	1	1	1	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	1	0	3	13	13	-	0	2	2	4	-	0	0	-	-						
Ga.	-	0	2	7	15	-	0	1	2	8	-	0	1	1	2						
Md.	-	0	3	17	20	-	0	2	-	2	-	0	1	1	-						
N.C.	-	0	9	19	35	-	0	3	6	13	-	0	1	-	-						
S.C.	-	0	1	1	1	-	0	0	-	-	-	0	1	-	-						
