
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending March 6, 1999 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1999
H. influenzae, Invasive cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1999
Hepatitis (Viral), Type B cummulative for 1998
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1999
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1999
Measles (Rubeola), Total cummulative for 1999
Measles (Rubeola), Total cummulative for 1998

tab delimited data:
test
UNITED STATES	180	206	2,406	3,199	842	1,384	-	7	-	4	11	4									
NEW ENGLAND	14	13	26	70	10	21	-	-	-	1	1	1									
Maine	1	-	2	8	-	-	-	-	-	-	-	-									
N.H.	2	1	4	3	2	2	-	-	-	1	1	-									
Vt.	3	-	-	3	-	-	-	-	-	-	-	-									
Mass.	8	12	7	17	6	11	-	-	-	-	-	1									
R.I.	-	-	-	5	2	-	-	-	-	-	-	-									
Conn.	-	-	13	34	-	8	-	-	-	-	-	-									
MID. ATLANTIC	25	31	145	257	102	212	-	-	-	-	-	1									
Upstate N.Y.	15	12	43	59	25	52	-	-	-	-	-	-									
N.Y. City	-	10	17	97	12	56	-	-	-	-	-	-									
N.J.	10	9	25	49	19	36	-	-	-	-	-	1									
Pa.	-	-	60	52	46	68	-	-	-	-	-	-									
E.N. CENTRAL	20	33	607	554	79	346	-	-	-	-	-	1									
Ohio	13	15	125	71	19	13	-	-	-	-	-	-									
Ind.	1	2	29	74	4	175	-	-	-	-	-	-									
Ill.	5	15	60	146	-	49	-	-	-	-	-	-									
Mich.	1	-	391	229	56	88	-	-	-	-	-	1									
Wis.	-	1	2	34	-	21	-	-	-	-	-	-									
W.N. CENTRAL	8	1	59	294	24	71	-	-	-	-	-	-									
Minn.	2	-	4	5	4	2	-	-	-	-	-	-									
Iowa	2	-	18	105	8	10	-	-	-	-	-	-									
Mo.	-	-	16	151	4	51	-	-	-	-	-	-									
N. Dak.	-	-	-	1	-	-	-	-	-	-	-	-									
S. Dak.	1	-	-	1	-	1	-	-	-	-	-	-									
Nebr.	1	-	13	4	6	2	-	-	-	-	-	-									
Kans.	2	1	8	27	2	5	-	-	-	-	-	-									
S. ATLANTIC	48	39	251	249	154	149	-	-	-	-	-	1									
Del.	-	-	-	-	-	-	-	-	-	-	-	-									
Md.	20	12	66	68	30	31	-	-	-	-	-	1									
D.C.	-	-	11	10	4	2	-	-	-	-	-	-									
Va.	2	5	14	32	8	13	-	-	-	-	-	-									
W. Va.	1	1	1	-	-	-	-	-	-	-	-	-									
N.C.	5	3	25	14	39	48	-	-	-	-	-	-									
S.C.	2	-	1	7	16	-	-	-	-	-	-	-									
Ga.	9	13	57	79	15	39	-	-	-	-	-	-									
Fla.	9	5	76	39	42	16	-	-	-	-	-	-									
E.S. CENTRAL	15	14	77	98	63	71	-	-	-	-	-	-									
Ky.	2	3	6	2	7	3	-	-	-	-	-	-									
Tenn.	8	6	49	51	42	55	-	-	-	-	-	-									
Ala.	4	5	21	27	14	13	-	-	-	-	-	-									
Miss.	1	-	1	18	-	-	-	-	-	-	-	-									
W.S. CENTRAL	10	11	177	227	28	95	-	-	-	2	2	-									
Ark.	-	-	6	6	7	20	-	-	-	-	-	-									
La.	3	5	9	4	5	5	-	-	-	-	-	-									
Okla.	5	4	59	82	8	7	-	-	-	-	-	-									
Tex.	2	2	103	135	8	63	-	-	-	2	2	-									
MOUNTAIN	25	38	248	571	84	139	-	1	-	-	1	-									
Mont.	1	-	3	6	1	1	-	-	-	-	-	-									
Idaho	1	-	8	40	4	4	-	-	-	-	-	-									
Wyo.	1	-	1	10	-	1	U	-	U	-	-	-									
Colo.	1	7	59	49	18	15	-	1	-	-	1	-									
N. Mex.	6	-	5	35	33	50	-	-	-	-	-	-									
Ariz.	11	19	131	347	11	36	-	-	-	-	-	-									
Utah	4	2	12	36	7	16	-	-	-	-	-	-									
Nev.	-	10	29	48	10	16	-	-	-	-	-	-									
PACIFIC	15	26	816	879	298	280	-	6	-	1	7	-									
Wash.	-	1	50	80	2	16	-	-	-	-	-	-									
Oreg.	6	12	38	61	10	24	-	6	-	-	6	-									
Calif.	8	10	725	725	282	233	-	-	-	1	1	-									
Alaska	1	1	2	1	2	2	-	-	-	-	-	-									
Hawaii	-	2	1	12	2	5	-	-	-	-	-	-									
Guam	-	-	-	-	-	-	U	-	U	-	-	-									
P.R.	-	1	9	6	13	81	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	-	-	-	-	14	U	-	U	-	-	-									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


