
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending May 1, 2004 (WEEK 17)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2004
AIDS § cummulative for 2003
Chlamydia† cummulative for 2004
Chlamydia† cummulative for 2003
Coccidioidomycosis cummulative for 2004
Coccidioidomycosis cummulative for 2003
Cryptosporidiosis cummulative for 2004
Cryptosporidiosis cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2004
Encephalitis/Meningitis West Nile cummulative for 2003

tab delimited data:
test
UNITED STATES	8,910	13,563	260,600	278,610	1,528	1,138	751	596	5	-											
NEW ENGLAND	311	485	9,195	9,018	-	-	41	41	-	-											
Maine	5	23	564	613	N	N	8	2	-	-											
N.H.	11	12	535	508	-	-	12	5	-	-											
Vt.	7	6	355	346	-	-	5	6	-	-											
Mass.	84	226	4,571	3,378	-	-	10	21	-	-											
R.I.	32	29	1,114	1,060	-	-	1	5	-	-											
Conn.	172	189	2,056	3,113	N	N	5	2	-	-											
MID. ATLANTIC	1,283	2,988	34,434	33,592	-	-	122	93	-	-											
Upstate N.Y.	134	140	6,980	5,833	N	N	29	23	-	-											
N.Y. City	380	1,623	10,185	11,436	-	-	27	35	-	-											
N.J.	386	540	4,404	4,711	-	-	7	3	-	-											
Pa.	383	685	12,865	11,612	N	N	59	32	-	-											
E.N. CENTRAL	806	1,232	43,992	51,143	5	2	172	140	1	-											
Ohio	229	155	9,773	14,179	-	-	48	20	1	-											
Ind.	117	178	5,828	5,486	N	N	25	9	-	-											
Ill.	279	556	10,995	15,948	-	-	12	24	-	-											
Mich.	132	277	13,021	9,924	5	2	41	26	-	-											
Wis.	49	66	4,375	5,606	-	-	46	61	-	-											
W.N. CENTRAL	228	209	15,556	16,095	4	1	84	53	1	-											
Minn.	48	56	2,764	3,563	N	N	36	27	-	-											
Iowa	11	27	1,087	1,624	N	N	12	7	-	-											
Mo.	107	83	6,409	5,853	3	1	15	6	1	-											
N. Dak.	10	-	369	430	N	N	-	1	-	-											
S. Dak.	-	4	849	784	-	-	9	9	-	-											
Nebr.	6	18	1,590	1,533	1	-	3	2	-	-											
Kans.	46	21	2,488	2,308	N	N	9	1	-	-											
S. ATLANTIC	3,510	3,883	48,781	51,940	-	1	161	87	2	-											
Del.	42	80	1,915	2,044	N	N	-	1	-	-											
Md.	343	407	6,264	5,258	-	1	8	7	-	-											
D.C.	149	382	1,127	1,147	-	-	1	-	-	-											
Va.	141	297	7,430	5,696	-	-	19	9	-	-											
W. Va.	30	22	883	825	N	N	2	-	-	-											
N.C.	243	438	9,037	7,536	N	N	31	10	-	-											
S.C.	204	213	6,182	4,942	-	-	5	2	2	-											
Ga.	509	492	2,945	10,948	-	-	54	31	-	-											
Fla.	1,849	1,552	12,998	13,544	N	N	41	27	-	-											
E.S. CENTRAL	446	619	16,084	18,098	N	N	35	40	-	-											
Ky.	42	67	1,836	2,734	N	N	9	9	-	-											
Tenn.	187	269	7,279	6,165	N	N	12	12	-	-											
Ala.	127	142	3,503	4,841	-	-	9	16	-	-											
Miss.	90	141	3,466	4,358	N	N	5	3	-	-											
W.S. CENTRAL	1,307	1,632	34,426	34,375	1	6	22	13	1	-											
Ark.	43	47	2,668	2,197	1	-	8	2	-	-											
La.	281	192	8,215	6,052	N	N	-	-	1	-											
Okla.	37	74	3,193	3,384	N	N	7	3	-	-											
Tex.	946	1,319	20,350	22,742	-	6	7	8	-	-											
MOUNTAIN	257	524	13,157	16,931	945	803	37	27	-	-											
Mont.	-	8	409	723	N	N	4	3	-	-											
Idaho	2	6	981	864	N	N	4	6	-	-											
Wyo.	2	4	357	339	-	-	2	1	-	-											
Colo.	48	127	2,542	4,364	N	N	19	6	-	-											
N. Mex.	20	42	1,459	2,472	7	1	1	1	-	-											
Ariz.	109	217	5,148	5,113	908	787	5	2	-	-											
Utah	17	29	845	1,067	10	2	1	6	-	-											
Nev.	59	91	1,416	1,989	20	13	1	2	-	-											
PACIFIC	762	1,991	44,975	47,418	571	325	77	102	-	-											
Wash.	127	160	5,639	5,029	N	N	4	-	-	-											
Oreg.	53	87	1,979	2,498	-	-	10	10	-	-											
Calif.	543	1,702	36,100	36,930	571	325	62	92	-	-											
Alaska	8	9	1,246	1,191	-	-	-	-	-	-											
Hawaii	31	33	11	1,770	-	-	1	-	-	-											
Guam	1	1	-	-	-	-	-	-	-	-											
P.R.	143	325	553	735	N	N	N	N	-	-											
V.I.	2	9	20	113	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	2	U	32	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


