
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending September 13, 1997 (WEEK 37)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1997
Meningococcal Disease cummulative for 1996
Mumps current week
Mumps cummulative for 1997
Mumps cummulative for 1996
Pertussis current week
Pertussis cummulative for 1997
Pertussis cummulative for 1996
Rubella current week
Rubella cummulative for 1997
Rubella cummulative for 1996

tab delimited data:
test
UNITED STATES	2,379	2,329	14	407	505	77	3,535	3,825	3	136	214										
NEW ENGLAND	149	95	-	8	1	1	644	835	-	1	25										
Maine	17	10	-	-	-	-	6	32	-	-	-										
N.H.	13	3	-	-	-	-	80	72	-	-	-										
Vt.	4	3	-	-	-	-	187	68	-	-	2										
Mass.	73	37	-	2	1	1	345	615	-	1	20										
R.I.	14	10	-	5	-	-	12	25	-	-	-										
Conn.	28	32	-	1	-	-	14	23	-	-	3										
MID. ATLANTIC	215	247	1	42	59	11	265	274	-	29	10										
Upstate N.Y.	54	65	-	7	18	-	93	141	-	2	4										
N.Y. City	39	37	-	3	14	-	56	25	-	27	4										
N.J.	46	53	-	5	2	-	9	20	-	-	2										
Pa.	76	92	1	27	25	11	107	88	-	-	-										
E.N. CENTRAL	333	340	-	44	104	3	293	469	1	5	3										
Ohio	132	124	-	19	38	-	109	165	-	-	-										
Ind.	39	49	-	7	6	1	39	34	-	-	-										
Ill.	97	92	-	9	19	2	54	111	1	2	1										
Mich.	39	35	-	9	39	-	39	30	-	-	2										
Wis.	26	40	-	-	2	-	52	129	-	3	-										
W.N. CENTRAL	174	191	1	14	14	33	287	229	-	-	-										
Minn.	29	25	-	5	5	23	183	171	-	-	-										
Iowa	39	40	1	7	1	7	33	11	-	-	-										
Mo.	77	72	-	-	5	3	46	27	-	-	-										
N. Dak.	2	3	U	-	2	U	2	1	U	-	-										
S. Dak.	4	10	U	-	-	U	4	4	U	-	-										
Nebr.	8	18	-	2	-	-	6	5	-	-	-										
Kans.	15	23	-	-	1	-	13	10	-	-	-										
S. ATLANTIC	422	361	2	58	86	8	342	402	1	68	91										
Del.	5	2	-	-	-	-	1	18	-	-	-										
Md.	38	43	-	4	27	1	101	146	-	3	-										
D.C.	-	5	-	-	-	-	3	-	1	1	1										
Va.	40	43	-	9	12	-	34	56	-	1	2										
W. Va.	14	13	-	-	-	-	6	2	-	-	-										
N.C.	78	60	-	9	19	-	89	72	-	52	77										
S.C.	45	43	-	10	5	-	21	24	-	9	1										
Ga.	78	106	2	8	3	3	11	19	-	-	-										
Fla.	124	46	-	18	20	4	76	65	-	2	10										
E.S. CENTRAL	188	164	1	20	19	2	80	173	-	-	2										
Ky.	38	21	-	3	-	-	21	134	-	-	-										
Tenn.	72	48	-	4	1	1	31	15	-	-	-										
Ala.	61	56	1	7	3	1	20	17	-	-	2										
Miss.	17	39	-	6	15	-	8	7	-	-	N										
W.S. CENTRAL	233	261	8	43	36	6	154	99	-	4	8										
Ark.	27	28	-	1	1	3	25	4	-	-	-										
La.	46	49	1	12	12	-	15	7	-	-	1										
Okla.	29	27	-	-	-	1	22	8	-	-	-										
Tex.	131	157	7	30	23	2	92	80	-	4	7										
MOUNTAIN	144	138	-	51	20	11	891	350	1	6	6										
Mont.	8	6	-	-	-	-	16	26	-	-	-										
Idaho	8	20	-	2	-	1	541	97	-	1	2										
Wyo.	2	3	-	1	-	-	6	4	-	-	-										
Colo.	38	28	-	3	3	4	197	112	-	-	2										
N. Mex.	23	22	N	N	N	5	72	45	-	-	-										
Ariz.	39	31	-	31	1	1	31	24	1	5	1										
Utah	11	12	-	7	3	-	14	13	-	-	-										
Nev.	15	16	-	7	13	-	14	29	-	-	1										
PACIFIC	521	532	1	127	166	2	579	994	-	23	69										
Wash.	62	75	-	14	18	2	261	444	-	5	15										
Oreg.	102	95	N	N	N	-	17	51	-	-	1										
Calif.	350	353	1	93	122	-	276	471	-	10	50										
Alaska	2	6	-	3	2	-	14	2	-	-	-										
Hawaii	5	3	-	17	24	-	11	26	-	8	3										
Guam	-	4	U	1	4	U	-	-	U	-	-										
P.R.	9	11	-	7	1	-	-	2	-	-	-										
V.I.	-	-	U	-	1	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	4	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1996 and 1997 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


