
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 17, 1999 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis cummulative for 1999
Legionellosis cummulative for 1998
Lyme Disease cummulative for 1999
Lyme Disease cummulative for 1998
Malaria cummulative for 1999
Malaria cummulative for 1998
Syphilis (Primary and Secondary) cummulative for 1999
Syphilis (Primary and Secondary) cummulative for 1998
Tuberculosis cummulative for 1999
Tuberculosis cummulative for 1998
Rabies, Animal cummulative for 1999
Rabies, Animal cummulative for 1998

tab delimited data:
test
UNITED STATES	229	340	1,028	1,213	273	327	1,672	2,070	1,312	2,153	1,390										
NEW ENGLAND	15	20	155	252	3	14	21	22	95	97	236										
Maine	2	1	-	2	-	-	-	1	3	3	39										
N.H.	2	2	-	5	-	2	-	1	-	2	15										
Vt.	3	1	-	2	-	-	1	-	-	1	44										
Mass.	4	6	104	54	3	12	15	17	49	46	47										
R.I.	1	4	8	18	-	-	1	-	15	12	24										
Conn.	3	6	43	171	-	-	4	3	28	33	67										
MID. ATLANTIC	67	77	649	782	72	100	77	84	479	515	286										
Upstate N.Y.	20	19	213	379	21	24	7	7	67	63	181										
N.Y. City	5	20	5	19	16	51	34	17	273	325	U										
N.J.	5	3	117	98	24	14	11	28	139	127	66										
Pa.	37	35	314	286	11	11	25	32	U	U	39										
E.N. CENTRAL	50	132	24	20	18	32	314	301	87	98	10										
Ohio	22	44	17	14	4	2	25	51	U	U	3										
Ind.	5	25	5	4	4	1	32	46	U	U	-										
Ill.	2	18	1	-	1	16	206	128	U	U	-										
Mich.	20	20	1	2	7	11	49	52	65	70	7										
Wis.	1	25	U	U	2	2	2	24	22	28	-										
W.N. CENTRAL	9	21	15	8	14	18	6	60	118	100	142										
Minn.	-	1	8	1	2	8	1	4	55	32	26										
Iowa	6	4	2	6	3	3	1	-	2	-	30										
Mo.	2	7	-	-	8	6	-	45	48	45	6										
N. Dak.	-	-	1	-	-	-	-	-	1	3	30										
S. Dak.	1	-	-	-	-	-	-	-	3	4	25										
Nebr.	-	7	-	-	-	-	1	4	4	1	1										
Kans.	-	2	4	1	1	1	3	7	5	15	24										
S. ATLANTIC	33	39	118	109	74	65	595	791	203	402	519										
Del.	2	6	1	2	-	1	1	7	-	7	3										
Md.	5	9	90	92	23	25	129	220	U	U	109										
D.C.	-	3	1	4	6	4	10	28	14	31	-										
Va.	6	3	3	3	12	9	41	55	17	53	121										
W. Va.	N	N	4	2	1	-	2	-	12	18	30										
N.C.	5	4	15	1	6	7	154	223	93	207	119										
S.C.	5	4	1	-	-	-	72	88	67	86	44										
Ga.	-	-	-	2	5	12	89	83	U	U	46										
Fla.	10	10	3	3	21	7	97	87	U	U	47										
E.S. CENTRAL	8	11	13	12	5	9	314	359	92	178	73										
Ky.	2	5	-	2	-	-	28	40	U	U	13										
Tenn.	5	3	5	5	3	4	160	178	U	U	26										
Ala.	1	1	6	5	2	3	85	76	86	107	34										
Miss.	-	2	2	-	-	2	41	65	6	71	-										
W.S. CENTRAL	1	3	-	3	8	8	248	266	54	577	25										
Ark.	-	-	-	2	-	1	26	45	28	25	-										
La.	1	-	-	-	6	3	76	87	U	U	-										
Okla.	-	-	-	-	1	1	61	13	26	32	25										
Tex.	-	3	-	1	1	3	85	121	-	520	-										
MOUNTAIN	16	17	3	1	14	17	39	78	44	71	47										
Mont.	-	1	-	-	2	-	-	-	-	2	16										
Idaho	-	-	-	-	1	1	-	-	-	3	-										
Wyo.	-	1	1	-	-	-	-	-	-	1	18										
Colo.	1	4	-	-	5	5	-	4	U	U	1										
N. Mex.	1	2	1	-	2	6	-	7	18	18	-										
Ariz.	1	2	-	-	4	2	37	61	U	U	12										
Utah	7	6	1	-	-	1	1	2	12	18	-										
Nev.	6	1	-	1	-	2	1	4	14	29	-										
PACIFIC	30	20	51	26	65	64	58	109	140	115	52										
Wash.	5	2	-	1	3	2	16	6	80	56	-										
Oreg.	-	-	1	1	7	6	-	-	U	U	-										
Calif.	24	18	50	24	51	55	40	103	U	U	48										
Alaska	1	-	-	-	-	-	1	-	16	11	4										
Hawaii	-	-	-	-	4	1	1	-	44	48	-										
Guam	-	1	-	-	-	1	-	-	-	37	-										
P.R.	-	-	-	-	-	-	62	65	-	30	24										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	-	-	-	-	-	66	-	45	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


