
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending April 5, 2003 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	5,954	7,346	4,617	3,637	1,506	1,352	700	717	95	70											
NEW ENGLAND	282	369	72	64	86	68	3	1	1	1											
Maine	16	45	3	2	10	13	-	-	-	-											
N.H.	18	16	-	3	11	16	-	-	N	N											
Vt.	4	16	1	-	7	2	3	1	1	1											
Mass.	162	208	44	47	57	37	N	N	N	N											
R.I.	18	5	2	-	1	-	-	-	-	-											
Conn.	64	79	22	12	-	-	-	-	-	-											
MID. ATLANTIC	492	1,108	273	252	192	266	30	36	23	19											
Upstate N.Y.	142	209	68	29	119	111	21	36	18	19											
N.Y. City	189	390	93	116	28	72	U	U	U	U											
N.J.	60	251	66	54	13	57	N	N	N	N											
Pa.	101	258	46	53	32	26	9	-	5	-											
E.N. CENTRAL	779	1,220	286	471	332	325	145	56	46	31											
Ohio	281	294	71	236	106	62	104	-	36	-											
Ind.	55	50	26	13	24	10	41	54	5	8											
Ill.	232	503	108	143	55	111	-	2	-	-											
Mich.	132	211	59	44	130	95	N	N	N	N											
Wis.	79	162	22	35	17	47	N	N	5	23											
W.N. CENTRAL	387	487	196	343	125	88	87	195	13	15											
Minn.	106	100	22	37	55	42	-	125	13	14											
Iowa	82	65	10	31	N	N	N	N	N	N											
Mo.	104	198	64	39	25	22	4	4	-	1											
N. Dak.	8	5	-	-	5	-	3	-	-	-											
S. Dak.	17	20	8	114	12	3	-	1	-	-											
Nebr.	26	30	68	83	15	7	4	20	N	N											
Kans.	44	69	24	39	13	14	76	45	N	N											
S. ATLANTIC	1,748	1,823	1,957	1,356	285	229	369	328	3	1											
Del.	11	12	81	3	4	-	-	3	N	N											
Md.	162	140	162	158	102	33	-	-	-	-											
D.C.	8	19	14	17	5	3	-	26	-	1											
Va.	141	144	69	263	22	27	N	N	N	N											
W. Va.	15	12	-	2	11	2	17	15	3	-											
N.C.	278	233	210	68	31	51	N	N	U	U											
S.C.	69	77	49	13	7	18	27	65	N	N											
Ga.	431	447	692	508	26	64	113	134	N	N											
Fla.	633	739	680	324	77	31	212	85	N	N											
E.S. CENTRAL	365	351	223	271	55	39	32	61	-	-											
Ky.	72	49	34	45	10	5	1	8	N	N											
Tenn.	121	107	67	16	45	34	31	53	N	N											
Ala.	117	109	89	110	-	-	-	-	N	N											
Miss.	55	86	33	100	-	-	-	-	-	-											
W.S. CENTRAL	321	517	710	260	76	67	20	21	9	1											
Ark.	67	65	14	36	1	-	5	2	-	-											
La.	53	79	53	38	1	1	15	19	7	1											
Okla.	43	61	163	57	26	11	N	N	2	-											
Tex.	158	312	480	129	48	55	N	N	-	-											
MOUNTAIN	445	404	251	116	194	129	13	19	-	2											
Mont.	30	10	1	-	-	-	-	-	-	-											
Idaho	57	23	6	2	10	3	N	N	N	N											
Wyo.	5	15	1	1	-	3	4	8	-	-											
Colo.	119	114	42	30	68	39	-	-	-	-											
N. Mex.	31	62	36	20	47	35	9	11	-	-											
Ariz.	136	100	143	46	62	41	-	-	N	N											
Utah	41	29	10	9	7	8	-	-	-	2											
Nev.	26	51	12	8	-	-	-	-	-	-											
PACIFIC	1,135	1,067	649	504	161	141	1	-	-	-											
Wash.	83	41	41	15	-	-	-	-	N	N											
Oreg.	85	69	21	30	N	N	N	N	N	N											
Calif.	903	890	572	442	131	125	N	N	N	N											
Alaska	25	16	4	2	-	-	-	-	N	N											
Hawaii	39	51	11	15	30	16	1	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	24	-	1	-	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


