
TABLE II. (Part 10)  Provisional cases of selected notifiable diseases, United States, week ending February 2, 2013 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease †, all ages current week
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2013
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2012
Streptococcus pneumoniae, invasive disease †, age <5 years current week
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2013
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2012
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2013
Syphillis, primary & secondary cummulative for 2012

tab delimited data:
test
UNITED STATES	187	256	525	1,606	1,787	11	20	37	65	116	72	289	366	742	1,302						
NEW ENGLAND	2	11	25	37	77	-	1	4	-	5	4	7	18	25	38						
Conn.	-	5	13	6	36	-	0	2	-	2	-	0	4	-	12						
Maine	1	2	8	16	13	-	0	1	-	-	-	0	5	-	-						
Mass.	-	0	3	-	4	-	0	2	-	2	4	6	13	21	22						
N.H.	1	1	5	4	11	-	0	1	-	1	-	1	4	3	3						
R.I.	-	0	6	-	4	-	0	1	-	-	-	0	6	1	1						
Vt.	-	1	6	11	9	-	0	0	-	-	-	0	1	-	-						
MID. ATLANTIC	4	34	70	113	252	-	2	5	4	14	16	39	61	106	192						
N.J.	-	5	24	2	80	-	0	3	-	6	-	4	8	1	19						
N.Y. (Upstate)	-	15	35	-	93	-	1	3	-	4	9	4	16	19	10						
N.Y. City	4	14	35	111	79	-	0	3	4	4	1	18	29	39	91						
Pa.	N	0	0	N	N	N	0	0	N	N	6	14	25	47	72						
E.N. CENTRAL	37	55	120	404	385	-	3	10	8	16	-	29	49	27	137						
Ill.	N	0	0	N	N	-	0	0	-	-	-	10	26	-	51						
Ind.	-	13	34	34	85	-	1	2	-	2	-	4	10	10	19						
