
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending May 14, 2005 (WEEK 19)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	13,232	12,150	335,024	333,050	1,457	1,783	679	893													
NEW ENGLAND	532	370	9,243	10,972	-	-	34	52													
Maine	4	5	789	718	N	N	3	8													
N.H.	7	19	678	632	-	-	5	13													
Vt.	3	10	370	430	-	-	9	6													
Mass.	275	119	5,320	4,909	-	-	12	18													
R.I.	47	44	1,240	1,283	-	-	1	1													
Conn.	196	173	846	3,000	N	N	4	6													
MID. ATLANTIC	2,558	2,414	61,658	41,471	-	-	154	144													
Upstate N.Y.	253	186	7,585	7,865	N	N	20	27													
N.Y. City	1,476	1,134	11,458	13,004	-	-	20	46													
N.J.	413	524	4,108	6,708	N	N	7	10													
Pa.	416	570	38,507	13,894	N	N	107	61													
E.N. CENTRAL	1,204	1,276	48,884	60,559	2	5	114	232													
Ohio	185	231	13,714	15,535	N	N	44	51													
Ind.	165	164	7,019	6,610	N	N	11	30													
Ill.	661	606	13,284	17,217	-	-	-	39													
Mich.	138	207	8,280	14,614	2	5	19	47													
Wis.	55	68	6,587	6,583	N	N	40	65													
W.N. CENTRAL	318	300	18,621	20,416	3	4	90	93													
Minn.	88	66	3,030	4,149	3	N	26	39													
Iowa	41	19	2,450	2,514	N	N	16	14													
Mo.	132	125	7,756	7,582	-	3	32	17													
N. Dak.	5	12	412	719	N	N	-	-													
S. Dak.	9	5	1,030	937	-	-	7	10													
Nebr.	5	20	1,498	1,916	-	1	1	3													
Kans.	38	53	2,445	2,599	N	N	8	10													
S. ATLANTIC	4,263	4,145	60,044	62,742	-	-	144	167													
Del.	70	55	1,228	1,091	N	N	-	-													
Md.	513	475	6,496	7,074	-	-	7	9													
D.C.	276	149	1,401	1,348	-	-	2	4													
Va.	223	209	7,635	8,234	-	-	12	22													
W. Va.	22	29	886	1,024	N	N	4	2													
N.C.	350	237	12,702	9,815	N	N	19	31													
S.C.	215	267	7,522	6,630	-	-	7	7													
Ga.	741	690	6,629	12,289	-	-	40	47													
Fla.	1,853	2,034	15,545	15,237	N	N	53	45													
E.S. CENTRAL	770	555	21,777	19,688	-	3	15	38													
Ky.	91	68	4,158	2,033	N	N	5	9													
Tenn.	313	208	8,017	8,283	N	N	3	12													
Ala.	213	167	2,576	4,449	-	-	6	10													
Miss.	153	112	7,026	4,923	-	3	1	7													
W.S. CENTRAL	1,513	1,707	40,452	42,055	-	2	17	40													
Ark.	71	88	3,248	2,945	-	1	1	7													
La.	278	337	6,706	9,367	-	1	2	-													
Okla.	112	68	3,911	3,829	N	N	7	8													
Tex.	1,052	1,214	26,587	25,914	N	N	7	25													
MOUNTAIN	537	485	19,668	18,532	940	1,126	34	34													
Mont.	3	-	722	754	N	N	4	3													
Idaho	5	3	731	1,144	N	N	2	4													
Wyo.	-	5	404	411	-	-	2	2													
Colo.	107	97	4,757	4,786	N	N	11	17													
N. Mex.	56	51	1,478	3,098	2	9	2	1													
Ariz.	227	197	7,672	5,344	906	1,085	4	5													
Utah	25	29	1,538	1,213	2	12	4	1													
Nev.	114	103	2,366	1,782	30	20	5	1													
PACIFIC	1,537	898	54,677	56,615	512	643	77	93													
Wash.	144	165	7,101	6,345	N	N	5	-													
Oreg.	90	90	3,213	2,837	-	-	14	9													
Calif.	1,250	592	41,313	43,835	512	643	58	83													
Alaska	9	10	1,396	1,453	-	-	-	-													
Hawaii	44	41	1,654	2,145	-	-	-	1													
Guam	1	-	-	351	-	-	-	-													
P.R.	335	208	1,537	956	N	N	N	N													
V.I.	7	4	32	145	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


