
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 17, 2004 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Giardiasis cummulative for 2004
Giardiasis cummulative for 2003
Gonorrhea cummulative for 2004
Gonorrhea cummulative for 2003

tab delimited data:
test
UNITED STATES	17	28	-	5	1	1	267	464	6,393	10,397											
NEW ENGLAND	-	3	-	-	-	-	18	31	179	292											
Maine	-	-	-	-	-	-	-	3	-	3											
N.H.	-	-	-	-	-	-	-	-	-	6											
Vt.	-	-	-	-	-	-	2	5	-	1											
Mass.	-	3	-	-	-	-	16	23	135	76											
R.I.	-	-	-	-	-	-	-	-	44	36											
Conn.	-	-	-	-	-	-	-	-	-	170											
MID. ATLANTIC	1	6	-	-	-	1	46	83	868	1,351											
Upstate N.Y.	-	-	-	-	-	-	11	3	88	73											
N.Y. City	-	-	-	-	-	-	4	38	368	385											
N.J.	-	2	-	-	-	-	6	15	187	383											
Pa.	1	4	-	-	-	1	25	27	225	510											
E.N. CENTRAL	5	13	-	-	1	-	38	80	915	2,568											
Ohio	2	4	-	-	1	-	21	42	86	871											
Ind.	-	-	-	-	-	-	-	-	200	256											
Ill.	-	-	-	-	-	-	1	10	227	945											
Mich.	3	4	-	-	-	-	16	16	387	265											
Wis.	-	5	-	-	-	-	-	12	15	231											
W.N. CENTRAL	1	3	-	-	-	-	14	43	234	575											
Minn.	-	-	-	-	-	-	2	-	-	133											
Iowa	-	-	-	-	-	-	8	10	-	9											
Mo.	-	2	-	-	-	-	-	26	96	289											
N. Dak.	-	-	-	-	-	-	-	-	-	1											
S. Dak.	-	-	-	-	-	-	1	-	5	1											
Nebr.	-	1	-	-	-	-	-	3	-	27											
Kans.	1	-	-	-	-	-	3	4	133	115											
S. ATLANTIC	2	-	-	3	-	-	76	120	1,687	2,073											
Del.	-	-	N	N	N	N	-	2	46	53											
Md.	-	-	-	-	-	-	4	6	350	321											
D.C.	-	-	-	-	-	-	-	-	80	92											
Va.	-	-	-	-	-	-	-	-	374	219											
W. Va.	-	-	-	-	-	-	-	-	39	31											
N.C.	-	-	-	2	-	-	N	N	284	404											
S.C.	-	-	-	-	-	-	-	-	171	265											
Ga.	-	-	-	-	-	-	34	89	11	164											
Fla.	2	-	-	1	-	-	38	23	332	524											
E.S. CENTRAL	-	-	-	-	-	-	2	10	701	976											
Ky.	-	-	-	-	-	-	N	N	121	122											
Tenn.	-	-	-	-	-	-	2	6	203	249											
Ala.	-	-	-	-	-	-	-	4	281	293											
Miss.	-	-	-	-	-	-	-	-	96	312											
W.S. CENTRAL	-	1	-	1	-	-	3	-	1,081	1,425											
Ark.	-	-	-	-	-	-	3	-	116	132											
La.	-	-	-	-	-	-	-	-	475	159											
Okla.	-	-	-	-	-	-	-	-	105	127											
Tex.	-	1	-	1	-	-	-	-	385	1,007											
MOUNTAIN	2	2	-	1	-	-	11	30	144	432											
Mont.	-	-	-	-	-	-	1	1	-	6											
Idaho	1	-	-	-	-	-	5	4	3	6											
Wyo.	-	-	-	-	-	-	-	2	2	2											
Colo.	-	1	-	-	-	-	-	13	35	135											
N. Mex.	-	-	-	1	-	-	-	1	4	51											
Ariz.	-	1	N	N	N	N	-	5	94	175											
Utah	1	-	-	-	-	-	5	1	6	4											
Nev.	-	-	-	-	-	-	-	3	-	53											
PACIFIC	6	-	-	-	-	-	59	67	584	705											
Wash.	-	-	-	-	-	-	-	-	73	74											
Oreg.	1	-	-	-	-	-	12	9	-	20											
Calif.	5	-	-	-	-	-	46	54	497	565											
Alaska	-	-	-	-	-	-	1	3	13	9											
Hawaii	-	-	-	-	-	-	-	1	1	37											
Guam	N	N	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	1	2	1											
V.I.	-	-	-	-	-	-	-	-	-	4											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


