
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending August 28, 2010 (WEEK 34)*

column labels in same order that data fields appears in each record below:
Reporting Area
Hepatitis (Viral Acute), Type A current week
Hepatitis (Viral Acute), Type A previous 52 weeks median 
Hepatitis (Viral Acute), Type A previous 52 weeks maximum 
Hepatitis (Viral Acute), Type A cummulative for 2010
Hepatitis (Viral Acute), Type A cummulative for 2009
Hepatitis (Viral Acute), Type B current week
Hepatitis (Viral Acute), Type B previous 52 weeks median 
Hepatitis (Viral Acute), Type B previous 52 weeks maximum 
Hepatitis (Viral Acute), Type B cummulative for 2010
Hepatitis (Viral Acute), Type B cummulative for 2009
Hepatitis (Viral Acute), Type C current week
Hepatitis (Viral Acute), Type C previous 52 weeks median 
Hepatitis (Viral Acute), Type C previous 52 weeks maximum 
Hepatitis (Viral Acute), Type C cummulative for 2010
Hepatitis (Viral Acute), Type C cummulative for 2009

tab delimited data:
test
UNITED STATES	20	30	69	959	1,309	46	58	204	1,944	2,180	9	15	44	542	493						
NEW ENGLAND	-	2	5	66	70	-	1	5	37	40	-	1	4	22	46						
Conn.	-	0	2	18	14	-	0	2	11	11	-	0	3	15	36						
Maine	-	0	1	7	1	-	0	2	11	9	-	0	1	-	1						
Mass.	-	1	4	34	44	-	0	2	8	16	-	0	1	7	8						
N.H.	-	0	1	1	6	-	0	2	5	4	N	0	0	N	N						
R.I.	-	0	4	6	3	U	0	0	U	U	U	0	0	U	U						
Vt.	-	0	0	-	2	-	0	1	2	-	-	0	0	-	1						
MID. ATLANTIC	2	4	10	128	183	-	5	10	201	239	2	2	6	71	68						
N.J.	-	0	3	11	52	-	1	5	50	73	-	0	2	7	4						
N.Y. (Upstate)	1	1	3	38	31	-	1	6	37	38	2	1	4	41	32						
N.Y. City	-	1	4	44	57	-	2	4	60	45	-	0	1	-	4						
Pa.	1	1	6	35	43	-	1	5	54	83	-	0	3	23	28						
E.N. CENTRAL	5	4	10	124	210	3	8	15	281	307	-	2	8	101	65						
Ill.	-	1	3	26	97	-	2	6	58	76	-	0	1	1	4						
Ind.	-	0	2	15	15	-	1	5	39	48	-	0	2	18	13						
Mich.	-	1	4	37	48	-	2	6	75	98	-	1	6	70	22						
Ohio	5	0	4	24	28	3	2	6	76	68	-	0	1	7	23						
Wis.	-	0	3	22	22	-	1	3	33	17	-	0	1	5	3						
W.N. CENTRAL	1	1	12	44	80	-	2	15	80	92	-	0	11	21	9						
Iowa	-	0	3	5	26	-	0	2	11	26	-	0	4	1	3						
Kans.	-	0	2	9	7	-	0	2	4	5	-	0	0	-	1						
Minn.	-	0	12	13	14	-	0	13	6	17	-	0	9	9	2						
Mo.	-	0	3	13	13	-	1	5	49	30	-	0	1	9	-						
Nebr.	1	0	1	4	17	-	0	2	9	12	-	0	1	2	2						
N. Dak.	-	0	1	-	-	-	0	0	-	-	-	0	1	-	-						
S. Dak.	-	0	0	-	3	-	0	1	1	2	-	0	0	-	1						
S. ATLANTIC	5	8	14	238	275	27	16	40	570	596	4	4	7	115	111						
Del.	-	0	1	5	3	-	0	2	18	22	U	0	0	U	U						
D.C.	-	0	1	1	1	-	0	1	3	9	-	0	1	2	-						
Fla.	2	3	8	86	119	10	5	11	197	195	2	1	4	38	27						
Ga.	-	1	3	27	33	1	3	7	97	96	-	0	2	6	29						
Md.	-	0	4	16	29	1	1	6	38	54	-	0	2	14	16						
N.C.	1	0	5	41	31	8	1	15	65	79	2	1	3	32	13						
S.C.	1	1	4	26	37	-	1	4	38	37	-	0	0	-	1						
Va.	1	1	6	34	21	2	2	14	72	58	-	0	2	9	7						
W. Va.	-	0	2	2	1	5	0	14	42	46	-	0	5	14	18						
E.S. CENTRAL	1	1	3	27	29	3	7	13	216	214	1	3	7	87	65						
Ala.	-	0	1	5	7	-	1	5	39	65	-	0	2	3	5						
Ky.	1	0	2	12	6	1	2	7	74	49	-	2	5	60	39						
Miss.	-	0	1	1	8	-	0	3	20	19	U	0	0	U	U						
Tenn.	-	0	2	9	8	2	3	6	83	81	1	0	4	24	21						
W.S. CENTRAL	-	2	19	73	123	4	9	109	280	379	1	1	14	47	39						
Ark.	-	0	3	-	6	-	1	4	31	48	-	0	1	-	1						
La.	-	0	2	6	3	-	1	5	30	41	-	0	1	4	6						
Okla.	-	0	3	-	3	3	1	19	58	66	1	0	12	15	9						
Tex.	-	2	18	67	111	1	5	87	161	224	-	1	3	28	23						
MOUNTAIN	2	3	9	105	110	3	2	8	84	93	-	1	5	32	36						
Ariz.	1	1	5	49	45	-	0	2	22	35	U	0	0	U	U						
Colo.	1	1	3	24	38	-	0	3	18	17	-	0	2	6	23						
Idaho	-	0	2	6	3	1	0	1	6	7	-	0	2	8	2						
Mont.	-	0	1	4	5	-	0	1	1	-	-	0	0	-	1						
Nev.	-	0	2	10	7	2	1	3	29	21	-	0	1	3	2						
N. Mex.	-	0	1	3	7	-	0	1	3	5	-	0	2	7	5						
Utah	-	0	2	6	3	-	0	1	5	4	-	0	1	8	3						
