
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending June 16, 2007 (WEEK 24)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2007
Pertussis cummulative for 2006
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2007
Rabies, animal cummulative for 2006
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2007
Rocky Mountain Spotted Fever cummulative for 2006

tab delimited data:
test
UNITED STATES	62	249	1,428	3,413	6,075	43	95	168	1,869	2,210	11	31	210	424	578						
NEW ENGLAND	1	32	77	471	725	5	11	22	237	163	-	0	10	-	6						
Conn.	-	2	10	18	30	5	4	14	81	68	-	0	0	-	-						
Maine	1	2	15	36	23	-	2	8	37	40	N	0	0	N	N						
Mass.	-	21	46	369	453	-	0	0	-	-	-	0	1	-	5						
N.H.	-	2	9	27	123	-	1	4	17	11	-	0	0	-	1						
R.I.	-	0	31	1	22	-	0	3	18	12	-	0	9	-	-						
Vt.	-	1	9	20	74	-	2	13	84	32	-	0	0	-	-						
MID. ATLANTIC	18	34	155	540	759	-	13	38	303	189	-	1	6	18	24						
N.J.	-	3	16	60	145	-	0	0	-	-	-	0	4	-	13						
N.Y. (Upstate)	17	18	146	293	277	-	-	-	-	-	-	0	0	-	-						
N.Y. City	-	2	6	51	42	-	1	5	24	5	-	0	3	8	4						
Pa.	1	9	20	136	295	-	11	37	279	184	-	0	3	10	7						
E.N. CENTRAL	23	41	80	692	873	5	2	18	44	38	-	0	9	6	24						
Ill.	-	9	23	68	232	-	0	7	3	9	-	0	4	1	14						
Ind.	2	2	45	16	86	-	0	2	5	3	-	0	1	1	2						
Mich.	1	10	39	119	162	4	0	5	12	20	-	0	1	1	-						
Ohio	20	14	56	379	284	1	0	12	24	6	-	0	4	3	7						
Wis.	-	3	20	110	109	-	0	0	-	-	-	0	0	-	1						
W.N. CENTRAL	-	17	151	202	628	6	6	19	105	112	-	3	13	67	55						
Iowa	-	4	16	62	165	-	0	7	13	16	-	0	1	1	2						
Kans.	-	3	14	71	132	6	2	6	66	34	-	0	1	-	-						
Minn.	-	0	119	-	78	-	0	6	6	12	-	0	2	1	1						
Mo.	-	3	10	37	173	-	1	6	8	12	-	3	12	61	46						
Nebr.	-	1	4	12	63	-	0	0	-	-	-	0	5	3	6						
N. Dak.	-	0	18	4	4	-	0	6	7	13	-	0	0	-	-						
S. Dak.	-	0	4	16	13	-	0	3	5	25	-	0	1	1	-						
S. ATLANTIC	16	19	163	422	481	22	40	63	907	1,020	4	15	67	216	355						
Del.	-	0	1	3	2	-	0	0	-	-	-	0	3	5	8						
D.C.	-	0	2	2	3	-	0	0	-	-	-	0	1	1	-						
Fla.	2	4	18	105	99	-	0	24	61	176	-	0	4	7	8						
Ga.	-	1	7	6	37	-	4	9	81	112	-	0	5	5	18						
Md.	3	2	7	58	79	-	6	12	128	140	1	1	7	20	26						
N.C.	11	1	112	159	87	10	11	21	231	184	-	9	61	131	272						
S.C.	-	3	11	40	65	-	3	11	46	70	-	1	5	13	5						
Va.	-	2	17	42	98	12	12	31	323	290	3	2	12	33	17						
W. Va.	-	0	19	7	11	-	1	8	37	48	-	0	2	1	1						
E.S. CENTRAL	1	5	24	89	134	-	3	11	61	120	6	6	27	83	82						
Ala.	-	1	17	28	31	-	0	8	-	36	1	1	9	24	20						
Ky.	-	0	5	2	23	-	0	4	9	7	-	0	1	1	-						
Miss.	-	0	10	12	18	-	0	0	-	4	-	0	1	2	-						
Tenn.	1	3	9	47	62	-	2	8	52	73	5	4	22	56	62						
W.S. CENTRAL	1	17	186	219	318	-	15	35	56	406	-	1	167	25	20						
Ark.	1	2	17	59	31	-	0	5	11	17	-	0	53	1	16						
La.	-	0	2	6	16	-	0	1	-	2	-	0	1	-	-						
Okla.	-	0	36	2	10	-	1	22	45	30	-	0	108	20	1						
Tex.	-	14	134	152	261	-	10	34	-	357	-	0	6	4	3						
MOUNTAIN	1	28	63	553	1,488	3	2	28	59	73	1	0	4	8	10						
Ariz.	-	6	17	139	325	2	2	10	45	58	-	0	2	-	3						
Colo.	-	7	18	141	498	-	0	0	-	-	1	0	1	1	1						
Idaho	-	1	7	21	38	-	0	24	-	-	-	0	3	2	-						
Mont.	-	1	8	30	58	-	0	2	1	7	-	0	2	-	-						
Nev.	-	0	9	3	41	-	0	1	-	-	-	0	0	-	-						
N. Mex.	-	2	8	23	46	-	0	2	4	5	-	0	1	-	3						
Utah	1	9	48	182	450	1	0	1	5	2	-	0	0	-	-						
Wyo.	-	1	8	14	32	-	0	2	4	1	-	0	2	5	3						
PACIFIC	1	23	547	225	669	2	4	13	97	89	-	0	1	1	2						
Alaska	1	1	8	16	34	-	0	6	35	14	N	0	0	N	N						
Calif.	-	18	225	99	506	2	3	12	61	73	-	0	0	-	-						
Hawaii	-	0	5	10	56	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	1	11	43	73	-	0	4	1	2	-	0	1	1	2						
Wash.	-	0	377	57	-	-	0	0	-	-	N	0	0	N	N						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	-	-	U	U	U	-	-	U	U	U	-	-	U	U						
Guam	-	1	7	-	14	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	1	-	-	-	1	4	19	51	N	0	0	N	N						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


