
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending June 12, 2004 (WEEK 23)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2004
Salmonellosis cummulative for 2003
Shigellosis cummulative for 2004
Shigellosis cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2004
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2004
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003

tab delimited data:
test
UNITED STATES	11,102	12,389	4,344	9,586	2,342	3,301	1,224	1,243	277	294											
NEW ENGLAND	568	621	100	121	116	314	15	59	5	1											
Maine	34	40	2	4	4	17	2	-	1	-											
N.H.	34	44	4	4	12	20	-	-	N	N											
Vt.	19	19	2	5	5	14	7	5	1	1											
Mass.	310	355	63	75	78	140	N	N	N	N											
R.I.	43	31	6	3	17	5	6	7	3	-											
Conn.	128	132	23	30	-	118	-	47	U	U											
MID. ATLANTIC	1,465	1,542	525	928	399	568	87	74	57	53											
Upstate N.Y.	373	313	260	132	135	203	41	35	41	40											
N.Y. City	395	443	140	167	54	88	U	U	U	U											
N.J.	228	253	76	169	74	115	-	-	2	-											
Pa.	469	533	49	460	136	162	46	39	14	13											
E.N. CENTRAL	1,468	1,728	308	820	422	824	276	260	88	101											
Ohio	405	482	72	120	141	187	198	177	52	55											
Ind.	158	190	59	54	61	72	78	83	21	15											
Ill.	321	564	87	471	36	217	-	-	-	-											
Mich.	303	258	43	111	164	240	N	N	N	N											
Wis.	281	234	47	64	20	108	N	N	15	31											
W.N. CENTRAL	840	691	159	305	179	200	126	99	28	29											
Minn.	195	182	20	39	86	93	-	-	23	25											
Iowa	173	130	32	22	N	N	N	N	N	N											
Mo.	238	180	67	142	40	45	6	6	4	2											
N. Dak.	15	15	1	3	8	8	-	3	1	2											
S. Dak.	29	30	6	8	8	16	3	-	-	-											
Nebr.	58	60	7	60	9	19	-	-	N	N											
Kans.	132	94	26	31	28	19	117	90	N	N											
S. ATLANTIC	2,437	2,862	1,181	2,957	492	524	563	599	10	6											
Del.	16	37	3	128	2	5	4	1	N	N											
Md.	221	302	50	230	105	146	-	4	-	-											
D.C.	14	14	20	30	5	4	3	-	3	-											
Va.	284	294	43	139	40	62	N	N	N	N											
W. Va.	50	32	-	-	16	25	64	37	7	6											
N.C.	285	399	137	299	73	43	N	N	U	U											
S.C.	140	153	183	191	35	21	51	89	N	N											
Ga.	355	436	243	654	99	111	121	145	N	N											
Fla.	1,072	1,195	502	1,286	117	107	320	323	N	N											
E.S. CENTRAL	637	772	235	438	125	110	74	84	-	-											
Ky.	121	130	34	52	41	29	19	11	N	N											
Tenn.	180	258	93	153	84	81	55	73	N	N											
Ala.	193	196	84	143	-	-	-	-	N	N											
Miss.	143	188	24	90	-	-	-	-	-	-											
W.S. CENTRAL	977	1,403	979	2,674	127	157	30	49	60	64											
Ark.	152	167	20	38	6	4	5	17	7	4											
La.	135	237	94	214	1	1	25	32	8	14											
Okla.	114	115	222	385	31	49	N	N	24	27											
Tex.	576	884	643	2,037	89	103	N	N	21	19											
MOUNTAIN	859	820	314	392	278	285	16	17	29	40											
Mont.	55	44	4	2	-	1	-	-	-	-											
Idaho	60	80	5	10	4	11	N	N	N	N											
Wyo.	20	46	1	1	5	1	4	3	-	-											
Colo.	187	209	52	58	73	81	-	-	26	38											
N. Mex.	82	69	44	85	51	72	5	13	-	-											
Ariz.	293	229	172	198	118	100	N	N	N	N											
Utah	89	72	16	21	26	18	5	1	3	2											
Nev.	73	71	20	17	1	1	2	-	-	-											
PACIFIC	1,851	1,950	543	951	204	319	37	2	-	-											
Wash.	157	224	36	83	24	29	-	-	N	N											
Oreg.	162	175	29	43	N	N	N	N	N	N											
Calif.	1,364	1,432	453	807	140	235	N	N	N	N											
Alaska	32	39	4	4	-	-	-	-	N	N											
Hawaii	136	80	21	14	40	55	37	2	-	-											
Guam	-	19	-	20	-	-	-	-	-	-											
P.R.	55	272	1	4	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	3	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


