
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending May 15, 2004 (WEEK 19)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2004
Salmonellosis cummulative for 2003
Shigellosis cummulative for 2004
Shigellosis cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2004
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2004
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003

tab delimited data:
test
UNITED STATES	8,810	9,527	3,428	7,264	2,061	2,782	1,129	1,073	200	250											
NEW ENGLAND	388	469	77	105	93	266	13	44	4	1											
Maine	29	26	1	4	3	13	1	-	-	-											
N.H.	24	32	3	3	9	15	-	-	N	N											
Vt.	18	15	2	3	4	12	6	5	1	1											
Mass.	225	273	53	68	61	123	N	N	N	N											
R.I.	32	25	4	3	16	1	6	-	3	-											
Conn.	60	98	14	24	-	102	-	39	U	U											
MID. ATLANTIC	1,141	1,201	408	603	304	472	76	60	46	43											
Upstate N.Y.	293	233	176	110	115	169	36	26	33	31											
N.Y. City	307	358	118	147	39	64	U	U	U	U											
N.J.	185	201	66	147	48	102	N	N	N	N											
Pa.	356	409	48	199	102	137	40	34	13	12											
E.N. CENTRAL	1,248	1,330	261	573	352	707	247	222	68	94											
Ohio	326	384	64	92	125	153	186	146	45	51											
Ind.	132	114	47	41	44	61	61	76	16	15											
Ill.	321	449	87	316	35	197	-	-	-	-											
Mich.	240	188	34	81	136	200	N	N	N	N											
Wis.	229	195	29	43	12	96	N	N	7	28											
W.N. CENTRAL	616	524	123	240	158	174	106	92	21	19											
Minn.	154	145	17	33	73	82	-	-	18	16											
Iowa	122	109	29	20	N	N	N	N	N	N											
Mo.	169	134	39	89	38	38	5	6	3	1											
N. Dak.	13	12	1	3	6	8	-	3	-	2											
S. Dak.	23	22	6	8	8	14	1	-	-	-											
Nebr.	45	42	7	60	8	17	-	-	N	N											
Kans.	90	60	24	27	25	15	100	83	N	N											
S. ATLANTIC	2,096	2,221	1,047	2,350	512	436	559	520	5	5											
Del.	24	27	6	118	4	4	6	-	N	N											
Md.	170	232	38	202	91	126	-	4	-	-											
D.C.	14	12	19	24	4	4	3	-	3	-											
Va.	229	219	31	105	35	45	N	N	N	N											
W. Va.	43	18	-	-	12	16	55	27	2	5											
N.C.	247	320	129	273	56	36	N	N	U	U											
S.C.	111	127	143	107	28	16	41	80	N	N											
Ga.	409	306	255	492	183	94	180	137	N	N											
Fla.	849	960	426	1,029	99	95	274	272	N	N											
E.S. CENTRAL	462	563	194	369	96	87	61	71	-	-											
Ky.	95	103	26	44	31	22	16	6	N	N											
Tenn.	138	186	85	124	65	65	45	65	N	N											
Ala.	146	160	62	125	-	-	-	-	N	N											
Miss.	83	114	21	76	-	-	-	-	-	-											
W.S. CENTRAL	652	974	637	1,864	105	133	28	47	49	56											
Ark.	94	98	17	24	5	3	5	17	5	4											
La.	79	172	65	184	1	1	23	30	7	13											
Okla.	86	71	146	243	28	35	N	N	22	22											
Tex.	393	633	409	1,413	71	94	N	N	15	17											
MOUNTAIN	735	619	255	320	253	234	15	15	7	32											
Mont.	51	36	3	1	-	1	-	-	-	-											
Idaho	49	67	5	8	4	10	N	N	N	N											
Wyo.	20	12	1	1	5	-	4	2	-	-											
Colo.	179	172	54	51	83	66	-	-	5	30											
N. Mex.	61	53	37	64	36	58	5	13	-	-											
Ariz.	238	177	120	162	101	94	-	-	N	N											
Utah	75	61	16	17	23	4	4	-	2	2											
Nev.	62	41	19	16	1	1	2	-	-	-											
PACIFIC	1,472	1,626	426	840	188	273	24	2	-	-											
Wash.	118	166	25	75	24	26	-	-	N	N											
Oreg.	107	147	18	29	N	N	N	N	N	N											
Calif.	1,118	1,217	366	721	131	204	N	N	N	N											
Alaska	32	34	3	4	-	-	-	-	N	N											
Hawaii	97	62	14	11	33	43	24	2	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	40	230	1	4	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	3	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


