
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending July 4, 2009 (WEEK 26)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2009
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008

tab delimited data:
test
UNITED STATES	44	96	239	3,029	3,402	6	33	122	920	1,044											
NEW ENGLAND	2	5	28	169	249	-	1	12	24	53											
Conn.	-	0	21	49	66	-	0	11	-	-											
Maine	-	0	3	10	17	-	0	1	2	1											
Mass.	-	2	10	60	121	-	1	2	15	41											
N.H.	-	1	4	28	16	-	0	1	5	7											
R.I.	1	0	2	9	19	-	0	2	-	4											
Vt.	1	0	3	13	10	-	0	1	2	-											
MID. ATLANTIC	11	18	38	588	713	1	4	33	137	135											
N.J.	-	1	6	5	129	-	1	4	14	39											
N.Y. (Upstate)	8	6	25	223	225	1	2	17	71	60											
N.Y. City	-	4	12	124	133	-	0	31	52	36											
Pa.	3	6	18	236	226	N	0	2	N	N											
E.N. CENTRAL	1	16	42	601	680	1	5	18	134	191											
Ill.	-	4	12	163	188	-	1	5	15	54											
Ind.	-	3	23	103	86	-	0	13	16	20											
Mich.	-	3	11	100	116	-	1	5	42	53											
Ohio	1	4	13	159	185	1	1	6	44	35											
Wis.	-	2	10	76	105	-	1	4	17	29											
W.N. CENTRAL	13	6	37	272	256	-	2	11	69	49											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	1	5	37	28	N	0	1	N	N											
Minn.	13	0	34	118	122	-	0	7	31	11											
Mo.	-	2	8	61	62	-	1	4	26	22											
Nebr.	-	1	3	29	23	-	0	1	4	6											
N. Dak.	-	0	4	10	8	-	0	3	4	5											
S. Dak.	-	0	3	17	13	-	0	2	4	5											
S. ATLANTIC	10	22	47	669	669	2	6	16	193	202											
Del.	-	0	1	8	6	-	0	0	-	-											
D.C.	-	0	2	-	7	N	0	0	N	N											
Fla.	2	6	12	162	147	-	1	6	46	39											
Ga.	3	5	13	154	151	-	2	6	49	54											
Md.	3	3	10	100	122	1	1	3	40	39											
N.C.	1	2	12	73	86	N	0	0	N	N											
S.C.	-	1	5	41	40	1	1	6	32	32											
Va.	-	3	9	103	85	-	0	4	18	33											
W. Va.	1	1	4	28	25	-	0	2	8	5											
E.S. CENTRAL	1	4	10	124	114	-	1	6	35	56											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	5	23	24	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	2	-	7											
Tenn.	1	3	9	101	90	-	1	6	35	49											
W.S. CENTRAL	3	9	79	262	281	2	6	46	172	154											
Ark.	1	0	2	10	7	-	0	4	17	9											
La.	-	0	3	9	11	-	0	3	13	8											
Okla.	2	2	20	92	66	1	1	7	33	46											
Tex.	-	6	59	151	197	1	4	34	109	91											
MOUNTAIN	2	9	22	265	368	-	4	16	138	172											
Ariz.	2	3	7	90	125	-	2	10	78	79											
Colo.	-	3	9	96	93	-	1	4	28	39											
Idaho	-	0	2	3	12	-	0	2	6	3											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	5	6	-	0	1	-	2											
N. Mex.	-	2	7	47	93	-	0	4	15	25											
Utah	-	1	6	23	34	-	0	4	11	23											
Wyo.	-	0	1	1	5	-	0	1	-	1											
PACIFIC	1	3	9	79	72	-	0	3	18	32											
Alaska	-	0	4	10	16	-	0	2	13	21											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	1	3	8	69	56	-	0	2	5	11											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	0	-	30	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


