
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending February 18, 2006 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant, all ages cummulative for 2006
Streptococcus pneumoniae, invasive disease, drug resistant, all ages cummulative for 2005
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2006
Syphillis, primary & secondary cummulative for 2005
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2006
Varicella (chickenpox) cummulative for 2005

tab delimited data:
test
UNITED STATES	45	49	90	383	370	80	167	213	786	946	692	557	1,778	5,371	3,341						
NEW ENGLAND	-	2	12	3	21	3	4	15	24	25	12	36	1,128	167	402						
Conn.	U	0	0	U	U	-	0	11	1	-	U	0	0	U	U						
Maine	N	0	0	N	N	-	0	1	1	-	-	5	20	19	55						
Mass.	-	1	6	-	20	3	2	5	19	24	-	26	86	-	337						
N.H.	-	0	0	-	-	-	0	2	3	1	12	4	1,110	58	-						
R.I.	-	0	7	-	-	-	0	6	-	-	-	0	0	-	-						
Vt.	-	0	2	3	1	-	0	1	-	-	-	2	25	90	10						
MID. ATLANTIC	4	3	10	22	48	8	20	33	97	130	86	116	211	845	402						
N.J.	N	0	0	N	N	3	2	7	18	14	-	0	0	-	-						
N.Y. (Upstate)	2	1	9	6	13	4	2	12	13	6	-	0	0	-	-						
N.Y. City	U	0	0	U	U	1	12	21	55	90	-	0	0	-	-						
Pa.	2	2	9	16	35	-	4	7	11	20	86	116	211	845	402						
E.N. CENTRAL	10	11	31	86	65	11	17	40	99	62	422	125	486	2,648	1,343						
Ill.	-	0	2	1	-	-	8	31	28	13	-	1	5	2	11						
Ind.	6	3	16	14	12	1	1	5	12	8	-	0	245	-	-						
Mich.	-	1	3	6	9	4	2	8	21	5	83	82	231	708	967						
Ohio	4	7	20	65	44	5	4	11	32	32	339	29	348	1,849	264						
Wis.	N	0	0	N	N	1	1	3	6	4	-	9	27	89	101						
W.N. CENTRAL	1	1	15	9	9	-	5	9	20	34	25	11	70	274	10						
Iowa	N	0	0	N	N	-	0	1	-	2	N	0	0	N	N						
Kans.	N	0	0	N	N	-	0	2	4	2	-	0	0	-	-						
