
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending May 17, 2003 (WEEK 20)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	9,326	11,056	7,548	5,127	2,451	2,158	1,041	1,295	163	119											
NEW ENGLAND	466	596	104	96	145	121	5	4	1	1											
Maine	33	54	4	3	14	16	-	-	-	-											
N.H.	30	34	3	4	11	22	-	-	N	N											
Vt.	12	24	3	-	13	7	5	3	1	1											
Mass.	265	344	67	68	103	69	N	N	N	N											
R.I.	27	23	3	4	4	7	-	1	-	-											
Conn.	99	117	24	17	-	-	-	-	-	-											
MID. ATLANTIC	924	1,539	422	396	331	378	53	62	44	40											
Upstate N.Y.	264	373	121	56	186	154	27	58	34	35											
N.Y. City	331	435	142	170	48	91	U	U	U	U											
N.J.	65	325	72	86	15	80	N	N	N	N											
Pa.	264	406	87	84	82	53	26	4	10	5											
E.N. CENTRAL	1,324	1,896	489	624	572	509	234	88	75	48											
Ohio	415	438	100	289	159	108	154	-	53	-											
Ind.	159	120	44	24	52	21	80	86	17	19											
Ill.	377	728	222	204	146	164	-	2	-	-											
Mich.	211	314	86	59	198	150	N	N	N	N											
Wis.	162	296	37	48	17	66	N	N	5	29											
W.N. CENTRAL	577	737	267	451	176	131	104	272	16	21											
Minn.	172	166	35	69	88	66	-	182	16	19											
Iowa	114	115	21	37	N	N	N	N	N	N											
Mo.	145	271	90	50	34	28	7	4	-	1											
N. Dak.	14	9	-	7	6	-	3	-	-	1											
S. Dak.	24	29	8	131	13	7	-	1	-	-											
Nebr.	48	49	83	105	18	13	-	23	N	N											
Kans.	60	98	30	52	17	17	94	62	N	N											
S. ATLANTIC	2,436	2,434	2,635	1,740	416	356	530	645	4	3											
Del.	21	15	111	5	5	1	1	3	N	N											
Md.	248	213	212	261	148	48	-	-	-	-											
D.C.	12	27	20	20	8	4	2	29	-	1											
Va.	240	238	108	348	45	36	N	N	N	N											
W. Va.	18	29	-	2	16	7	29	31	4	2											
N.C.	351	318	273	111	36	71	N	N	U	U											
S.C.	116	141	125	24	15	25	52	104	N	N											
Ga.	510	404	865	431	48	80	159	166	N	N											
Fla.	920	1,049	921	538	95	84	287	312	N	N											
E.S. CENTRAL	574	590	374	406	85	53	69	74	-	-											
Ky.	106	96	47	57	18	7	5	8	N	N											
Tenn.	184	163	116	22	67	46	64	66	N	N											
Ala.	173	168	136	156	-	-	-	-	N	N											
Miss.	111	163	75	171	-	-	-	-	-	-											
W.S. CENTRAL	762	1,015	2,100	524	187	86	29	124	22	4											
Ark.	96	136	23	73	2	3	7	5	-	-											
La.	67	217	75	147	1	1	22	119	8	4											
Okla.	82	97	253	117	42	18	N	N	14	-											
Tex.	517	565	1,749	187	142	64	N	N	-	-											
MOUNTAIN	674	666	337	191	277	277	16	26	1	2											
Mont.	36	29	2	1	1	-	-	-	-	-											
Idaho	71	49	8	2	11	5	N	N	N	N											
Wyo.	26	20	1	3	-	6	3	8	-	-											
Colo.	185	178	53	43	97	58	-	-	-	-											
N. Mex.	52	98	65	46	61	54	13	18	-	-											
Ariz.	186	166	173	73	99	142	-	-	N	N											
Utah	68	49	19	12	7	12	-	-	1	2											
Nev.	50	77	16	11	1	-	-	-	-	-											
PACIFIC	1,589	1,583	820	699	262	247	1	-	-	-											
Wash.	153	121	65	34	23	8	-	-	N	N											
Oreg.	145	128	33	35	N	N	N	N	N	N											
Calif.	1,227	1,222	717	609	218	216	N	N	N	N											
Alaska	36	23	4	2	-	-	-	-	N	N											
Hawaii	28	89	1	19	21	23	1	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	47	118	1	10	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


