
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending November 13, 1999 (WEEK 45)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1999
AIDS § cummulative for 1998
Chlamydia† cummulative for 1999
Chlamydia† cummulative for 1998
Cryptosporidiosis cummulative for 1999
Cryptosporidiosis cummulative for 1998
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 NETSS cummulative for 1998
Escherichia coli O157:H7 PHLIS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 1998

tab delimited data:
test
UNITED STATES	37,420	38,690	518,752	510,763	2,097	3,400	2,953	2,633	2,098	2,007											
NEW ENGLAND	1,904	1,517	17,057	17,481	130	143	290	295	323	253											
Maine	68	26	738	926	25	29	36	35	-	-											
N.H.	38	25	825	853	17	15	31	42	31	43											
Vt.	15	18	417	367	35	26	32	19	20	17											
Mass.	1,231	766	7,808	7,296	49	66	164	135	175	144											
R.I.	90	110	2,023	1,978	4	7	27	11	26	1											
Conn.	462	572	5,246	6,061	-	-	U	53	71	48											
MID. ATLANTIC	9,663	10,367	53,094	53,425	388	516	255	275	78	84											
Upstate N.Y.	1,146	1,250	N	N	149	308	196	198	-	-											
N.Y. City	5,100	5,843	21,963	22,873	116	185	9	12	17	12											
N.J.	1,741	1,894	9,152	10,283	36	23	50	65	32	51											
Pa.	1,676	1,380	21,979	20,269	87	N	N	N	29	21											
E.N. CENTRAL	2,519	2,736	78,421	86,469	525	682	628	406	454	332											
Ohio	403	567	20,031	23,468	57	68	207	108	181	66											
Ind.	285	446	9,543	9,635	37	52	100	91	59	47											
Ill.	1,201	1,037	30,302	23,288	60	81	210	105	81	75											
Mich.	504	530	18,545	17,936	45	37	111	102	73	62											
Wis.	126	156	U	12,142	326	444	N	N	60	82											
W.N. CENTRAL	846	750	31,048	30,455	194	311	559	444	386	379											
Minn.	161	146	5,903	6,130	72	130	219	187	168	198											
Iowa	72	60	4,063	3,915	54	63	112	89	73	58											
Mo.	408	363	11,903	10,891	28	25	57	46	58	60											
N. Dak.	6	5	707	908	18	30	16	11	14	15											
S. Dak.	13	15	1,338	1,342	7	22	44	30	59	35											
Nebr.	61	60	2,908	2,500	14	35	90	48	-	-											
Kans.	125	101	4,226	4,769	1	6	21	33	14	13											
S. ATLANTIC	10,275	10,032	111,533	98,292	339	314	307	226	155	163											
Del.	147	122	2,400	2,248	-	3	6	-	3	2											
Md.	1,242	1,394	10,083	6,426	17	18	38	40	4	14											
D.C.	496	750	N	N	8	22	1	1	U	U											
Va.	689	771	12,474	11,410	23	20	69	N	55	51											
W. Va.	61	70	1,204	2,116	3	1	11	11	8	9											
N.C.	688	703	19,221	19,248	23	N	66	53	51	47											
S.C.	847	638	10,284	14,400	-	-	20	13	14	12											
Ga.	1,466	1,060	29,542	20,818	121	112	30	70	-	-											
Fla.	4,639	4,524	26,325	21,626	144	138	66	38	20	28											
E.S. CENTRAL	1,666	1,596	39,154	35,502	26	24	113	112	58	63											
Ky.	236	248	6,477	5,535	6	10	43	34	-	-											
Tenn.	643	590	11,994	11,814	6	8	43	50	38	40											
Ala.	423	417	10,872	8,907	11	N	22	22	16	19											
Miss.	364	341	9,811	9,246	3	6	5	6	4	4											
W.S. CENTRAL	3,822	4,742	71,607	77,915	81	898	124	95	118	97											
Ark.	158	177	5,183	3,365	2	6	14	11	8	10											
La.	742	814	11,220	13,024	22	15	9	5	14	7											
Okla.	113	254	6,968	8,360	10	N	28	22	24	8											
Tex.	2,809	3,497	48,236	53,166	47	877	73	57	72	72											
MOUNTAIN	1,469	1,359	27,123	28,353	89	120	301	343	195	239											
Mont.	11	26	1,393	1,152	10	10	24	15	-	5											
Idaho	21	27	1,453	1,751	7	17	60	38	20	24											
Wyo.	10	3	667	605	1	2	15	53	14	55											
Colo.	271	254	5,141	6,771	12	18	108	80	87	65											
N. Mex.	78	188	3,264	3,280	39	46	12	18	5	19											
Ariz.	745	550	10,769	10,075	12	18	30	43	20	26											
Utah	129	114	1,854	1,837	N	N	36	72	47	21											
Nev.	204	197	2,582	2,882	8	9	16	24	2	24											
PACIFIC	5,256	5,591	89,715	82,871	325	392	376	437	331	397											
Wash.	305	369	10,370	9,659	N	N	145	101	158	124											
Oreg.	185	146	5,204	4,840	88	65	73	102	68	96											
Calif.	4,673	4,915	70,072	64,512	237	324	148	227	94	162											
Alaska	13	17	1,611	1,642	-	-	1	7	1	-											
Hawaii	80	144	2,458	2,218	-	3	9	-	10	15											
Guam	5	1	302	363	-	-	N	N	U	U											
P.R.	1,094	1,498	U	U	-	N	5	5	U	U											
V.I.	36	31	U	U	U	U	U	U	U	U											
Amer. Samoa	-	-	U	U	U	U	U	U	U	U											
C.N.M.I.	-	-	U	U	U	U	U	U	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 1999 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


