
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending February 2, 2013 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis current week
Legionellosis previous 52 weeks median 
Legionellosis previous 52 weeks maximum 
Legionellosis cummulative for 2013
Legionellosis cummulative for 2012
Lyme disease current week
Lyme disease previous 52 weeks median 
Lyme disease previous 52 weeks maximum 
Lyme disease cummulative for 2013
Lyme disease cummulative for 2012
Malaria current week
Malaria previous 52 weeks median 
Malaria previous 52 weeks maximum 
Malaria cummulative for 2013
Malaria cummulative for 2012

tab delimited data:
test
UNITED STATES	21	55	134	133	214	35	417	1,432	390	1,353	13	22	44	60	116						
NEW ENGLAND	-	5	19	4	7	-	112	605	20	421	-	1	5	2	7						
Conn.	-	1	7	1	-	-	37	181	3	138	-	0	2	-	-						
Maine	-	0	3	1	-	-	16	69	8	34	-	0	1	-	-						
Mass.	-	2	11	-	5	-	46	340	1	175	-	0	4	-	6						
N.H.	-	0	2	-	1	-	9	53	1	52	-	0	2	2	-						
R.I.	-	0	3	-	1	-	1	26	-	1	-	0	1	-	-						
Vt.	-	0	2	2	-	-	8	29	7	21	-	0	1	-	1						
MID. ATLANTIC	5	15	43	16	50	20	199	657	223	658	1	5	14	8	16						
N.J.	-	2	12	1	11	-	51	166	45	247	-	0	0	-	-						
N.Y. (Upstate)	-	6	15	-	12	7	41	201	27	47	-	0	4	-	2						
N.Y. City	1	2	13	4	9	-	1	12	-	1	1	4	11	8	11						
Pa.	4	4	18	11	18	13	94	405	151	363	-	1	4	-	3						
E.N. CENTRAL	5	11	38	24	48	-	20	168	5	79	1	2	8	5	12						
Ill.	-	3	23	-	10	-	2	18	-	5	-	0	6	-	4						
Ind.	-	2	5	2	6	-	1	6	-	3	-	0	2	-	3						
Mich.	-	1	6	-	7	-	2	9	-	2	1	0	5	3	2						
Ohio	5	4	17	22	25	-	1	6	2	4	-	1	3	1	2						
Wis.	-	0	2	-	-	-	16	138	3	65	-	0	2	1	1						
W.N. CENTRAL	1	3	10	3	13	-	2	27	1	4	-	0	5	3	5						
Iowa	-	0	2	-	-	-	1	16	-	1	-	0	1	-	1						
Kans.	-	0	1	-	-	-	0	3	-	-	-	0	2	-	1						
Minn.	-	1	4	-	2	-	1	9	-	3	-	0	0	-	-						
Mo.	-	1	8	-	10	-	0	2	1	-	-	0	2	1	3						
Nebr.	1	0	2	3	-	-	0	2	-	-	-	0	1	1	-						
N. Dak.	-	0	1	-	1	-	0	1	-	-	-	0	1	-	-						
S. Dak.	-	0	1	-	-	-	0	1	-	-	-	0	2	1	-						
S. ATLANTIC	7	10	23	36	49	12	58	163	131	170	10	7	16	36	41						
Del.	-	0	2	-	3	2	10	30	21	42	-	0	1	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	-	0	0	-	2						
Fla.	5	4	11	21	24	1	2	6	6	11	1	1	3	8	13						
Ga.	-	1	3	3	5	1	0	4	1	-	-	1	5	2	1						
Md.	2	2	6	7	5	8	25	89	93	68	8	2	8	22	12						
N.C.	-	1	8	3	4	-	0	24	-	1	-	0	7	-	2						
S.C.	-	0	3	1	2	-	1	3	-	4	-	0	2	-	2						
Va.	-	1	4	1	6	-	16	53	9	35	1	1	4	4	9						
W. Va.	-	0	2	-	-	-	1	10	1	9	-	0	0	-	-						
E.S. CENTRAL	-	2	7	4	7	-	1	5	3	1	-	0	4	2	1						
Ala.	-	0	2	-	1	-	0	2	1	-	-	0	2	-	1						
Ky.	-	0	4	-	2	-	0	4	1	1	-	0	1	-	-						
Miss.	-	0	2	-	1	-	0	1	-	-	-	0	1	-	-						
Tenn.	-	1	3	4	3	-	0	4	1	-	-	0	2	2	-						
W.S. CENTRAL	1	3	18	8	3	-	1	6	-	1	-	1	6	1	7						
Ark.	-	0	3	-	-	-	0	0	-	-	-	0	1	-	-						
La.	-	0	3	3	1	-	0	1	-	1	-	0	2	1	-						
Okla.	-	0	9	-	-	-	0	0	-	-	-	0	4	-	3						
Tex.	1	2	15	5	2	-	1	6	-	-	-	0	5	-	4						
MOUNTAIN	1	2	6	6	11	3	0	5	5	5	-	1	5	1	8						
Ariz.	-	0	3	-	4	-	0	2	-	1	-	0	2	-	-						
Colo.	-	0	3	-	3	-	0	0	-	-	-	0	3	-	4						
Idaho	-	0	2	1	1	3	0	1	4	2	-	0	1	-	1						
Mont.	-	0	1	1	-	-	0	1	1	-	-	0	0	-	-						
Nev.	1	0	2	1	1	-	0	2	-	-	-	0	2	1	2						
N. Mex.	-	0	2	-	-	-	0	1	-	-	-	0	1	-	-						
Utah	-	0	4	3	1	-	0	1	-	1	-	0	2	-	1						
Wyo.	-	0	1	-	1	-	0	1	-	1	-	0	0	-	-						
PACIFIC	1	5	22	32	26	-	2	8	2	14	1	3	7	2	19						
Alaska	-	0	0	-	-	-	0	2	-	-	-	0	1	-	1						
Calif.	-	4	21	30	21	-	1	4	1	12	-	1	6	1	16						
Hawaii	-	0	1	-	-	N	0	0	N	N	-	0	1	-	1						
