
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending March 19, 2005 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2005
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004

tab delimited data:
test
UNITED STATES	464	498	-	3	19	26	44	54													
NEW ENGLAND	35	46	-	1	3	4	2	-													
Maine	2	3	-	-	-	-	-	-													
N.H.	-	9	-	-	-	1	-	-													
Vt.	5	4	-	-	-	-	2	-													
Mass.	15	22	-	1	-	2	-	-													
R.I.	4	1	-	-	2	-	-	-													
Conn.	9	7	-	-	1	1	-	-													
MID. ATLANTIC	89	99	-	-	-	1	10	14													
Upstate N.Y.	26	29	-	-	-	1	1	2													
N.Y. City	15	19	-	-	-	-	3	4													
N.J.	17	21	-	-	-	-	3	3													
Pa.	31	30	-	-	-	-	3	5													
E.N. CENTRAL	65	94	-	-	1	6	2	14													
Ohio	36	32	-	-	-	2	2	4													
Ind.	14	11	-	-	1	3	-	1													
Ill.	2	25	-	-	-	-	-	5													
Mich.	8	7	-	-	-	1	-	3													
Wis.	5	19	-	-	-	-	-	1													
W.N. CENTRAL	27	20	-	1	1	1	5	2													
Minn.	11	8	-	-	1	1	-	-													
Iowa	-	1	-	1	-	-	-	-													
Mo.	11	7	-	-	-	-	2	2													
N. Dak.	1	-	-	-	-	-	1	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	2	4	-	-	-	-	1	-													
Kans.	2	-	-	-	-	-	1	-													
S. ATLANTIC	137	112	-	-	5	1	8	9													
Del.	-	-	-	-	-	-	-	-													
Md.	22	25	-	-	2	1	1	-													
D.C.	-	-	-	-	-	-	-	-													
Va.	11	9	-	-	-	-	-	-													
W. Va.	8	6	-	-	-	-	2	3													
N.C.	24	10	-	-	2	-	-	-													
S.C.	3	2	-	-	-	-	-	-													
Ga.	43	29	-	-	-	-	4	6													
Fla.	26	31	-	-	1	-	1	-													
E.S. CENTRAL	22	19	-	-	-	-	4	5													
Ky.	-	-	-	-	-	-	-	-													
Tenn.	17	11	-	-	-	-	2	4													
Ala.	5	8	-	-	-	-	2	1													
Miss.	-	-	-	-	-	-	-	-													
W.S. CENTRAL	22	22	-	-	1	3	5	-													
Ark.	-	-	-	-	-	-	-	-													
La.	10	7	-	-	-	-	5	-													
Okla.	12	15	-	-	1	3	-	-													
Tex.	-	-	-	-	-	-	-	-													
MOUNTAIN	51	66	-	1	7	9	6	8													
Mont.	-	-	-	-	-	-	-	-													
Idaho	1	2	-	-	-	-	-	1													
Wyo.	1	-	-	-	-	-	-	-													
Colo.	12	11	-	-	-	-	2	1													
N. Mex.	6	18	-	-	2	3	-	4													
Ariz.	20	32	-	-	3	6	1	1													
Utah	4	1	-	1	-	-	1	-													
Nev.	7	2	-	-	2	-	2	1													
PACIFIC	16	20	-	-	1	1	2	2													
Wash.	-	1	-	-	-	-	-	1													
Oreg.	9	11	-	-	-	-	2	-													
Calif.	4	6	-	-	1	1	-	1													
Alaska	1	-	-	-	-	-	-	-													
Hawaii	2	2	-	-	-	-	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	-	-													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


