
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 27, 2001 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 2001
H. influenzae, Invasive cummulative for 2000
Hepatitis (Viral), Type A cummulative for 2001
Hepatitis (Viral), Type A cummulative for 2000
Hepatitis (Viral), Type B cummulative for 2001
Hepatitis (Viral), Type B cummulative for 2000
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 2001
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 2001
Measles (Rubeola), Total cummulative for 2001
Measles (Rubeola), Total cummulative for 2000

tab delimited data:
test
UNITED STATES	54	85	322	853	174	371	1	1	-	-	1	2									
NEW ENGLAND	4	8	17	21	3	12	-	-	-	-	-	-									
Maine	-	-	-	1	1	1	-	-	-	-	-	-									
N.H.	-	1	2	1	1	3	-	-	-	-	-	-									
Vt.	-	1	-	1	-	2	-	-	-	-	-	-									
Mass.	4	6	3	11	1	1	-	-	-	-	-	-									
R.I.	-	-	-	-	-	-	-	-	-	-	-	-									
Conn.	-	-	12	7	-	5	-	-	-	-	-	-									
MID. ATLANTIC	5	9	15	39	8	68	-	-	-	-	-	-									
Upstate N.Y.	4	4	9	3	1	3	-	-	-	-	-	-									
N.Y. City	1	4	5	29	7	43	-	-	-	-	-	-									
N.J.	-	-	-	1	-	4	-	-	-	-	-	-									
Pa.	-	1	1	6	-	18	-	-	-	-	-	-									
E.N. CENTRAL	7	15	55	158	40	45	-	-	-	-	-	1									
Ohio	6	6	19	40	12	8	-	-	-	-	-	-									
Ind.	-	1	-	2	-	1	-	-	-	-	-	-									
Ill.	-	7	5	59	-	-	-	-	-	-	-	-									
Mich.	1	1	31	47	28	36	-	-	-	-	-	1									
Wis.	-	-	-	10	-	-	-	-	-	-	-	-									
W.N. CENTRAL	1	3	28	95	10	26	-	-	-	-	-	-									
Minn.	-	-	-	-	-	-	-	-	-	-	-	-									
Iowa	-	-	1	3	-	3	-	-	-	-	-	-									
Mo.	1	3	6	77	6	21	-	-	-	-	-	-									
N. Dak.	-	-	-	-	-	-	-	-	-	-	-	-									
S. Dak.	-	-	-	-	1	-	-	-	-	-	-	-									
Nebr.	-	-	13	3	3	2	-	-	-	-	-	-									
Kans.	-	-	8	12	-	-	-	-	-	-	-	-									
S. ATLANTIC	21	16	53	42	29	35	-	-	-	-	-	-									
Del.	-	-	-	-	-	-	-	-	-	-	-	-									
Md.	3	8	21	8	6	13	-	-	-	-	-	-									
D.C.	-	-	1	-	2	-	-	-	-	-	-	-									
Va.	3	6	9	3	4	6	-	-	-	-	-	-									
W. Va.	1	1	-	5	-	-	-	-	-	-	-	-									
N.C.	6	1	5	20	9	11	-	-	-	-	-	-									
S.C.	-	-	-	1	-	1	-	-	-	-	-	-									
Ga.	3	-	-	-	-	-	-	-	-	-	-	-									
Fla.	5	-	17	5	8	4	-	-	-	-	-	-									
E.S. CENTRAL	1	3	12	53	7	31	-	-	-	-	-	-									
Ky.	-	1	1	2	2	1	-	-	-	-	-	-									
Tenn.	-	2	2	10	1	13	-	-	-	-	-	-									
Ala.	1	-	9	8	2	2	-	-	-	-	-	-									
Miss.	-	-	-	33	2	15	-	-	-	-	-	-									
W.S. CENTRAL	-	7	15	165	8	19	-	-	-	-	-	-									
Ark.	-	-	6	4	4	4	-	-	-	-	-	-									
La.	-	4	1	5	-	13	-	-	-	-	-	-									
Okla.	-	3	8	16	4	1	-	-	-	-	-	-									
Tex.	-	-	-	140	-	1	-	-	-	-	-	-									
MOUNTAIN	10	13	42	52	11	20	-	-	-	-	-	-									
Mont.	-	-	2	-	-	-	-	-	-	-	-	-									
Idaho	-	-	-	3	-	2	-	-	-	-	-	-									
Wyo.	-	-	1	-	-	-	-	-	-	-	-	-									
Colo.	-	5	1	18	-	9	-	-	-	-	-	-									
N. Mex.	7	2	2	8	4	7	-	-	-	-	-	-									
Ariz.	3	5	28	11	4	-	-	-	-	-	-	-									
Utah	-	1	1	7	-	1	-	-	-	-	-	-									
Nev.	-	-	7	5	3	1	-	-	-	-	-	-									
PACIFIC	5	11	85	228	58	115	1	1	-	-	1	1									
Wash.	-	-	1	2	-	-	-	-	-	-	-	-									
Oreg.	5	2	6	22	6	10	1	1	-	-	1	-									
Calif.	-	5	71	199	51	103	-	-	-	-	-	1									
Alaska	-	1	7	2	1	1	-	-	-	-	-	-									
Hawaii	-	3	-	3	-	1	-	-	-	-	-	-									
Guam	-	-	-	-	-	-	U	-	U	-	-	-									
P.R.	-	-	-	14	1	6	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


