
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending July 2, 2011 (WEEK 26)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2010

tab delimited data:
test
UNITED STATES	20	6	109	163	272	12	15	145	108	891	5	1	13	39	47						
NEW ENGLAND	-	0	2	2	3	-	1	8	11	48	-	0	1	1	2						
Conn.	-	0	0	-	-	-	0	6	-	14	-	0	0	-	-						
Maine	-	0	1	1	2	-	0	2	6	12	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
N.H.	-	0	1	1	1	-	0	3	5	8	-	0	1	1	2						
R.I.	-	0	1	-	-	-	0	6	-	13	-	0	0	-	-						
Vt.	-	0	0	-	-	-	0	1	-	1	-	0	0	-	-						
MID. ATLANTIC	4	1	7	15	43	11	4	18	58	91	2	0	2	3	6						
N.J.	-	0	2	-	33	-	0	6	-	42	-	0	0	-	1						
N.Y. (Upstate)	4	0	7	12	7	11	3	18	48	46	2	0	2	3	4						
N.Y. City	-	0	1	3	2	-	0	3	10	3	-	0	0	-	-						
Pa.	-	0	1	-	1	-	0	1	-	-	-	0	1	-	1						
E.N. CENTRAL	-	0	4	8	20	-	1	45	3	293	-	0	6	13	24						
Ill.	-	0	2	5	8	-	0	2	-	1	-	0	1	2	3						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	3	9	10						
Mich.	-	0	1	1	-	-	0	1	-	1	-	0	1	1	-						
Ohio	-	0	3	2	1	-	0	1	1	-	-	0	0	-	-						
Wis.	-	0	1	-	11	-	1	45	2	291	-	0	3	1	11						
W.N. CENTRAL	1	1	13	47	63	-	2	77	12	423	3	0	11	17	5						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	2	2	4	-	0	1	-	1	-	0	0	-	-						
Minn.	U	0	12	-	-	U	0	75	1	418	U	0	11	-	-						
Mo.	1	0	13	45	59	-	0	3	11	4	3	0	9	15	5						
Nebr.	-	0	1	-	-	-	0	0	-	-	-	0	1	1	-						
N. Dak.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
S. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	1	1	-						
S. ATLANTIC	11	3	18	68	99	1	1	4	19	29	-	0	1	1	1						
Del.	-	0	2	10	10	-	0	1	1	3	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	-	0	3	10	4	-	0	1	3	1	-	0	0	-	-						
Ga.	1	0	3	8	15	-	0	1	5	1	-	0	1	1	1						
Md.	2	0	2	9	11	-	0	2	1	10	-	0	1	-	-						
N.C.	8	0	13	15	33	1	0	4	7	10	-	0	0	-	-						
S.C.	-	0	1	-	2	-	0	1	-	-	-	0	0	-	-						
Va.	-	1	8	16	23	-	0	1	2	4	-	0	1	-	-						
W. Va.	-	0	1	-	1	-	0	0	-	-	-	0	0	-	-						
E.S. CENTRAL	4	0	11	23	34	-	0	2	5	7	-	0	1	1	7						
Ala.	-	0	3	-	5	-	0	2	2	1	N	0	0	N	N						
Ky.	1	0	2	7	5	-	0	0	-	-	-	0	0	-	1						
Miss.	-	0	1	-	1	-	0	1	-	1	-	0	0	-	1						
Tenn.	3	0	7	16	23	-	0	2	3	5	-	0	1	1	5						
W.S. CENTRAL	-	0	87	-	9	-	0	9	-	-	-	0	1	-	-						
Ark.	-	0	5	-	-	-	0	2	-	-	-	0	0	-	-						
La.	-	0	0	-	1	-	0	0	-	-	-	0	0	-	-						
Okla.	-	0	82	-	7	-	0	7	-	-	-	0	0	-	-						
Tex.	-	0	1	-	1	-	0	1	-	-	-	0	1	-	-						
MOUNTAIN	-	0	0	-	-	-	0	0	-	-	-	0	1	2	-						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	0	1	2	-						
Colo.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Idaho	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Mont.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Nev.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
N. Mex.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Utah	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Wyo.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
PACIFIC	-	0	1	-	1	-	0	0	-	-	-	0	1	1	2						
Alaska	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Calif.	-	0	1	-	1	-	0	0	-	-	-	0	1	1	2						
Hawaii	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Wash.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
P.R.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2010 and 2011 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Please refer to the MMWR publication for weekly updates to the footnote for this condition.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


