
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending March 17, 2007 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
Lyme disease current week
Lyme disease previous 52 weeks median 
Lyme disease previous 52 weeks maximum 
Lyme disease cummulative for 2007
Lyme disease cummulative for 2006
Malaria current week
Malaria previous 52 weeks median 
Malaria previous 52 weeks maximum 
Malaria cummulative for 2007
Malaria cummulative for 2006
Meningococcal diseases, invasive †, all serogroups current week
Meningococcal diseases, invasive †, all serogroups previous 52 weeks median 
Meningococcal diseases, invasive †, all serogroups previous 52 weeks maximum 
Meningococcal diseases, invasive †, all serogroups cummulative for 2007
Meningococcal diseases, invasive †, all serogroups cummulative for 2006

tab delimited data:
test
UNITED STATES	42	249	1,019	1,135	1,091	3	24	45	117	251	18	19	44	192	302						
NEW ENGLAND	8	20	260	69	82	-	0	6	-	8	1	1	3	4	11						
Conn.	-	9	227	20	35	-	0	3	-	1	1	0	2	2	3						
Maine	8	2	39	28	13	-	0	1	-	-	-	0	3	1	2						
Mass.	-	0	3	-	17	-	0	3	-	5	-	0	2	-	5						
N.H.	-	3	95	17	15	-	0	3	-	1	-	0	2	-	1						
R.I.	-	0	93	-	1	-	0	1	-	-	-	0	1	-	-						
Vt.	-	1	15	4	1	-	0	0	-	1	-	0	1	1	-						
MID. ATLANTIC	23	153	570	556	711	1	5	18	22	73	-	2	11	17	43						
N.J.	-	26	187	102	209	-	1	7	-	22	-	0	2	-	4						
N.Y. (Upstate)	21	57	392	137	209	1	1	7	6	6	-	0	4	3	4						
N.Y. City	-	3	24	5	10	-	2	9	10	36	-	1	4	4	18						
Pa.	2	44	237	312	283	-	1	4	6	9	-	0	4	10	17						
E.N. CENTRAL	-	12	158	13	59	-	3	10	20	33	-	2	12	24	35						
Ill.	-	0	1	-	-	-	1	6	6	12	-	0	3	3	10						
Ind.	-	0	3	-	-	-	0	2	1	5	-	0	5	6	3						
Mich.	-	1	5	5	2	-	0	2	4	4	-	0	4	7	7						
Ohio	-	0	5	2	5	-	0	2	4	9	-	1	4	8	10						
Wis.	-	11	154	6	52	-	0	3	5	3	-	0	2	-	5						
W.N. CENTRAL	1	5	169	20	26	-	1	14	11	5	3	1	4	20	13						
Iowa	-	1	8	1	4	-	0	1	1	1	-	0	2	4	1						
Kans.	1	0	2	4	-	-	0	2	-	-	-	0	1	1	-						
Minn.	-	2	167	15	21	-	0	12	7	2	2	0	3	4	1						
Mo.	-	0	2	-	-	-	0	1	1	1	1	0	3	8	7						
Nebr.	-	0	2	-	1	-	0	1	2	-	-	0	1	1	4						
N. Dak.	-	0	0	-	-	-	0	1	-	-	-	0	1	1	-						
S. Dak.	-	0	1	-	-	-	0	0	-	1	-	0	1	1	-						
S. ATLANTIC	9	42	134	438	186	-	5	15	34	65	6	4	10	33	55						
Del.	2	7	28	64	62	-	0	1	1	-	-	0	1	-	2						
D.C.	1	0	7	2	5	-	0	2	1	-	-	0	1	-	-						
Fla.	1	1	5	10	6	-	1	4	8	7	-	1	7	10	21						
Ga.	-	0	1	-	1	-	1	6	4	17	-	0	3	5	4						
Md.	5	20	101	324	104	-	1	4	10	19	2	0	2	10	4						
N.C.	-	0	4	-	7	-	0	4	4	8	3	0	6	3	11						
S.C.	-	0	2	2	1	-	0	2	-	2	1	0	2	3	5						
Va.	-	6	36	36	-	-	1	4	6	12	-	0	4	2	8						
W. Va.	-	0	10	-	-	-	0	1	-	-	-	0	2	-	-						
E.S. CENTRAL	-	0	4	4	-	-	0	3	6	6	1	1	3	11	13						
Ala.	-	0	3	1	-	-	0	2	-	2	-	0	2	2	2						
Ky.	-	0	2	-	-	-	0	1	1	1	-	0	1	-	2						
Miss.	-	0	1	-	-	-	0	1	1	1	-	0	3	3	3						
Tenn.	-	0	2	3	-	-	0	2	4	2	1	0	2	6	6						
W.S. CENTRAL	-	0	6	3	1	-	1	7	2	7	-	1	9	13	16						
Ark.	-	0	0	-	-	-	0	2	-	-	-	0	1	-	3						
La.	-	0	1	-	-	-	0	1	1	1	-	0	2	3	1						
Okla.	-	0	0	-	-	-	0	2	1	1	-	0	3	4	4						
Tex.	-	0	6	3	1	-	1	6	-	5	-	0	9	6	8						
MOUNTAIN	-	0	4	2	2	-	1	6	5	14	2	1	4	17	23						
Ariz.	-	0	2	-	2	-	0	3	3	1	-	0	2	2	10						
Colo.	-	0	1	-	-	-	0	2	1	6	1	0	2	4	10						
