
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending April 21, 2007 (WEEK 16)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2007
Pertussis cummulative for 2006
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2007
Rabies, animal cummulative for 2006
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2007
Rocky Mountain Spotted Fever cummulative for 2006

tab delimited data:
test
UNITED STATES	74	245	951	1,915	4,174	31	100	173	968	1,541	12	30	115	134	300						
NEW ENGLAND	4	16	54	74	451	8	11	26	126	183	-	0	8	-	-						
Conn.	-	2	9	15	23	4	4	14	42	38	-	0	0	-	-						
Maine	1	2	15	32	23	1	2	8	24	26	N	0	0	N	N						
Mass.	-	0	22	-	335	-	0	17	-	94	-	0	1	-	-						
N.H.	2	2	28	11	16	1	1	5	10	-	-	0	1	-	-						
R.I.	-	0	30	-	20	-	0	3	11	5	-	0	8	-	-						
Vt.	1	1	14	16	34	2	2	6	39	20	-	0	0	-	-						
MID. ATLANTIC	8	32	159	375	510	-	16	57	120	215	-	2	7	12	15						
N.J.	-	4	12	39	115	-	0	0	-	-	-	0	2	-	3						
N.Y. (Upstate)	8	20	150	233	167	-	0	0	-	-	-	0	2	-	-						
N.Y. City	-	0	6	-	-	-	1	5	23	1	-	0	3	3	2						
Pa.	-	9	22	103	228	-	16	56	97	214	-	1	4	9	10						
E.N. CENTRAL	21	39	79	437	650	1	2	18	8	8	-	1	6	2	3						
Ill.	-	9	23	50	162	1	0	7	3	1	-	0	4	1	1						
Ind.	2	3	37	9	54	-	0	2	-	-	-	0	1	-	-						
Mich.	1	10	39	101	131	-	1	5	4	5	-	0	1	1	-						
Ohio	18	12	56	244	212	-	0	9	1	2	-	0	4	-	2						
Wis.	-	3	10	33	91	-	0	0	-	-	-	0	1	-	-						
W.N. CENTRAL	5	17	116	132	472	2	5	20	49	64	2	2	13	18	6						
Iowa	-	4	16	37	137	1	1	7	6	8	-	0	1	-	-						
Kans.	3	3	14	53	115	-	2	6	31	25	-	0	1	-	-						
Minn.	-	0	96	-	15	-	0	6	3	6	-	0	2	-	1						
Mo.	-	4	10	20	136	1	1	6	3	5	2	2	12	18	5						
Nebr.	2	1	4	7	59	-	0	0	-	-	-	0	5	-	-						
N. Dak.	-	0	9	1	4	-	0	7	6	2	-	0	0	-	-						
S. Dak.	-	0	4	14	6	-	0	4	-	18	-	0	0	-	-						
S. ATLANTIC	10	17	162	275	309	11	38	62	538	702	8	10	67	78	253						
Del.	-	0	1	1	1	-	0	0	-	-	-	0	3	3	4						
D.C.	-	0	2	2	3	-	0	0	-	-	-	0	1	-	-						
Fla.	5	4	18	91	71	-	0	15	38	176	-	0	4	3	5						
Ga.	-	0	3	-	8	-	4	16	36	72	-	1	5	2	4						
Md.	1	2	7	40	59	-	5	12	80	118	-	1	6	11	6						
N.C.	4	0	111	79	63	11	10	22	141	93	8	4	61	45	228						
S.C.	-	3	11	26	47	-	3	11	35	37	-	1	5	5	3						
Va.	-	2	19	32	53	-	11	31	185	182	-	2	13	8	3						
W. Va.	-	0	19	4	4	-	2	8	23	24	-	0	2	1	-						
E.S. CENTRAL	1	6	24	70	82	-	4	13	27	57	2	5	27	23	16						
Ala.	-	1	17	21	21	-	1	8	-	19	-	1	9	5	6						
Ky.	-	0	5	1	12	-	0	4	6	4	-	0	1	-	-						
Miss.	-	0	7	7	10	-	0	1	-	3	-	0	1	-	-						
Tenn.	1	3	11	41	39	-	2	7	21	31	2	4	22	18	10						
W.S. CENTRAL	-	16	147	91	188	7	2	34	24	229	-	1	28	-	5						
Ark.	-	1	13	2	15	-	0	5	7	8	-	0	10	-	4						
La.	-	0	2	5	5	-	0	0	-	-	-	0	1	-	-						
Okla.	-	0	9	-	2	7	0	9	17	11	-	0	18	-	-						
Tex.	-	14	134	84	166	-	0	29	-	210	-	0	6	-	1						
MOUNTAIN	22	37	75	387	1,029	-	3	28	22	37	-	0	5	1	1						
Ariz.	2	6	30	93	187	-	2	10	21	33	-	0	2	-	-						
Colo.	6	8	23	102	409	-	0	0	-	-	-	0	1	-	-						
