
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending May 27, 2000 (WEEK 21)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2000
Meningococcal Disease cummulative for 1999
Mumps current week
Mumps cummulative for 2000
Mumps cummulative for 1999
Pertussis current week
Pertussis cummulative for 2000
Pertussis cummulative for 1999
Rubella current week
Rubella cummulative for 2000
Rubella cummulative for 1999

tab delimited data:
test
UNITED STATES	968	1,160	3	159	155	65	1,782	2,399	1	48	71										
NEW ENGLAND	60	59	-	2	3	15	463	243	-	5	7										
Maine	5	4	-	-	-	1	12	-	-	-	-										
N.H.	4	9	-	-	1	-	54	52	-	1	-										
Vt.	2	4	-	-	-	6	101	9	-	-	-										
Mass.	39	34	-	-	2	8	271	170	-	3	7										
R.I.	3	2	-	1	-	-	7	3	-	-	-										
Conn.	7	6	-	1	-	-	18	9	-	1	-										
MID. ATLANTIC	96	112	-	9	19	8	148	519	-	2	9										
Upstate N.Y.	25	30	-	6	3	3	80	456	-	2	5										
N.Y. City	24	36	-	-	3	-	-	10	-	-	-										
N.J.	21	20	-	-	1	-	-	14	-	-	1										
Pa.	26	26	-	3	12	5	68	39	-	-	3										
E.N. CENTRAL	184	202	-	17	23	1	223	193	-	-	-										
Ohio	41	75	-	7	6	-	156	98	-	-	-										
Ind.	23	23	-	-	2	-	22	10	-	-	-										
Ill.	43	55	-	3	7	-	18	39	-	-	-										
Mich.	59	25	-	7	7	1	17	18	-	-	-										
Wis.	18	24	-	-	1	-	10	28	-	-	-										
W.N. CENTRAL	83	121	2	12	6	8	85	67	-	2	31										
Minn.	7	27	-	-	1	7	47	18	-	-	-										
Iowa	16	23	1	5	3	-	11	15	-	-	3										
Mo.	48	43	-	1	1	-	14	17	-	-	-										
N. Dak.	1	3	-	-	-	-	1	-	-	-	-										
S. Dak.	4	5	U	-	-	U	1	2	U	-	-										
Nebr.	3	8	-	2	-	-	3	1	-	-	28										
Kans.	4	12	1	4	1	1	8	14	-	2	-										
S. ATLANTIC	123	161	1	24	22	7	137	113	1	28	2										
Del.	-	3	-	-	-	1	4	-	-	-	-										
Md.	16	29	-	5	4	3	39	36	-	-	1										
D.C.	-	1	-	-	2	-	-	-	-	-	-										
Va.	28	24	-	4	8	2	15	13	-	-	-										
W. Va.	4	3	-	-	-	-	-	1	-	-	-										
N.C.	28	23	-	3	5	-	39	27	-	20	1										
S.C.	12	23	1	8	3	-	16	7	1	7	-										
Ga.	26	30	-	2	-	-	19	12	-	-	-										
Fla.	9	25	-	2	-	1	5	17	-	1	-										
E.S. CENTRAL	72	88	-	5	3	1	31	51	-	4	2										
Ky.	15	16	-	-	-	-	16	12	-	1	-										
Tenn.	32	33	-	2	-	1	6	25	-	-	-										
Ala.	21	22	-	2	1	-	8	12	-	3	2										
Miss.	4	17	U	1	2	U	1	2	U	-	-										
W.S. CENTRAL	80	117	-	17	21	2	64	64	-	2	4										
Ark.	6	21	-	1	-	-	9	5	-	-	-										
La.	25	38	-	3	3	-	3	3	-	-	-										
Okla.	19	19	-	-	1	-	6	8	-	-	-										
Tex.	30	39	-	13	17	2	46	48	-	2	4										
MOUNTAIN	56	83	-	14	6	20	335	264	-	1	13										
Mont.	1	2	-	1	-	1	7	1	-	-	-										
Idaho	6	8	-	-	-	1	38	91	-	-	-										
Wyo.	-	3	-	1	-	-	-	2	-	-	-										
Colo.	16	22	-	1	3	9	182	73	-	1	-										
N. Mex.	7	10	-	1	N	3	60	19	-	-	-										
Ariz.	17	27	-	3	-	4	37	47	-	-	11										
Utah	7	6	-	4	2	2	8	29	-	-	1										
Nev.	2	5	U	3	1	U	3	2	U	-	1										
PACIFIC	214	217	-	59	52	3	296	885	-	4	3										
Wash.	23	31	-	3	1	2	105	437	-	-	-										
Oreg.	29	39	N	N	N	1	37	17	-	-	-										
Calif.	155	138	U	51	45	U	144	411	U	4	3										
Alaska	3	5	-	4	1	-	6	3	-	-	-										
Hawaii	4	4	U	1	5	U	4	17	U	-	-										
Guam	-	1	U	-	1	U	-	1	U	-	-										
P.R.	3	7	-	-	-	-	-	7	-	-	-										
V.I.	-	U	U	-	U	U	-	U	U	-	U										
Amer. Samoa	-	U	U	-	U	U	-	U	U	-	U										
C.N.M.I.	-	U	U	-	U	U	-	U	U	-	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


