
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 24, 2001 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2001
AIDS § cummulative for 2000
Chlamydia† cummulative for 2001
Chlamydia† cummulative for 2000
Cryptosporidiosis cummulative for 2001
Cryptosporidiosis cummulative for 2000
Escherichia coli O157:H7 NETSS cummulative for 2001
Escherichia coli O157:H7 NETSS cummulative for 2000
Escherichia coli O157:H7 PHLIS cummulative for 2001
Escherichia coli O157:H7 PHLIS cummulative for 2000

tab delimited data:
test
UNITED STATES	2,792	4,895	77,539	95,997	132	156	115	193	56	162											
NEW ENGLAND	91	497	2,976	3,510	5	7	13	15	7	18											
Maine	3	3	-	209	-	1	-	1	-	1											
N.H.	5	6	151	162	-	-	4	3	2	4											
Vt.	5	-	96	88	2	4	-	1	-	2											
Mass.	51	360	1,405	1,489	-	2	9	5	5	4											
R.I.	11	17	471	370	1	-	-	-	-	-											
Conn.	16	111	853	1,192	2	-	-	5	-	7											
MID. ATLANTIC	555	1,283	3,613	7,556	9	15	9	23	6	38											
Upstate N.Y.	4	60	N	N	3	8	9	21	6	31											
N.Y. City	360	770	1,870	3,826	6	4	-	1	-	-											
N.J.	157	300	308	2,020	-	-	-	1	-	2											
Pa.	34	153	1,435	1,710	-	3	N	N	-	5											
E.N. CENTRAL	224	545	9,867	17,380	43	36	23	31	11	8											
Ohio	46	85	214	4,696	17	6	11	5	6	3											
Ind.	26	28	1,898	1,975	9	3	4	1	-	1											
Ill.	121	352	2,576	5,179	-	5	4	14	3	-											
Mich.	23	67	4,051	3,027	17	3	2	6	-	2											
Wis.	8	13	1,128	2,503	-	19	2	5	2	2											
W.N. CENTRAL	44	96	3,847	5,562	4	4	14	39	9	32											
Minn.	12	31	805	1,286	-	-	3	5	4	12											
Iowa	9	7	442	403	2	-	2	8	-	4											
Mo.	7	23	1,185	2,066	-	-	6	19	2	8											
N. Dak.	-	-	109	159	-	1	-	2	-	2											
S. Dak.	-	1	279	267	-	1	1	-	1	-											
Nebr.	6	4	201	475	2	2	-	3	-	4											
Kans.	10	30	826	906	-	-	2	2	2	2											
S. ATLANTIC	734	1,220	16,080	18,317	21	17	19	17	4	16											
Del.	15	15	437	450	-	-	-	-	-	-											
Md.	41	136	1,697	1,603	2	1	-	5	-	1											
D.C.	62	24	446	448	2	-	-	-	U	U											
Va.	48	75	2,176	1,971	2	-	2	3	3	5											
W. Va.	6	5	321	308	-	-	-	1	-	1											
N.C.	57	71	2,383	2,757	4	3	13	5	1	2											
S.C.	61	107	1,260	2,726	-	-	1	-	-	-											
Ga.	104	98	3,105	3,776	-	7	1	1	-	3											
Fla.	340	689	4,255	4,278	11	6	2	2	-	4											
E.S. CENTRAL	148	168	6,780	6,409	3	5	5	10	3	7											
Ky.	18	36	1,324	1,177	-	-	-	4	2	2											
Tenn.	80	35	2,232	1,816	-	-	2	3	1	5											
Ala.	25	50	1,533	1,920	2	5	3	1	-	-											
Miss.	25	47	1,691	1,496	1	-	-	2	-	-											
W.S. CENTRAL	409	524	14,364	15,087	4	11	2	11	8	19											
Ark.	19	20	1,387	605	2	1	-	2	-	3											
La.	130	83	2,707	2,748	1	-	-	-	5	5											
Okla.	20	17	1,599	1,393	1	1	2	3	2	3											
Tex.	240	404	8,671	10,341	-	9	-	6	1	8											
MOUNTAIN	145	178	3,631	5,438	14	11	12	23	5	7											
Mont.	1	3	148	185	-	-	-	5	-	-											
Idaho	-	3	292	296	2	1	2	3	-	-											
Wyo.	-	1	117	129	-	1	-	2	-	2											
Colo.	38	52	247	1,356	6	3	6	8	2	2											
N. Mex.	7	25	604	709	3	1	-	-	-	-											
Ariz.	52	22	1,718	1,816	1	2	4	3	2	2											
Utah	11	28	67	344	2	3	-	1	1	1											
Nev.	36	44	438	603	-	-	-	1	-	-											
PACIFIC	442	384	16,381	16,738	29	50	18	24	3	17											
Wash.	26	46	2,123	1,921	N	U	3	1	-	7											
Oreg.	17	11	675	454	6	1	3	4	1	4											
Calif.	398	303	12,862	13,480	23	49	12	15	-	3											
Alaska	1	-	299	339	-	-	-	-	-	-											
Hawaii	-	24	422	544	-	-	-	4	2	3											
Guam	2	6	-	-	-	-	N	N	U	U											
P.R.	48	116	436	U	-	-	-	-	U	U											
V.I.	1	-	U	U	U	U	U	U	U	U											
Amer. Samoa	-	-	U	U	U	U	U	U	U	U											
C.N.M.I.	-	-	U	U	U	U	U	U	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


