
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending September 4, 1999 (WEEK 35)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1999
H. influenzae, Invasive cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1999
Hepatitis (Viral), Type B cummulative for 1998
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1999
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1999
Measles (Rubeola), Total cummulative for 1999
Measles (Rubeola), Total cummulative for 1998

tab delimited data:
test
UNITED STATES	803	769	10,030	15,203	4,280	6,570	1	37	-	19	56	50									
NEW ENGLAND	59	49	146	205	69	142	-	6	-	4	10	3									
Maine	5	2	5	16	1	2	-	-	-	-	-	-									
N.H.	14	8	10	9	10	11	-	-	-	1	1	-									
Vt.	5	5	6	13	2	6	-	-	-	-	-	1									
Mass.	22	31	54	83	31	53	-	5	-	2	7	2									
R.I.	1	2	13	12	25	48	-	-	-	-	-	-									
Conn.	12	1	58	72	-	22	-	1	-	1	2	-									
MID. ATLANTIC	128	122	654	1,168	484	860	-	-	-	2	2	13									
Upstate N.Y.	62	41	177	236	139	164	-	-	-	2	2	2									
N.Y. City	28	35	171	402	143	299	-	-	-	-	-	-									
N.J.	37	39	57	238	40	154	-	-	-	-	-	8									
Pa.	1	7	249	292	162	243	-	-	-	-	-	3									
E.N. CENTRAL	127	132	1,916	2,349	432	970	-	1	-	1	2	15									
Ohio	46	42	468	230	67	55	-	-	-	-	-	1									
Ind.	20	32	77	108	33	78	-	1	-	-	1	3									
Ill.	51	48	362	551	-	171	-	-	-	-	-	-									
Mich.	10	5	983	1,310	331	298	-	-	-	1	1	10									
Wis.	-	5	26	150	1	368	-	-	-	-	-	1									
W.N. CENTRAL	60	69	525	1,078	225	277	-	-	-	-	-	-									
Minn.	24	54	53	90	37	30	-	-	-	-	-	-									
Iowa	6	2	92	369	27	45	-	-	-	-	-	-									
Mo.	21	8	296	494	124	167	-	-	-	-	-	-									
N. Dak.	1	-	1	3	-	4	-	-	-	-	-	-									
S. Dak.	1	-	8	21	1	1	-	-	-	-	-	-									
Nebr.	3	-	40	21	11	11	U	-	U	-	-	-									
Kans.	4	5	35	80	25	19	-	-	-	-	-	-									
S. ATLANTIC	190	142	1,352	1,246	816	674	-	1	-	4	5	8									
Del.	-	-	2	3	-	-	-	-	-	-	-	1									
Md.	49	44	249	275	121	101	-	-	-	-	-	1									
D.C.	4	-	48	43	17	9	-	-	-	-	-	-									
Va.	14	14	105	156	65	74	-	1	-	2	3	2									
W. Va.	6	5	26	3	17	5	-	-	-	-	-	-									
N.C.	28	23	108	76	147	149	-	-	-	-	-	-									
S.C.	5	3	29	23	58	25	-	-	-	-	-	-									
Ga.	49	30	333	361	108	123	-	-	-	-	-	2									
Fla.	35	23	452	306	283	188	-	-	-	2	2	2									
E.S. CENTRAL	51	42	281	281	319	341	-	-	-	-	-	2									
Ky.	5	7	50	23	30	36	-	-	-	-	-	-									
Tenn.	29	23	142	161	173	190	-	-	-	-	-	1									
Ala.	15	10	40	52	58	47	-	-	-	-	-	1									
Miss.	2	2	49	45	58	68	-	-	-	-	-	-									
W.S. CENTRAL	41	39	1,741	2,693	492	1,472	-	5	-	3	8	-									
Ark.	2	-	38	66	34	68	-	-	-	-	-	-									
La.	7	17	59	47	72	66	-	-	-	-	-	-									
Okla.	28	20	336	399	94	59	-	-	-	-	-	-									
Tex.	4	2	1,308	2,181	292	1,279	-	5	-	3	8	-									
MOUNTAIN	69	86	923	2,334	426	583	1	3	-	-	3	-									
Mont.	1	-	16	72	16	5	-	-	-	-	-	-									
Idaho	1	-	31	188	21	24	-	-	-	-	-	-									
Wyo.	1	1	4	29	10	3	-	-	-	-	-	-									
Colo.	10	18	161	193	65	74	-	-	-	-	-	-									
N. Mex.	18	4	36	108	141	227	-	-	-	-	-	-									
Ariz.	30	42	554	1,442	112	136	-	1	-	-	1	-									
Utah	6	3	35	143	24	52	1	2	-	-	2	-									
Nev.	2	18	86	159	37	62	-	-	-	-	-	-									
PACIFIC	78	88	2,492	3,849	1,017	1,251	-	21	-	5	26	9									
Wash.	3	6	221	768	45	68	-	-	-	-	-	1									
Oreg.	30	36	184	296	58	130	-	9	-	-	9	-									
Calif.	36	38	2,072	2,729	892	1,034	-	12	-	4	16	7									
Alaska	5	1	5	15	12	10	-	-	-	-	-	1									
Hawaii	4	7	10	41	10	9	-	-	-	1	1	-									
Guam	-	-	2	1	2	2	U	1	U	-	1	-									
P.R.	1	2	110	47	101	177	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	-	-	3	-	47	U	-	U	-	-	-									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


