
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending December 3, 2005 (WEEK 48)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal Disease, Invasive, Group A cummulative for 2005
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2005
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2004
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2005
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2004
Syphilis (Primary and Secondary) cummulative for 2005
Syphilis (Primary and Secondary) cummulative for 2004
Syphilis (Congenital) cummulative for 2005
Syphilis (Congenital) cummulative for 2004

tab delimited data:
test
UNITED STATES	3,917	4,037	2,009	2,067	844	753	7,403	7,165	247	354											
NEW ENGLAND	160	260	109	163	63	105	196	174	1	4											
Maine	12	11	N	N	-	7	1	2	-	-											
N.H.	14	19	-	-	5	N	14	4	-	3											
Vt.	10	9	12	8	6	3	1	-	-	-											
Mass.	115	115	81	53	51	58	115	107	-	-											
R.I.	9	21	16	20	1	8	20	25	-	1											
Conn.	U	85	U	82	U	29	45	36	1	-											
MID. ATLANTIC	795	668	180	145	132	115	920	921	31	34											
Upstate N.Y.	240	218	70	61	58	77	80	86	8	4											
N.Y. City	148	114	U	U	20	U	565	583	5	15											
N.J.	156	134	N	N	26	11	120	137	18	14											
Pa.	251	202	110	84	28	27	155	115	-	1											
E.N. CENTRAL	791	905	566	456	259	178	779	818	32	55											
Ohio	179	210	335	314	76	73	201	221	1	2											
Ind.	94	94	179	142	50	42	56	56	1	3											
Ill.	168	236	15	-	60	13	412	344	12	19											
Mich.	291	276	37	N	52	N	78	168	15	30											
Wis.	59	89	N	N	21	50	32	29	3	1											
W.N. CENTRAL	253	289	45	19	91	100	217	145	5	5											
Minn.	101	137	-	-	56	65	54	25	1	1											
Iowa	N	N	N	N	-	N	4	5	-	-											
Mo.	64	60	37	14	9	14	134	86	4	2											
N. Dak.	12	12	3	-	4	4	1	-	-	-											
S. Dak.	20	20	3	5	-	-	1	-	-	-											
Nebr.	21	20	2	-	7	9	5	6	-	-											
Kans.	35	40	N	N	15	8	18	23	-	2											
S. ATLANTIC	861	805	785	1,027	80	57	1,882	1,812	38	57											
Del.	6	3	2	4	-	N	10	8	-	1											
Md.	190	141	-	-	54	40	299	339	13	9											
D.C.	11	10	17	9	3	4	89	61	-	1											
Va.	78	67	N	N	-	N	123	94	4	3											
W. Va.	22	26	110	107	23	13	4	3	-	-											
N.C.	118	118	N	N	U	U	242	181	9	11											
S.C.	30	51	-	83	-	N	72	112	4	12											
Ga.	169	184	128	280	-	N	372	348	1	4											
Fla.	237	205	528	544	-	N	671	666	7	16											
E.S. CENTRAL	164	203	162	149	13	16	436	371	27	22											
Ky.	32	59	27	30	N	N	50	46	-	1											
Tenn.	132	144	135	117	-	N	200	120	20	8											
Ala.	-	-	-	-	-	N	146	153	6	11											
Miss.	-	-	-	2	13	16	40	52	1	2											
W.S. CENTRAL	239	316	104	78	148	145	1,179	1,151	70	72											
Ark.	21	16	15	10	16	8	45	46	1	4											
La.	7	2	89	68	24	31	234	308	11	7											
Okla.	104	63	N	N	29	44	37	25	1	2											
Tex.	107	235	N	N	79	62	863	772	57	59											
MOUNTAIN	554	466	58	29	49	34	349	359	17	46											
Mont.	-	-	-	-	-	-	5	1	-	-											
Idaho	3	9	N	N	-	N	20	22	1	2											
Wyo.	4	10	23	11	-	-	-	3	-	-											
Colo.	191	106	N	N	48	34	40	59	1	2											
N. Mex.	42	89	-	N	-	-	44	76	2	2											
Ariz.	234	209	N	N	-	N	156	151	12	39											
Utah	79	38	33	16	1	-	6	11	-	1											
Nev.	1	5	2	2	-	-	78	36	1	-											
PACIFIC	100	125	-	1	9	3	1,445	1,414	26	59											
Wash.	N	N	N	N	N	N	139	131	-	-											
Oreg.	N	N	N	N	6	N	35	25	-	-											
Calif.	-	-	N	N	N	N	1,254	1,250	26	59											
Alaska	-	-	-	-	-	N	6	1	-	-											
Hawaii	100	125	-	1	3	3	11	7	-	-											
Guam	-	-	-	-	-	-	-	2	-	-											
P.R.	N	N	N	N	-	N	203	159	9	5											
V.I.	-	-	-	-	-	-	-	4	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


