
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending July 10, 1999 (WEEK 27)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1999
H. influenzae, Invasive cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1999
Hepatitis (Viral), Type B cummulative for 1998
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1999
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1999
Measles (Rubeola), Total cummulative for 1999
Measles (Rubeola), Total cummulative for 1998

tab delimited data:
test
UNITED STATES	632	629	7,877	11,659	3,286	4,656	-	30	-	14	44	41									
NEW ENGLAND	43	42	91	157	55	103	-	5	-	4	9	2									
Maine	5	2	4	13	-	2	-	-	-	-	-	-									
N.H.	9	6	7	8	8	10	-	-	-	1	1	-									
Vt.	4	2	3	13	1	4	-	-	-	-	-	-									
Mass.	17	30	30	53	28	37	-	4	-	2	6	2									
R.I.	-	2	9	9	18	31	-	-	-	-	-	-									
Conn.	8	-	38	61	-	19	-	1	-	1	2	-									
MID. ATLANTIC	88	96	521	888	400	666	-	-	-	2	2	11									
Upstate N.Y.	51	30	133	175	109	130	-	-	-	2	2	2									
N.Y. City	13	29	82	320	89	228	-	-	-	-	-	-									
N.J.	23	30	57	167	40	112	-	-	-	-	-	8									
Pa.	1	7	249	226	162	196	-	-	-	-	-	1									
E.N. CENTRAL	90	105	1,521	1,626	320	516	-	1	-	-	1	15									
Ohio	37	35	382	184	48	42	-	-	-	-	-	1									
Ind.	14	25	98	92	27	59	-	1	-	-	1	3									
Ill.	32	41	221	408	-	136	-	-	-	-	-	-									
Mich.	7	-	794	812	244	227	-	-	-	-	-	10									
Wis.	-	4	26	130	1	52	U	-	U	-	-	1									
W.N. CENTRAL	52	51	391	905	250	219	-	-	-	-	-	-									
Minn.	13	37	35	71	22	18	-	-	-	-	-	-									
Iowa	13	1	76	356	103	34	U	-	U	-	-	-									
Mo.	19	8	205	384	96	137	-	-	-	-	-	-									
N. Dak.	-	-	1	3	-	4	U	-	U	-	-	-									
S. Dak.	1	-	8	17	1	1	-	-	-	-	-	-									
Nebr.	3	-	37	14	10	9	-	-	-	-	-	-									
Kans.	3	5	29	60	18	16	-	-	-	-	-	-									
S. ATLANTIC	149	114	984	893	601	488	-	1	-	3	4	6									
Del.	-	-	2	3	-	-	-	-	-	-	-	1									
Md.	35	40	163	183	86	95	-	-	-	-	-	1									
D.C.	4	-	32	30	11	6	-	-	-	-	-	-									
Va.	12	12	82	135	51	54	-	1	-	2	3	2									
W. Va.	4	4	17	1	13	3	-	-	-	-	-	-									
N.C.	22	15	65	51	125	112	-	-	-	-	-	-									
S.C.	2	3	21	17	39	14	-	-	-	-	-	-									
Ga.	41	22	267	258	72	94	-	-	-	-	-	1									
Fla.	29	18	335	215	204	110	-	-	-	1	1	1									
E.S. CENTRAL	46	37	242	230	250	209	-	-	-	-	-	2									
Ky.	6	5	37	14	25	24	U	-	U	-	-	-									
Tenn.	25	23	126	129	122	143	-	-	-	-	-	1									
Ala.	13	7	37	48	51	42	-	-	-	-	-	1									
Miss.	2	2	42	39	52	-	-	-	-	-	-	-									
W.S. CENTRAL	35	33	1,445	2,040	309	1,057	-	1	-	2	3	-									
Ark.	1	-	28	48	26	51	-	-	-	-	-	-									
La.	7	16	59	42	72	54	U	-	U	-	-	-									
Okla.	24	15	258	305	67	41	-	-	-	-	-	-									
Tex.	3	2	1,100	1,645	144	911	-	1	-	2	3	-									
MOUNTAIN	61	77	759	1,796	334	447	-	2	-	-	2	-									
Mont.	1	-	12	59	16	3	-	-	-	-	-	-									
Idaho	1	-	27	144	16	17	-	-	-	-	-	-									
Wyo.	1	1	4	23	5	2	-	-	-	-	-	-									
Colo.	9	14	138	134	45	53	-	-	-	-	-	-									
N. Mex.	13	3	29	88	117	176	-	-	-	-	-	-									
Ariz.	30	39	455	1,106	84	107	-	1	-	-	1	-									
Utah	4	3	27	116	20	39	-	1	-	-	1	-									
Nev.	2	17	67	126	31	50	-	-	-	-	-	-									
PACIFIC	68	74	1,923	3,124	767	951	-	20	-	3	23	5									
Wash.	2	4	169	599	34	55	-	-	-	-	-	1									
Oreg.	26	31	142	242	50	96	-	8	-	-	8	-									
Calif.	33	31	1,600	2,240	665	785	-	11	-	3	14	4									
Alaska	5	1	3	14	11	7	-	-	-	-	-	-									
Hawaii	2	7	9	29	7	8	-	1	-	-	1	-									
Guam	-	-	2	-	2	2	U	1	U	-	1	-									
P.R.	1	2	99	27	83	141	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	-	-	1	-	35	U	-	U	-	-	-									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


