
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending May 30, 1998 (WEEK 21)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1998
Meningococcal Disease cummulative for 1997
Mumps current week
Mumps cummulative for 1998
Mumps cummulative for 1997
Pertussis current week
Pertussis cummulative for 1998
Pertussis cummulative for 1997
Rubella current week
Rubella cummulative for 1998
Rubella cummulative for 1997

tab delimited data:
test
UNITED STATES	1,222	1,700	7	194	286	62	1,533	2,170	6	209	38										
NEW ENGLAND	66	105	-	-	7	4	265	489	-	32	-										
Maine	4	8	-	-	-	-	5	6	-	-	-										
N.H.	4	11	-	-	-	-	19	58	-	-	-										
Vt.	1	2	-	-	-	-	24	161	-	-	-										
Mass.	31	58	-	-	2	1	208	244	-	6	-										
R.I.	3	7	-	-	4	3	3	12	-	-	-										
Conn.	23	19	-	-	1	-	6	8	-	26	-										
MID. ATLANTIC	124	171	-	10	30	11	178	181	5	98	13										
Upstate N.Y.	31	40	-	3	4	11	112	62	5	94	2										
N.Y. City	13	30	-	4	1	-	4	44	-	2	11										
N.J.	35	32	-	-	5	-	5	11	-	2	-										
Pa.	45	69	-	3	20	-	57	64	-	-	-										
E.N. CENTRAL	169	247	-	33	34	4	155	208	-	-	3										
Ohio	71	94	-	16	12	1	62	63	-	-	-										
Ind.	25	30	-	2	4	3	45	22	-	-	-										
Ill.	33	76	-	1	8	-	10	27	-	-	-										
Mich.	22	23	-	14	9	-	21	28	-	-	-										
Wis.	18	24	-	-	1	-	17	68	-	-	3										
W.N. CENTRAL	101	123	1	19	8	5	130	117	-	3	-										
Minn.	16	17	-	10	3	2	78	69	-	-	-										
Iowa	15	24	-	5	4	1	27	7	-	-	-										
Mo.	41	60	1	3	-	2	11	21	-	2	-										
N. Dak.	-	1	-	1	-	-	-	2	-	-	-										
S. Dak.	6	4	-	-	-	-	4	1	-	-	-										
Nebr.	4	4	-	-	1	-	4	2	-	-	-										
Kans.	19	13	-	-	-	-	6	15	-	1	-										
S. ATLANTIC	214	283	-	30	34	8	108	173	-	4	2										
Del.	1	4	-	-	-	1	1	-	-	-	-										
Md.	20	31	-	-	1	-	19	70	-	-	-										
D.C.	-	5	-	-	-	-	1	2	-	-	-										
Va.	20	27	-	4	4	-	6	19	-	-	1										
W. Va.	5	10	-	-	-	-	1	3	-	-	-										
N.C.	29	49	-	7	6	-	42	35	-	3	-										
S.C.	32	36	-	4	9	1	13	9	-	-	1										
Ga.	40	52	-	1	5	1	2	6	-	-	-										
Fla.	67	69	-	14	9	5	23	29	-	1	-										
E.S. CENTRAL	88	120	-	-	16	-	43	40	-	-	-										
Ky.	13	31	-	-	2	-	17	10	-	-	-										
Tenn.	36	37	-	-	3	-	14	12	-	-	-										
Ala.	39	33	-	-	5	-	12	11	-	-	-										
Miss.	-	19	-	-	6	-	-	7	-	-	-										
W.S. CENTRAL	131	156	4	29	34	2	91	53	1	56	3										
Ark.	17	23	-	-	-	-	12	3	-	-	-										
La.	25	30	-	2	7	-	-	7	-	-	-										
Okla.	23	21	-	-	-	-	13	8	-	-	-										
Tex.	66	82	4	27	27	2	66	35	1	56	3										
MOUNTAIN	76	108	1	17	36	19	361	578	-	5	2										
Mont.	2	7	-	-	-	-	1	5	-	-	-										
Idaho	3	7	-	1	2	4	165	385	-	-	-										
Wyo.	3	-	-	1	1	-	7	4	-	-	-										
Colo.	17	31	1	3	3	1	54	138	-	-	-										
N. Mex.	12	18	N	N	N	-	56	25	-	1	-										
Ariz.	28	23	-	4	22	14	57	10	-	1	2										
Utah	8	11	-	3	4	-	14	3	-	2	-										
Nev.	3	11	U	5	4	U	7	8	U	1	-										
PACIFIC	253	387	1	56	87	9	202	331	-	11	15										
Wash.	31	48	-	5	10	8	123	154	-	8	2										
Oreg.	48	82	N	N	N	1	13	22	-	-	-										
Calif.	169	254	1	37	62	-	62	146	-	2	7										
Alaska	1	1	-	2	5	-	-	2	-	-	-										
Hawaii	4	2	-	12	10	-	4	7	-	1	6										
Guam	-	1	U	-	1	U	-	-	U	-	-										
P.R.	2	9	-	2	4	-	2	-	-	-	-										
V.I.	-	-	-	-	-	-	-	-	-	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	1	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


