
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending November 26, 2005 (WEEK 47)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal Disease, Invasive, Group A cummulative for 2005
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2005
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2004
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2005
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2004
Syphilis (Primary and Secondary) cummulative for 2005
Syphilis (Primary and Secondary) cummulative for 2004
Syphilis (Congenital) cummulative for 2005
Syphilis (Congenital) cummulative for 2004

tab delimited data:
test
UNITED STATES	3,818	3,961	1,938	2,006	814	737	7,239	7,009	240	344											
NEW ENGLAND	156	254	108	154	61	103	194	174	1	4											
Maine	10	11	N	N	-	7	1	2	-	-											
N.H.	14	18	-	-	4	N	14	4	-	3											
Vt.	10	9	12	7	6	3	1	-	-	-											
Mass.	113	111	80	49	50	58	115	107	-	-											
R.I.	9	21	16	20	1	6	20	25	-	1											
Conn.	U	84	U	78	U	29	43	36	1	-											
MID. ATLANTIC	780	653	179	139	128	113	899	909	30	34											
Upstate N.Y.	233	211	70	57	56	77	78	83	7	4											
N.Y. City	146	111	U	U	20	U	551	578	5	15											
N.J.	155	133	N	N	24	10	117	133	18	14											
Pa.	246	198	109	82	28	26	153	115	-	1											
E.N. CENTRAL	754	891	552	448	247	175	765	801	32	54											
Ohio	177	207	328	308	74	71	199	215	1	2											
Ind.	92	93	174	140	47	42	56	55	1	3											
Ill.	168	232	14	-	58	12	403	339	12	18											
Mich.	281	272	36	N	51	N	75	163	15	30											
Wis.	36	87	N	N	17	50	32	29	3	1											
W.N. CENTRAL	243	285	45	19	84	98	214	143	5	5											
Minn.	96	137	-	-	49	65	54	24	1	1											
Iowa	N	N	N	N	-	N	4	5	-	-											
Mo.	62	59	37	14	9	13	132	85	4	2											
N. Dak.	9	12	3	-	4	4	1	-	-	-											
S. Dak.	20	17	3	5	-	-	1	-	-	-											
Nebr.	21	20	2	-	7	8	4	6	-	-											
Kans.	35	40	N	N	15	8	18	23	-	2											
S. ATLANTIC	845	793	744	995	76	53	1,829	1,779	38	56											
Del.	5	3	1	4	-	N	10	8	-	1											
Md.	186	134	-	-	51	38	278	328	13	9											
D.C.	10	10	15	9	3	4	90	61	-	1											
Va.	77	67	N	N	-	N	123	94	4	3											
W. Va.	22	24	104	99	22	11	4	3	-	-											
N.C.	118	118	N	N	U	U	242	177	9	10											
S.C.	30	51	-	83	-	N	72	109	4	12											
Ga.	166	184	116	269	-	N	352	345	1	4											
Fla.	231	202	508	531	-	N	658	654	7	16											
E.S. CENTRAL	159	200	152	147	13	16	423	365	24	21											
Ky.	32	58	25	30	N	N	47	44	-	1											
Tenn.	127	142	127	115	-	N	196	117	17	8											
Ala.	-	-	-	-	-	N	140	152	6	10											
Miss.	-	-	-	2	13	16	40	52	1	2											
W.S. CENTRAL	239	314	102	75	147	142	1,152	1,108	67	69											
Ark.	21	16	13	10	15	8	44	46	1	3											
La.	7	2	89	65	24	31	230	291	11	6											
Okla.	104	63	N	N	29	44	37	25	1	2											
Tex.	107	233	N	N	79	59	841	746	54	58											
MOUNTAIN	543	448	56	28	49	34	346	355	17	45											
Mont.	-	-	-	-	-	-	5	1	-	-											
Idaho	3	9	N	N	-	N	20	22	1	2											
Wyo.	4	9	23	11	-	-	-	3	-	-											
Colo.	187	101	N	N	48	34	38	57	1	1											
N. Mex.	42	88	-	N	-	-	44	76	2	2											
Ariz.	231	201	N	N	-	N	155	149	12	39											
Utah	75	36	31	15	1	-	6	11	-	1											
Nev.	1	4	2	2	-	-	78	36	1	-											
PACIFIC	99	123	-	1	9	3	1,417	1,375	26	56											
Wash.	N	N	N	N	N	N	137	127	-	-											
Oreg.	N	N	N	N	6	N	32	25	-	-											
Calif.	-	-	N	N	N	N	1,233	1,215	26	56											
Alaska	-	-	-	-	-	N	6	1	-	-											
Hawaii	99	123	-	1	3	3	9	7	-	-											
Guam	-	-	-	-	-	-	-	2	-	-											
P.R.	N	N	N	N	-	N	196	156	9	5											
V.I.	-	-	-	-	-	-	-	4	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


