
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending August 23, 2003 (WEEK 34)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	22,129	24,831	12,633	11,371	3,802	3,353	1,526	1,737	307	226											
NEW ENGLAND	1,293	1,345	193	203	322	258	40	81	6	2											
Maine	89	87	6	3	22	20	-	-	-	-											
N.H.	89	80	5	8	20	28	-	-	N	N											
Vt.	41	46	6	-	16	9	6	4	3	1											
Mass.	777	773	133	133	153	89	N	N	N	N											
R.I.	62	100	7	7	9	14	10	11	3	1											
Conn.	235	259	36	52	102	98	24	66	U	U											
MID. ATLANTIC	2,492	3,372	1,407	1,025	624	551	94	82	72	58											
Upstate N.Y.	633	882	232	166	284	221	52	72	55	48											
N.Y. City	697	876	238	296	92	128	U	U	U	U											
N.J.	211	703	161	387	42	117	N	N	N	N											
Pa.	951	911	776	176	206	85	42	10	17	10											
E.N. CENTRAL	3,306	3,629	1,144	1,286	856	723	325	153	130	82											
Ohio	934	846	243	426	246	164	213	28	76	1											
Ind.	358	309	100	62	89	41	112	123	34	40											
Ill.	1,029	1,265	540	575	179	207	-	2	-	-											
Mich.	502	607	178	108	294	228	N	N	N	N											
Wis.	483	602	83	115	48	83	N	N	20	41											
W.N. CENTRAL	1,539	1,535	520	738	247	187	126	329	42	40											
Minn.	354	366	60	145	123	95	-	220	36	36											
Iowa	224	254	35	90	N	N	N	N	N	N											
Mo.	596	508	277	114	53	38	9	5	2	1											
N. Dak.	25	24	3	16	10	-	3	1	4	3											
S. Dak.	62	65	9	151	18	10	1	1	-	-											
Nebr.	95	108	89	158	21	16	-	25	N	N											
Kans.	183	210	47	64	22	28	113	77	N	N											
S. ATLANTIC	5,844	5,883	4,975	3,579	690	552	788	802	14	23											
Del.	53	50	144	38	6	2	1	3	N	N											
Md.	496	577	434	717	209	86	-	-	-	18											
D.C.	24	50	45	42	11	6	2	-	5	3											
Va.	572	555	262	580	85	58	N	N	N	N											
W. Va.	80	88	-	7	30	16	54	34	9	2											
N.C.	701	796	596	215	80	102	N	N	U	U											
S.C.	339	377	269	76	30	29	111	141	N	N											
Ga.	1,120	1,100	1,297	822	84	105	188	201	N	N											
Fla.	2,459	2,290	1,928	1,082	155	148	432	423	N	N											
E.S. CENTRAL	1,381	1,766	572	862	146	78	97	109	-	-											
Ky.	260	212	68	90	37	14	13	13	N	N											
Tenn.	456	446	204	47	109	64	84	96	N	N											
Ala.	296	466	177	447	-	-	-	-	N	N											
Miss.	369	642	123	278	-	-	-	-	-	-											
W.S. CENTRAL	1,881	2,591	1,718	1,728	140	220	33	147	39	18											
Ark.	411	538	69	139	5	6	8	6	-	-											
La.	258	473	144	308	1	1	25	141	10	5											
Okla.	271	287	553	312	64	35	N	N	24	2											
Tex.	941	1,293	952	969	70	178	N	N	5	11											
MOUNTAIN	1,320	1,391	633	434	348	408	20	34	4	3											
Mont.	66	64	2	3	2	-	-	-	-	-											
Idaho	114	90	20	3	14	6	N	N	N	N											
Wyo.	65	40	5	6	2	7	4	10	-	-											
Colo.	297	400	108	94	98	85	-	-	-	-											
N. Mex.	125	173	119	78	87	77	16	24	-	-											
Ariz.	416	370	313	200	135	206	-	-	N	N											
Utah	136	111	34	20	9	27	-	-	4	3											
Nev.	101	143	32	30	1	-	-	-	-	-											
PACIFIC	3,073	3,319	1,471	1,516	429	376	3	-	-	-											
Wash.	334	316	105	101	38	46	-	-	N	N											
Oreg.	246	233	148	66	N	N	N	N	N	N											
Calif.	2,310	2,549	1,184	1,309	315	284	N	N	N	N											
Alaska	53	43	5	3	-	-	-	-	N	N											
Hawaii	130	178	29	37	76	46	3	-	-	-											
Guam	-	29	-	19	-	-	-	4	-	-											
P.R.	159	305	2	24	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


