
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending March 22, 2008 (WEEK 12)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2008
Pertussis cummulative for 2007
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2008
Rabies, animal cummulative for 2007
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2008
Rocky Mountain Spotted Fever cummulative for 2007

tab delimited data:
test
UNITED STATES	33	166	627	1,095	2,181	55	98	176	597	962	4	34	147	46	102						
NEW ENGLAND	-	20	45	29	365	5	9	22	50	100	-	0	1	-	1						
Conn.	-	0	5	-	17	4	4	10	34	44	-	0	0	-	-						
Maine	-	1	5	14	28	-	1	5	3	22	N	0	0	N	N						
Mass.	-	16	33	-	287	N	0	0	N	N	-	0	1	-	1						
N.H.	-	1	5	3	16	-	1	4	6	8	-	0	1	-	-						
R.I.	-	0	8	8	2	N	0	0	N	N	-	0	0	-	-						
Vt.	-	0	6	4	15	1	2	13	7	26	-	0	0	-	-						
MID. ATLANTIC	4	22	36	161	376	6	25	56	71	236	-	1	7	3	10						
N.J.	-	3	7	2	57	-	0	0	-	-	-	0	3	-	1						
N.Y. (Upstate)	3	8	24	53	191	6	9	20	66	73	-	0	1	-	-						
N.Y. City	-	2	7	15	41	-	0	5	5	16	-	0	3	1	4						
Pa.	1	7	22	91	87	-	13	44	-	147	-	0	3	2	5						
E.N. CENTRAL	11	24	184	397	411	-	2	39	1	3	-	1	4	1	3						
Ill.	-	2	8	10	57	N	0	0	N	N	-	1	3	-	1						
Ind.	-	0	9	4	2	-	0	1	-	-	-	0	2	-	-						
Mich.	2	4	16	32	93	-	1	28	-	2	-	0	1	-	1						
Ohio	9	12	176	351	190	-	1	11	1	1	-	0	2	1	1						
Wis.	-	0	24	-	69	N	0	0	N	N	-	0	0	-	-						
W.N. CENTRAL	-	12	134	95	139	-	4	13	14	30	1	5	37	10	12						
Iowa	-	2	8	16	45	-	0	3	1	2	-	0	4	-	1						
Kans.	-	2	5	2	48	-	1	7	-	18	-	0	2	-	3						
Minn.	-	0	131	-	8	-	0	6	9	3	-	0	4	-	-						
Mo.	-	2	16	63	16	-	0	3	-	2	1	5	29	10	8						
Nebr.	-	1	12	12	5	-	0	0	-	-	-	0	2	-	-						
N. Dak.	-	0	4	-	1	-	0	5	2	5	-	0	0	-	-						
S. Dak.	-	0	7	2	16	-	0	2	2	-	-	0	1	-	-						
