
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending May 31, 2008 (WEEK 22)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2008
Pertussis cummulative for 2007
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2008
Rabies, animal cummulative for 2007
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2008
Rocky Mountain Spotted Fever cummulative for 2007

tab delimited data:
test
UNITED STATES	21	163	841	2,544	3,811	45	93	176	1,490	2,307	14	29	194	156	408						
NEW ENGLAND	-	25	48	266	598	3	8	17	125	221	-	0	2	-	4						
Conn.	-	0	5	-	27	-	4	10	62	87	-	0	0	-	-						
Maine	-	1	5	15	35	-	1	5	20	35	N	0	0	N	N						
Mass.	-	18	36	224	478	N	0	0	N	N	-	0	2	-	4						
N.H.	-	1	5	9	34	-	1	4	14	18	-	0	1	-	-						
R.I.	-	1	25	13	4	N	0	0	N	N	-	0	0	-	-						
Vt.	-	0	6	5	20	3	2	6	29	81	-	0	0	-	-						
MID. ATLANTIC	5	22	43	312	512	9	19	29	348	394	-	1	6	16	29						
N.J.	-	3	9	3	87	-	0	0	-	-	-	0	3	2	9						
N.Y. (Upstate)	3	7	23	114	249	9	9	20	154	175	-	0	2	5	1						
N.Y. City	-	2	7	29	55	-	0	2	5	24	-	0	2	5	11						
Pa.	2	8	23	166	121	-	8	18	189	195	-	0	2	4	8						
E.N. CENTRAL	2	19	187	564	733	3	3	43	23	29	-	0	3	2	18						
Ill.	-	3	8	47	85	N	0	0	N	N	-	0	3	1	13						
Ind.	-	0	12	20	14	-	0	1	1	5	-	0	2	-	1						
Mich.	1	3	16	60	122	-	1	32	13	14	-	0	1	-	2						
Ohio	1	9	176	437	334	3	1	11	9	10	-	0	2	1	2						
