
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending June 19, 1999 (WEEK 24)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1999
Meningococcal Disease cummulative for 1998
Mumps current week
Mumps cummulative for 1999
Mumps cummulative for 1998
Pertussis current week
Pertussis cummulative for 1999
Pertussis cummulative for 1998
Rubella current week
Rubella cummulative for 1999
Rubella cummulative for 1998

tab delimited data:
test
UNITED STATES	1,258	1,507	5	171	390	30	2,372	2,124	13	130	282										
NEW ENGLAND	69	68	-	3	1	-	253	395	-	5	36										
Maine	4	4	-	-	-	-	-	5	-	-	-										
N.H.	9	8	-	1	-	-	53	28	-	-	-										
Vt.	4	1	-	-	-	-	10	32	-	-	-										
Mass.	43	29	-	2	1	-	179	314	-	5	8										
R.I.	2	3	-	-	-	-	3	3	-	-	-										
Conn.	7	23	U	-	-	U	8	13	U	-	28										
MID. ATLANTIC	112	155	1	21	167	6	552	269	1	14	129										
Upstate N.Y.	33	39	-	5	2	4	491	128	1	11	107										
N.Y. City	27	18	-	3	153	-	10	13	-	-	9										
N.J.	23	36	U	-	5	U	-	8	U	-	12										
Pa.	29	62	1	13	7	2	51	120	-	3	1										
E.N. CENTRAL	195	244	1	22	46	3	167	207	-	-	-										
Ohio	83	82	1	7	19	2	101	71	-	-	-										
Ind.	36	42	-	2	4	1	11	49	-	-	-										
Ill.	50	70	-	6	6	-	35	17	-	-	-										
Mich.	25	26	-	7	17	-	20	32	-	-	-										
Wis.	1	24	U	-	-	U	-	38	U	-	-										
W.N. CENTRAL	145	123	-	5	20	3	61	158	12	71	27										
Minn.	28	19	-	1	10	-	25	86	-	-	-										
Iowa	28	17	-	3	6	1	18	42	3	21	-										
Mo.	57	52	-	1	3	2	15	12	2	2	2										
N. Dak.	3	-	U	-	1	U	-	-	U	-	-										
S. Dak.	8	6	-	-	-	-	2	4	-	-	-										
Nebr.	9	6	-	-	-	-	1	6	7	48	-										
Kans.	12	23	-	-	-	-	-	8	-	-	25										
S. ATLANTIC	214	226	2	34	24	11	136	114	-	17	4										
Del.	3	1	-	-	-	-	-	1	-	-	-										
Md.	33	22	-	3	-	-	36	25	-	1	-										
D.C.	1	-	U	2	-	U	-	1	U	-	-										
Va.	26	22	-	8	4	-	13	6	-	-	-										
W. Va.	4	7	-	-	-	-	1	1	-	-	-										
N.C.	25	33	2	7	7	5	33	42	-	16	3										
S.C.	25	35	-	3	4	1	9	13	-	-	-										
Ga.	36	53	-	1	1	-	16	5	-	-	-										
Fla.	61	53	-	10	8	5	28	20	-	-	1										
E.S. CENTRAL	104	112	-	1	8	1	43	50	-	1	-										
Ky.	29	16	-	-	-	-	3	18	-	-	-										
Tenn.	34	40	-	-	1	-	25	16	-	-	-										
Ala.	24	37	-	1	4	1	11	14	-	1	-										
Miss.	17	19	U	-	3	U	4	2	U	-	-										
W.S. CENTRAL	92	183	-	21	31	-	59	134	-	5	68										
Ark.	19	22	U	-	-	U	4	14	U	-	-										
La.	34	35	-	3	2	-	3	1	-	-	-										
Okla.	16	26	-	1	-	-	7	15	-	-	-										
Tex.	23	100	U	17	29	U	45	104	U	5	68										
MOUNTAIN	87	81	-	12	23	4	242	422	-	14	5										
Mont.	2	2	-	-	-	-	2	1	-	-	-										
Idaho	8	4	-	1	3	1	93	135	-	-	-										
Wyo.	3	3	U	-	1	U	2	7	U	-	-										
Colo.	23	17	-	3	3	2	60	106	-	-	-										
N. Mex.	10	15	N	N	N	1	21	64	-	-	1										
Ariz.	28	28	-	-	4	-	29	69	-	13	1										
Utah	8	8	-	5	3	-	33	22	-	-	2										
Nev.	5	4	U	3	9	U	2	18	U	1	1										
PACIFIC	240	315	1	52	70	2	859	375	-	3	13										
Wash.	37	38	-	2	5	-	479	136	-	-	9										
Oreg.	40	54	N	N	N	-	17	27	-	-	-										
Calif.	155	218	1	44	49	2	353	205	-	3	2										
Alaska	4	1	-	1	2	-	3	2	-	-	-										
Hawaii	4	4	-	5	14	-	7	5	-	-	2										
Guam	-	2	U	1	2	U	1	-	U	-	-										
P.R.	5	6	-	-	1	-	8	2	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	-	2	U	-	1	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


