
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending January 5, 2002 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis cummulative for 2002
Legionellosis cummulative for 2001
Listeriosis cummulative for 2002
Listeriosis cummulative for 2001
Lyme Disease cummulative for 2002
Lyme Disease cummulative for 2001
Malaria cummulative for 2002
Malaria cummulative for 2001
Measles Total cummulative for 2002
Measles Total cummulative for 2001

tab delimited data:
test
UNITED STATES	-	8	-	6	-	31	-	13	-	-											
NEW ENGLAND	-	-	-	2	-	2	-	1	-	-											
Maine	-	-	-	-	-	-	-	-	-	-											
N.H.	-	-	-	-	-	-	-	-	-	-											
Vt.	-	-	-	-	-	-	-	-	-	-											
Mass.	-	-	-	2	-	2	-	1	-	-											
R.I.	-	-	-	-	-	-	-	-	-	-											
Conn.	-	-	-	-	-	-	-	-	-	-											
MID. ATLANTIC	-	2	-	-	-	10	-	3	-	-											
Upstate N.Y.	-	-	-	-	-	-	-	-	-	-											
N.Y. City	-	-	-	-	-	-	-	3	-	-											
N.J.	-	2	-	-	-	10	-	-	-	-											
Pa.	-	-	-	-	-	-	-	-	-	-											
E.N. CENTRAL	-	5	-	-	-	5	-	2	-	-											
Ohio	-	4	-	-	-	-	-	1	-	-											
Ind.	-	-	-	-	-	-	-	-	-	-											
Ill.	-	1	-	-	-	2	-	1	-	-											
Mich.	-	-	-	-	-	-	-	-	-	-											
Wis.	-	-	-	-	U	3	-	-	-	-											
W.N. CENTRAL	-	-	-	1	-	-	-	-	-	-											
Minn.	-	-	-	-	-	-	-	-	-	-											
Iowa	-	-	-	-	-	-	-	-	-	-											
Mo.	-	-	-	-	-	-	-	-	-	-											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	-	-	-	-	-	-	-	-	-	-											
Nebr.	-	-	-	-	-	-	-	-	-	-											
Kans.	-	-	-	1	-	-	-	-	-	-											
S. ATLANTIC	-	-	-	-	-	10	-	1	-	-											
Del.	-	-	-	-	-	1	-	-	-	-											
Md.	-	-	-	-	-	8	-	1	-	-											
D.C.	-	-	-	-	-	1	-	-	-	-											
Va.	-	-	-	-	-	-	-	-	-	-											
W. Va.	N	N	-	-	-	-	-	-	-	-											
N.C.	-	-	-	-	-	-	-	-	-	-											
S.C.	-	-	-	-	-	-	-	-	-	-											
Ga.	-	-	-	-	-	-	-	-	-	-											
Fla.	-	-	-	-	-	-	-	-	-	-											
E.S. CENTRAL	-	-	-	-	-	-	-	-	-	-											
Ky.	-	-	-	-	-	-	-	-	-	-											
Tenn.	-	-	-	-	-	-	-	-	-	-											
Ala.	-	-	-	-	-	-	-	-	-	-											
Miss.	-	-	-	-	-	-	-	-	-	-											
W.S. CENTRAL	-	-	-	-	-	2	-	-	-	-											
Ark.	-	-	-	-	-	-	-	-	-	-											
La.	-	-	-	-	-	-	-	-	-	-											
Okla.	-	-	-	-	-	-	-	-	-	-											
Tex.	-	-	-	-	-	2	-	-	-	-											
MOUNTAIN	-	-	-	-	-	-	-	-	-	-											
Mont.	-	-	-	-	-	-	-	-	-	-											
Idaho	-	-	-	-	-	-	-	-	-	-											
Wyo.	-	-	-	-	-	-	-	-	-	-											
Colo.	-	-	-	-	-	-	-	-	-	-											
N. Mex.	-	-	-	-	-	-	-	-	-	-											
Ariz.	-	-	-	-	-	-	-	-	-	-											
Utah	-	-	-	-	-	-	-	-	-	-											
Nev.	-	-	-	-	-	-	-	-	-	-											
PACIFIC	-	1	-	3	-	2	-	6	-	-											
Wash.	-	-	-	-	-	-	-	-	-	-											
Oreg.	N	N	-	-	-	-	-	1	-	-											
Calif.	-	1	-	3	-	2	-	5	-	-											
Alaska	-	-	-	-	-	-	-	-	-	-											
Hawaii	-	-	-	-	N	N	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	N	N	-	-	-	-											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


