
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 22, 2003 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2002
Giardiasis cummulative for 2003
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2003
Gonorrhea cummulative for 2002

tab delimited data:
test
UNITED STATES	115	178	8	7	8	1	1,605	1,997	38,870	51,997											
NEW ENGLAND	10	9	-	1	-	-	97	228	907	1,268											
Maine	-	-	-	-	-	-	14	25	5	13											
N.H.	2	1	-	-	-	-	11	10	18	14											
Vt.	-	-	-	-	-	-	9	18	15	19											
Mass.	4	3	-	1	-	-	54	127	298	555											
R.I.	-	2	-	-	-	-	9	18	148	141											
Conn.	4	3	-	-	-	-	-	30	423	526											
MID. ATLANTIC	6	12	-	-	2	-	213	362	2,501	5,833											
Upstate N.Y.	4	8	-	-	2	-	83	81	839	684											
N.Y. City	-	-	-	-	-	-	112	127	270	1,972											
N.J.	2	4	-	-	-	-	11	69	685	1,210											
Pa.	N	N	-	-	-	-	7	85	707	1,967											
E.N. CENTRAL	30	60	1	-	3	-	278	467	9,196	10,898											
Ohio	10	12	1	-	3	-	124	127	3,715	3,020											
Ind.	3	4	-	-	-	-	-	-	1,028	1,152											
Ill.	5	20	-	-	-	-	42	138	1,516	3,427											
Mich.	7	9	-	-	-	-	96	123	2,180	2,411											
Wis.	5	15	-	-	-	-	16	79	757	888											
W.N. CENTRAL	19	27	2	2	2	-	174	190	1,934	2,690											
Minn.	8	5	2	2	-	-	48	57	324	487											
Iowa	1	7	-	-	-	-	33	41	41	139											
Mo.	3	6	N	N	N	N	33	48	1,079	1,333											
N. Dak.	1	-	-	-	1	-	4	-	2	9											
S. Dak.	2	1	-	-	-	-	7	9	18	38											
Nebr.	3	5	-	-	-	-	28	17	69	183											
Kans.	1	3	-	-	1	-	21	18	401	501											
S. ATLANTIC	17	25	1	2	-	-	320	395	11,124	12,953											
Del.	-	1	-	-	-	-	6	10	217	269											
Md.	-	-	-	-	-	-	17	18	1,246	1,237											
D.C.	-	-	-	-	-	-	-	8	351	453											
Va.	2	2	-	-	-	-	17	10	1,124	1,382											
W. Va.	-	-	-	-	-	-	-	2	117	146											
N.C.	3	4	-	-	-	-	N	N	2,189	2,496											
S.C.	-	-	-	-	-	-	4	1	1,056	1,224											
Ga.	4	17	-	1	-	-	150	110	2,182	2,445											
Fla.	8	1	1	1	-	-	126	236	2,642	3,301											
E.S. CENTRAL	5	3	-	-	-	-	40	38	4,144	4,661											
Ky.	-	-	-	-	-	-	N	N	579	537											
Tenn.	3	3	-	-	-	-	15	12	1,139	1,562											
Ala.	2	-	-	-	-	-	25	26	1,383	1,653											
Miss.	-	-	-	-	-	-	-	-	1,043	909											
W.S. CENTRAL	1	3	-	-	-	1	27	13	5,589	7,529											
Ark.	1	-	-	-	-	-	19	13	476	665											
La.	-	-	-	-	-	-	-	-	1,580	1,828											
Okla.	-	-	-	-	-	-	8	-	427	568											
Tex.	-	3	-	-	-	1	-	-	3,106	4,468											
MOUNTAIN	14	13	3	1	1	-	185	160	1,157	1,697											
Mont.	-	2	-	-	-	-	3	6	20	25											
Idaho	2	1	2	-	-	-	20	3	12	15											
Wyo.	-	-	-	1	-	-	3	1	10	9											
Colo.	4	2	-	-	1	-	55	65	345	589											
N. Mex.	-	2	1	-	-	-	5	15	52	224											
Ariz.	5	1	N	N	N	N	44	14	577	567											
Utah	3	3	-	-	-	-	43	31	32	2											
Nev.	-	2	-	-	-	-	12	25	109	266											
PACIFIC	13	26	1	1	-	-	271	144	2,318	4,468											
Wash.	5	4	-	-	-	-	19	30	419	467											
Oreg.	1	7	1	1	-	-	52	84	133	140											
Calif.	5	15	-	-	-	-	175	-	1,568	3,672											
Alaska	-	-	-	-	-	-	11	13	77	105											
Hawaii	2	-	-	-	-	-	14	17	121	84											
Guam	N	N	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	-	-											
V.I.	-	-	-	-	-	-	-	-	-	12											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


