
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending July 2, 2011 (WEEK 26)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2011
Rabies, animal cummulative for 2010
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2011
Salmonellosis cummulative for 2010
Shiga toxin-producing E. coli(STEC)† current week
Shiga toxin-producing E. coli(STEC)† previous 52 weeks median 
Shiga toxin-producing E. coli(STEC)† previous 52 weeks maximum 
Shiga toxin-producing E. coli(STEC)† cummulative for 2011
Shiga toxin-producing E. coli(STEC)† cummulative for 2010

tab delimited data:
test
UNITED STATES	16	61	172	1,113	2,095	537	807	1,812	15,104	18,734	61	94	264	1,782	1,872						
NEW ENGLAND	-	4	18	56	136	3	25	209	543	1,310	-	2	27	61	115						
Conn.	-	0	8	-	65	-	0	187	187	491	-	0	27	27	60						
Maine	-	1	3	26	30	2	2	8	53	55	-	0	3	13	4						
Mass.	-	0	0	-	-	-	16	52	204	552	-	0	9	5	33						
N.H.	-	0	6	7	4	1	3	12	67	85	-	0	3	13	12						
R.I.	-	0	3	8	12	-	1	9	10	100	-	0	1	-	1						
Vt.	-	1	3	15	25	-	1	5	22	27	-	0	2	3	5						
MID. ATLANTIC	10	15	33	322	544	63	89	217	1,855	2,293	5	9	30	192	186						
N.J.	-	0	0	-	-	-	16	57	234	455	-	2	9	31	44						
N.Y. (Upstate)	10	7	19	146	239	34	25	63	483	512	2	4	12	63	65						
N.Y. City	-	0	4	7	126	4	21	53	451	545	-	1	6	27	17						
Pa.	-	8	17	169	179	25	32	80	687	781	3	3	13	71	60						
E.N. CENTRAL	1	2	27	33	79	7	81	203	1,452	2,651	1	10	48	175	323						
Ill.	-	1	11	15	33	-	26	61	524	949	-	1	9	18	68						
Ind.	-	0	3	4	-	-	10	61	143	284	-	2	10	36	54						
Mich.	1	1	5	14	27	7	13	49	281	395	1	2	7	54	70						
Ohio	-	0	12	-	19	-	19	42	324	629	-	2	11	44	56						
Wis.	N	0	0	N	N	-	11	50	180	394	-	2	16	23	75						
W.N. CENTRAL	2	2	40	39	124	38	48	121	913	1,143	11	13	49	236	352						
Iowa	-	0	3	-	8	3	9	34	202	186	-	2	16	50	62						
Kans.	1	1	4	17	34	6	7	18	140	169	-	1	7	39	34						
Minn.	U	0	34	-	15	U	4	30	-	323	U	1	20	-	101						
Mo.	-	0	6	-	32	24	16	43	374	294	5	4	14	89	107						
Nebr.	1	0	3	15	29	5	4	13	98	93	4	1	5	39	34						
N. Dak.	-	0	6	7	6	-	0	15	20	13	2	0	10	6	3						
S. Dak.	-	0	0	-	-	-	3	17	79	65	-	1	4	13	11						
S. ATLANTIC	2	20	52	530	596	225	260	624	4,439	4,367	16	18	31	427	265						
Del.	-	0	0	-	-	-	3	11	53	55	-	0	2	6	3						
D.C.	-	0	0	-	-	-	1	7	13	47	-	0	1	1	6						
Fla.	-	0	29	51	121	130	108	226	1,855	1,939	5	6	15	188	82						
Ga.	-	0	0	-	-	17	38	142	747	739	1	2	7	43	39						
Md.	-	6	14	127	182	15	19	54	340	369	3	2	8	42	37						
N.C.	-	0	0	-	-	45	30	241	682	432	5	2	10	53	23						
S.C.	N	0	0	N	N	7	25	99	329	352	-	0	4	13	13						
Va.	-	11	27	298	254	11	20	68	384	355	2	3	9	74	56						
W. Va.	2	0	30	54	39	-	0	14	36	79	-	0	5	7	6						
E.S. CENTRAL	1	3	7	64	102	48	56	175	1,052	1,104	5	5	22	115	100						
Ala.	-	1	7	43	44	17	18	52	288	294	-	1	4	18	24						
Ky.	1	0	4	8	10	13	9	32	167	212	1	1	6	15	15						
Miss.	-	0	0	-	-	-	19	65	287	289	-	0	12	8	10						
Tenn.	-	1	4	13	48	18	16	53	310	309	4	3	12	74	51						
W.S. CENTRAL	-	7	54	49	409	63	111	515	1,758	2,068	1	8	151	123	100						
Ark.	-	0	10	37	13	14	13	43	227	191	1	0	4	16	24						
La.	-	0	0	-	-	-	13	52	141	478	-	0	2	3	9						
Okla.	-	0	30	12	6	-	10	95	164	196	-	1	55	12	7						
Tex.	-	6	30	-	390	49	85	381	1,226	1,203	-	6	95	92	60						
MOUNTAIN	-	0	5	7	26	27	46	113	997	1,191	3	11	33	222	221						
Ariz.	N	0	0	N	N	3	15	43	305	380	-	2	14	44	28						
Colo.	-	0	0	-	-	17	10	24	245	259	-	3	21	55	81						
Idaho	-	0	2	-	1	3	3	9	75	73	2	3	7	43	23						
Mont.	N	0	0	N	N	4	2	6	50	50	1	1	4	16	22						
Nev.	-	0	2	1	2	-	4	21	75	110	-	0	6	16	11						
N. Mex.	-	0	2	4	6	-	6	19	94	117	-	1	6	19	15						
Utah	-	0	3	2	1	-	5	17	129	177	-	1	8	21	31						
Wyo.	-	0	4	-	16	-	1	8	24	25	-	0	3	8	10						
PACIFIC	-	2	15	13	79	63	101	288	2,095	2,607	19	13	46	231	210						
Alaska	-	0	2	9	11	-	1	4	30	42	-	0	1	-	1						
Calif.	-	0	10	-	59	43	75	232	1,581	1,819	9	8	36	153	94						
Hawaii	-	0	0	-	-	6	6	13	147	151	-	0	3	4	15						
Oreg.	-	0	2	4	9	-	7	20	115	291	-	2	11	31	31						
Wash.	-	0	14	-	-	14	15	42	222	304	10	2	20	43	69						
Amer. Samoa	N	0	0	N	N	-	0	1	-	2	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	3	6	6	-	0	0	-	-						
P.R.	2	0	6	20	24	-	6	25	42	266	-	0	0	-	-						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2010 and 2011 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Includes E. coli O157:H7; Shiga toxin positive, serogroup non-O157; and Shiga toxin positive, not serogrouped.


