
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending March 16, 2013 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2013
Shigellosis cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2013
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2013
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2012

tab delimited data:
test
UNITED STATES	50	259	401	1,185	2,409	-	4	12	15	20	-	52	230	53	168						
NEW ENGLAND	-	4	12	25	22	-	0	1	-	-	-	0	3	-	-						
Conn.	-	1	3	4	6	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	2	-	1	-	0	0	-	-	-	0	1	-	-						
Mass.	-	2	10	17	15	-	0	0	-	-	-	0	3	-	-						
N.H.	-	0	1	2	-	-	0	0	-	-	-	0	1	-	-						
R.I.	-	0	5	-	-	-	0	0	-	-	-	0	3	-	-						
Vt.	-	0	1	2	-	-	0	1	-	-	-	0	0	-	-						
MID. ATLANTIC	7	35	73	122	635	-	0	2	1	4	-	1	5	3	16						
N.J.	-	7	35	1	361	-	0	0	-	-	-	0	1	-	-						
N.Y. (Upstate)	6	12	37	49	109	-	0	1	-	-	-	0	3	-	1						
N.Y. City	1	8	21	60	140	-	0	0	-	-	-	0	3	1	4						
Pa.	-	2	6	12	25	-	0	2	1	4	-	0	4	2	11						
E.N. CENTRAL	19	40	118	368	274	-	0	2	-	1	-	4	18	4	15						
Ill.	-	5	17	2	30	-	0	1	-	-	-	2	12	-	6						
Ind.	-	1	17	9	15	-	0	1	-	1	-	1	5	3	2						
Mich.	1	4	14	37	61	-	0	1	-	-	-	0	1	-	-						
