
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending March 4, 2006 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia† current week
Chlamydia† previous 52 weeks median 
Chlamydia† previous 52 weeks maximum 
Chlamydia† cummulative for 2006
Chlamydia† cummulative for 2005
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2006
Coccidioidomycosis cummulative for 2005
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2006
Cryptosporidiosis cummulative for 2005

tab delimited data:
test
UNITED STATES	13,035	18,551	24,089	131,945	162,070	130	95	1,203	994	820	25	69	847	340	303						
NEW ENGLAND	710	604	1,519	4,583	4,685	-	0	0	-	-	-	4	34	15	17						
Conn.	109	150	1,182	615	826	N	0	0	N	N	-	0	14	2	3						
Maine	50	41	74	344	374	N	0	0	N	N	-	0	2	3	1						
Mass.	457	271	417	2,547	2,388	-	0	0	-	-	-	2	16	7	6						
N.H.	10	34	64	274	319	-	0	0	-	-	-	0	3	2	4						
R.I.	56	63	99	570	601	-	0	0	-	-	-	0	5	-	-						
Vt.	28	19	43	233	177	N	0	0	N	N	-	0	5	1	3						
MID. ATLANTIC	1,521	2,264	3,665	15,083	18,994	-	0	0	-	-	4	10	595	65	43						
N.J.	112	362	530	1,451	3,178	N	0	0	N	N	-	0	5	-	1						
N.Y. (Upstate)	539	485	1,711	2,742	3,038	N	0	0	N	N	2	3	562	13	12						
N.Y. City	223	692	1,248	5,303	6,292	N	0	0	N	N	-	2	15	17	13						
Pa.	647	693	1,083	5,587	6,486	N	0	0	N	N	2	4	21	35	17						
E.N. CENTRAL	1,831	3,142	4,098	23,085	25,952	1	0	3	5	2	3	13	162	62	60						
Ill.	786	919	1,748	6,168	6,218	-	0	0	-	-	-	1	16	5	10						
Ind.	356	387	558	3,508	3,604	N	0	0	N	N	-	1	13	3	3						
Mich.	546	550	1,023	5,981	3,846	1	0	3	3	2	-	2	7	12	8						
Ohio	51	812	1,446	5,511	8,710	-	0	1	2	-	3	4	109	35	19						
Wis.	92	380	530	1,917	3,574	N	0	0	N	N	-	4	38	7	20						
W.N. CENTRAL	481	1,122	1,427	8,862	10,234	-	0	3	-	-	7	8	51	39	39						
Iowa	-	143	221	1,293	1,219	N	0	0	N	N	-	1	11	3	8						
Kans.	171	148	269	1,521	1,390	N	0	0	N	N	2	0	5	9	6						
Minn.	1	231	294	1,231	2,229	-	0	3	-	-	3	2	10	18	6						
Mo.	216	435	525	3,400	3,895	-	0	1	-	-	2	2	37	8	17						
Nebr.	-	98	200	674	809	N	0	1	N	N	-	0	2	1	-						
N. Dak.	34	28	48	289	207	N	0	0	N	N	-	0	1	-	-						
S. Dak.	59	51	118	454	485	N	0	0	N	N	-	0	4	-	2						
S. ATLANTIC	2,778	3,377	4,677	25,103	31,008	-	0	1	2	-	8	12	53	107	58						
Del.	80	68	92	629	519	N	0	0	N	N	-	0	2	-	-						
D.C.	-	67	103	212	662	-	0	0	-	-	-	0	3	5	1						
Fla.	759	866	1,027	7,547	7,588	N	0	0	N	N	6	6	28	43	18						
Ga.	12	600	1,710	1,064	4,592	-	0	0	-	-	-	2	12	28	14						
Md.	319	364	525	2,981	2,937	-	0	1	2	-	-	0	4	4	5						
N.C.	634	533	1,743	6,051	6,372	N	0	0	N	N	1	1	10	23	8						
S.C.	453	314	1,418	2,064	3,648	-	0	0	-	-	1	0	4	1	2						
Va.	448	427	841	3,697	4,327	N	0	0	N	N	-	1	8	2	6						
W. Va.	73	47	354	858	363	N	0	0	N	N	-	0	3	1	4						
E.S. CENTRAL	1,266	1,362	2,188	10,996	12,379	-	0	0	-	-	-	3	21	4	8						
Ala.	397	331	1,048	2,838	2,141	N	0	0	N	N	-	0	3	2	4						
Ky.	67	157	323	1,509	2,262	N	0	0	N	N	-	1	20	1	1						
Miss.	285	385	801	2,281	3,985	-	0	0	-	-	-	0	1	-	1						
Tenn.	517	457	624	4,368	3,991	N	0	0	N	N	-	0	4	1	2						
W.S. CENTRAL	1,350	1,978	3,361	13,122	20,177	-	0	1	-	-	1	3	30	22	11						
Ark.	191	170	340	1,347	1,484	-	0	0	-	-	-	0	1	1	-						
La.	17	239	760	363	2,644	N	0	1	N	N	-	0	21	3	2						
Okla.	175	226	2,150	1,738	1,731	N	0	0	N	N	1	0	10	10	4						
Tex.	967	1,315	1,702	9,674	14,318	N	0	0	N	N	-	1	8	8	5						
MOUNTAIN	695	1,098	1,588	7,713	10,498	98	69	204	630	484	2	3	9	14	22						
