
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending May 17, 2008 (WEEK 20)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2008
Pertussis cummulative for 2007
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2008
Rabies, animal cummulative for 2007
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2008
Rocky Mountain Spotted Fever cummulative for 2007

tab delimited data:
test
UNITED STATES	64	158	1,132	2,276	3,424	39	95	177	1,362	2,124	4	31	165	113	305						
NEW ENGLAND	1	20	46	262	555	4	8	22	110	193	-	0	1	-	3						
Conn.	-	0	5	-	24	-	4	10	57	81	-	0	0	-	-						
Maine	-	1	5	14	34	-	1	5	18	31	N	0	0	N	N						
Mass.	-	14	33	222	442	N	0	0	N	N	-	0	1	-	3						
N.H.	-	0	3	8	33	2	1	4	14	15	-	0	1	-	-						
R.I.	1	1	31	13	6	N	0	0	N	N	-	0	0	-	-						
Vt.	-	0	6	5	16	2	2	13	21	66	-	0	0	-	-						
MID. ATLANTIC	9	22	44	291	488	7	19	29	331	354	-	1	5	15	26						
N.J.	-	3	9	3	83	-	0	0	-	-	-	0	3	2	6						
N.Y. (Upstate)	5	8	24	106	238	7	9	20	137	149	-	0	2	5	-						
N.Y. City	-	2	7	29	52	-	0	2	5	24	-	0	2	4	12						
Pa.	4	8	23	153	115	-	8	18	189	181	-	0	2	4	8						
E.N. CENTRAL	13	21	186	539	663	3	3	43	16	16	-	1	4	2	15						
Ill.	-	2	8	39	79	N	0	0	N	N	-	0	3	1	10						
Ind.	-	0	12	15	11	-	0	1	1	3	-	0	2	-	1						
Mich.	-	4	16	54	114	1	1	32	9	7	-	0	1	-	2						
Ohio	13	10	176	431	303	2	1	11	6	6	-	0	2	1	2						
Wis.	-	0	14	-	156	N	0	0	N	N	-	0	0	-	-						
W.N. CENTRAL	17	11	136	190	267	-	4	13	36	77	2	4	33	17	50						
Iowa	-	1	8	27	69	-	0	3	4	8	-	0	4	-	2						
Kans.	-	2	5	23	64	-	0	7	-	45	-	0	2	-	6						
Minn.	15	0	131	20	48	-	0	6	17	4	-	0	4	-	-						
Mo.	2	2	18	96	31	-	0	3	5	6	2	3	25	17	40						
Nebr.	-	1	12	21	10	-	0	0	-	-	-	0	2	-	1						
N. Dak.	-	0	4	-	4	-	0	5	8	6	-	0	0	-	-						
S. Dak.	-	0	3	3	41	-	0	2	2	8	-	0	1	-	1						
S. ATLANTIC	1	14	50	211	386	14	40	61	717	886	-	14	111	44	127						
Del.	-	0	2	2	3	-	0	0	-	-	-	0	2	2	6						
D.C.	-	0	3	5	2	-	0	0	-	-	-	0	3	3	1						
