
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending March 2, 1996 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1996
AIDS § cummulative for 1995
Chlamydia† cummulative for 1996
Escherichia coli O157:H7 NETSS cummulative for 1996
Escherichia coli O157:H7 PHLIS cummulative for 1996
Gonorrhea cummulative for 1996
Gonorrhea cummulative for 1995
Hepatitis C/NA,NB cummulative for 1996
Hepatitis C/NA,NB cummulative for 1995
Legionellosis cummulative for 1996
Legionellosis cummulative for 1995

tab delimited data:
test
UNITED STATES	10,058	11,041	27,287	97	33	44,296	67,917	553	667	102	184										
NEW ENGLAND	454	509	1,668	13	3	1,020	1,012	7	11	4	2										
Maine	8	15	-	2	-	4	10	-	-	1	-										
N.H.	14	11	109	1	1	24	19	-	1	-	-										
Vt.	5	1	-	3	2	16	5	3	-	-	-										
Mass.	250	285	1,153	4	-	396	570	4	10	2	1										
R.I.	17	28	406	2	-	103	104	-	-	1	1										
Conn.	160	169	-	1	-	477	304	-	-	N	N										
MID. ATLANTIC	2,863	2,932	1,128	13	9	3,417	7,954	63	59	16	21										
Upstate N.Y.	324	250	N	8	6	349	1,898	42	22	5	4										
N.Y. City	1,615	1,572	-	-	-	713	2,422	1	1	-	1										
N.J.	554	665	1,128	2	-	506	741	16	29	2	6										
Pa.	370	445	-	N	3	1,849	2,893	4	7	9	10										
E.N. CENTRAL	822	1,121	6,966	12	2	7,748	14,051	59	57	39	66										
Ohio	250	236	1,046	9	-	599	4,627	2	2	18	26										
Ind.	91	80	1,675	2	-	1,375	1,401	2	-	8	12										
Ill.	315	532	-	1	1	2,783	3,422	2	20	1	12										
Mich.	108	215	3,745	-	1	2,644	3,391	53	35	12	7										
Wis.	58	58	500	N	-	347	1,210	-	-	-	9										
W.N. CENTRAL	254	234	2,557	12	10	2,037	3,738	69	15	7	18										
Minn.	56	64	-	1	8	-	546	-	-	-	-										
Iowa	23	14	183	3	1	83	283	46	2	1	2										
Mo.	93	97	1,795	1	-	1,476	2,101	23	9	1	16										
N. Dak.	-	-	-	1	1	-	6	-	-	-	-										
S. Dak.	3	-	191	-	-	25	34	-	1	1	-										
Nebr.	22	20	388	1	-	57	183	-	1	4	-										
Kans.	57	39	-	5	-	396	585	-	2	-	-										
S. ATLANTIC	2,485	2,665	8,031	9	1	18,515	20,204	20	51	11	37										
Del.	72	69	-	-	-	281	355	-	-	-	-										
Md.	198	348	880	N	-	2,366	2,631	-	2	2	8										
D.C.	125	140	N	-	-	753	1,115	-	-	1	2										
Va.	129	233	1,631	N	1	1,192	1,965	1	-	2	1										
W. Va.	19	13	-	N	-	99	106	4	14	1	3										
N.C.	34	160	-	4	-	3,633	4,563	7	13	3	7										
S.C.	93	165	-	1	-	2,189	2,114	1	1	1	5										
Ga.	446	383	1,839	1	-	4,765	3,614	-	7	-	5										
Fla.	1,369	1,154	3,681	-	-	3,237	3,741	7	14	1	6										
E.S. CENTRAL	360	381	1,134	4	1	4,406	8,087	73	266	10	7										
Ky.	66	38	-	-	-	729	917	4	5	2	2										
Tenn.	141	167	1,101	N	1	1,201	2,104	69	260	4	3										
Ala.	90	103	-	-	-	2,329	3,474	-	1	-	1										
Miss.	63	73	33	2	-	147	1,592	-	-	4	1										
W.S. CENTRAL	956	904	993	5	1	2,680	5,478	51	18	-	3										
Ark.	45	45	-	3	-	522	616	-	-	-	-										
La.	225	168	-	N	1	1,481	2,214	8	7	-	1										
Okla.	28	57	993	1	-	677	58	33	9	-	2										
Tex.	658	634	-	1	-	-	2,590	10	2	-	-										
MOUNTAIN	254	434	2,923	9	2	1,163	1,661	128	79	5	20										
Mont.	3	7	-	-	-	3	23	4	3	-	2										
Idaho	4	16	229	2	-	12	26	47	10	-	1										
Wyo.	-	4	120	-	-	8	10	34	32	-	-										
Colo.	85	187	-	3	2	348	530	4	18	4	11										
N. Mex.	20	34	-	-	-	169	218	22	9	-	1										
Ariz.	96	88	1,949	N	-	464	545	13	4	-	1										
Utah	39	30	254	3	-	49	34	4	3	-	2										
Nev.	7	68	371	1	-	110	275	-	-	1	2										
PACIFIC	1,610	1,861	1,887	20	4	3,310	5,732	83	111	10	10										
Wash.	141	147	1,672	4	4	438	477	14	25	-	-										
Oreg.	103	74	-	7	-	46	77	2	6	-	-										
Calif.	1,340	1,549	-	7	-	2,679	4,892	36	72	10	7										
Alaska	3	29	N	-	-	79	174	2	-	-	-										
Hawaii	23	62	215	N	-	68	112	29	8	-	3										
Guam	3	-	-	N	-	-	13	-	-	-	-										
P.R.	255	586	N	N	U	59	100	15	17	-	-										
V.I.	1	-	N	N	U	-	7	-	-	-	-										
Amer. Samoa	-	-	-	N	U	-	6	-	-	-	-										
C.N.M.I.	-	-	N	N	U	-	4	-	-	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1995 and 1996 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


