
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending October 9, 2004 (WEEK 40)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2004
Salmonellosis cummulative for 2003
Shigellosis cummulative for 2004
Shigellosis cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2004
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2004
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003

tab delimited data:
test
UNITED STATES	30,462	32,777	8,896	18,040	3,670	4,616	1,718	1,573	525	532											
NEW ENGLAND	1,647	1,691	233	260	155	399	26	76	54	7											
Maine	69	106	3	6	8	23	2	-	3	-											
N.H.	115	121	7	7	16	27	-	-	N	N											
Vt.	46	56	2	6	8	18	7	6	1	4											
Mass.	949	990	147	174	106	179	N	N	43	N											
R.I.	99	103	18	13	17	11	17	10	7	3											
Conn.	369	315	56	54	-	141	-	60	U	U											
MID. ATLANTIC	4,328	3,870	915	1,884	593	802	108	103	86	79											
Upstate N.Y.	968	897	367	341	195	301	44	54	60	58											
N.Y. City	978	1,071	296	324	82	116	U	U	U	U											
N.J.	678	649	168	304	137	153	-	-	6	2											
Pa.	1,704	1,253	84	915	179	232	64	49	20	19											
E.N. CENTRAL	3,898	4,457	800	1,502	728	1,092	379	346	128	230											
Ohio	1,038	1,096	137	252	193	259	266	225	62	77											
Ind.	467	442	179	124	86	105	113	121	30	22											
Ill.	1,072	1,541	251	812	156	276	-	-	-	90											
Mich.	696	628	103	207	251	313	N	N	N	N											
Wis.	625	750	130	107	42	139	N	N	36	41											
W.N. CENTRAL	1,906	1,920	336	616	252	285	16	12	79	58											
Minn.	467	436	51	87	123	137	-	-	52	41											
Iowa	377	291	61	57	N	N	N	N	N	N											
Mo.	507	711	131	299	54	64	11	8	12	2											
N. Dak.	36	29	3	6	11	15	-	3	2	4											
S. Dak.	98	91	9	13	15	20	5	1	-	-											
Nebr.	123	124	22	77	12	24	-	-	5	5											
Kans.	298	238	59	77	37	25	N	N	8	6											
S. ATLANTIC	8,406	7,990	2,160	5,495	809	761	902	854	40	16											
Del.	81	84	6	155	3	6	4	1	N	N											
Md.	630	668	112	508	130	186	-	18	29	-											
D.C.	46	33	29	64	9	7	5	-	3	6											
Va.	953	800	128	327	63	90	N	N	N	N											
W. Va.	172	107	5	-	20	31	89	59	8	10											
N.C.	1,208	992	270	816	104	92	N	N	U	U											
S.C.	701	552	274	394	37	36	67	122	N	N											
Ga.	1,527	1,545	543	983	256	150	264	190	N	N											
Fla.	3,088	3,209	793	2,248	187	163	473	464	N	N											
E.S. CENTRAL	1,991	2,256	618	740	178	165	112	112	2	-											
Ky.	276	322	56	98	52	41	24	15	N	N											
Tenn.	495	586	304	251	126	124	87	97	N	N											
Ala.	589	556	213	241	-	-	-	-	N	N											
Miss.	631	792	45	150	-	-	1	-	2	-											
W.S. CENTRAL	2,602	4,904	1,964	4,604	224	226	49	61	100	85											
Ark.	428	626	57	93	16	6	7	19	8	6											
La.	571	715	224	387	2	1	42	42	22	17											
Okla.	328	368	370	664	54	71	N	N	36	42											
Tex.	1,275	3,195	1,313	3,460	152	148	N	N	34	20											
MOUNTAIN	1,867	1,705	621	921	417	384	31	5	36	57											
Mont.	172	83	4	2	-	1	-	-	-	-											
Idaho	130	142	12	25	8	18	N	N	N	N											
Wyo.	44	70	5	6	7	2	9	4	-	-											
Colo.	455	397	130	230	118	109	-	-	33	44											
N. Mex.	202	212	95	187	68	93	5	-	-	9											
Ariz.	547	489	298	377	176	131	N	N	N	N											
Utah	183	172	35	37	37	28	15	1	3	4											
Nev.	134	140	42	57	3	2	2	-	-	-											
PACIFIC	3,817	3,984	1,249	2,018	314	502	95	4	-	-											
Wash.	438	426	89	134	53	56	-	-	N	N											
Oreg.	346	349	57	188	N	N	N	N	N	N											
Calif.	2,704	2,994	1,055	1,653	169	346	N	N	N	N											
Alaska	46	54	5	7	-	-	-	-	N	N											
Hawaii	283	161	43	36	92	100	95	4	-	-											
Guam	-	37	-	30	-	-	-	-	-	-											
P.R.	190	514	7	25	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	3	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


