
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending December 27, 1997 (WEEK 52)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1997
Meningococcal Disease cummulative for 1996
Mumps current week
Mumps cummulative for 1997
Mumps cummulative for 1996
Pertussis current week
Pertussis cummulative for 1997
Pertussis cummulative for 1996
Rubella current week
Rubella cummulative for 1997
Rubella cummulative for 1996

tab delimited data:
test
UNITED STATES	3,078	3,437	5	606	751	55	5,461	7,796	3	160	238										
NEW ENGLAND	198	171	-	12	5	6	974	1,866	1	2	27										
Maine	18	15	-	-	-	-	11	55	-	-	-										
N.H.	18	13	-	1	1	3	133	197	-	-	-										
Vt.	4	4	-	-	1	2	256	280	-	-	2										
Mass.	98	71	-	4	1	1	522	1,245	-	1	21										
R.I.	20	18	-	6	1	-	17	40	-	-	-										
Conn.	40	50	-	1	1	-	35	49	1	1	4										
MID. ATLANTIC	318	381	-	57	96	1	384	952	-	31	13										
Upstate N.Y.	73	102	-	12	28	1	152	533	-	4	5										
N.Y. City	45	56	-	3	20	-	62	61	-	27	5										
N.J.	72	79	-	7	4	-	11	31	-	-	2										
Pa.	128	144	-	35	44	-	159	327	-	-	1										
E.N. CENTRAL	456	475	-	80	135	14	517	837	-	5	3										
Ohio	163	159	-	35	52	5	164	289	-	-	-										
Ind.	58	64	-	14	8	9	85	128	-	-	-										
Ill.	148	142	-	13	24	-	124	192	-	2	1										
Mich.	53	51	-	15	48	-	61	59	-	-	2										
Wis.	34	59	-	3	3	-	83	169	-	3	-										
W.N. CENTRAL	229	264	-	18	24	16	579	573	1	2	-										
Minn.	34	39	-	6	7	15	369	433	-	-	-										
Iowa	48	56	-	10	3	-	108	32	-	-	-										
Mo.	104	98	-	-	10	1	68	74	1	2	-										
N. Dak.	2	5	U	-	2	U	2	1	U	-	-										
S. Dak.	5	10	-	-	-	-	5	4	-	-	-										
Nebr.	14	29	-	2	-	-	14	15	-	-	-										
Kans.	22	27	-	-	2	-	13	14	-	-	-										
S. ATLANTIC	555	659	2	85	131	6	436	793	1	83	101										
Del.	5	3	-	-	-	-	1	26	-	-	-										
Md.	42	58	-	10	37	4	124	278	-	-	-										
D.C.	9	5	-	-	-	-	3	4	-	1	1										
Va.	58	67	-	19	19	-	56	108	-	1	2										
W. Va.	18	18	-	-	-	-	6	7	-	-	-										
N.C.	97	79	-	12	27	-	118	186	-	59	86										
S.C.	59	65	-	11	7	-	30	49	-	19	1										
Ga.	105	147	U	10	9	U	13	35	U	-	-										
Fla.	162	217	2	23	32	2	85	100	1	3	11										
E.S. CENTRAL	236	246	-	27	23	-	141	202	-	-	2										
Ky.	48	31	-	3	-	-	61	142	-	-	-										
Tenn.	85	65	-	6	1	-	39	24	-	-	-										
Ala.	84	95	-	9	6	-	33	26	-	-	2										
Miss.	19	55	-	9	16	-	8	10	-	-	N										
W.S. CENTRAL	278	365	-	75	67	-	295	201	-	4	9										
Ark.	32	35	-	1	1	-	60	14	-	-	-										
La.	47	66	-	16	21	-	20	15	-	-	1										
Okla.	44	46	-	-	1	-	48	21	-	-	-										
Tex.	155	218	-	58	44	-	167	151	-	4	8										
MOUNTAIN	185	183	1	57	25	7	1,288	660	-	6	9										
Mont.	9	9	-	-	-	-	19	37	-	-	-										
Idaho	13	25	1	5	-	2	621	115	-	1	2										
Wyo.	4	4	U	1	1	U	7	8	U	-	-										
Colo.	49	44	-	3	5	1	342	336	-	-	3										
N. Mex.	29	27	N	N	N	3	193	64	-	-	-										
Ariz.	46	37	-	33	1	-	41	33	-	5	3										
Utah	16	18	-	8	3	-	26	26	-	-	-										
Nev.	19	19	-	7	15	1	39	41	-	-	1										
PACIFIC	623	693	2	195	245	5	847	1,712	-	27	74										
Wash.	92	116	-	21	26	5	406	830	-	5	15										
Oreg.	126	123	N	N	N	-	10	64	-	-	1										
Calif.	395	437	2	147	185	-	403	780	-	14	55										
Alaska	3	9	-	4	3	-	14	3	-	-	-										
Hawaii	7	8	-	23	31	-	14	35	-	8	3										
Guam	1	5	U	1	10	U	-	-	U	-	-										
P.R.	10	13	-	7	2	-	2	3	-	-	-										
V.I.	-	-	U	-	2	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	4	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 1997 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


