
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending May 12, 2001 (WEEK 19)*

column labels in same order that data fields appears in each record below:
Reporting Area
Gonorrhea cummulative for 2001
Gonorrhea cummulative for 2000
Hepatitis C/NA,NB cummulative for 2001
Hepatitis C/NA,NB cummulative for 2000
Legionellosis cummulative for 2001
Legionellosis cummulative for 2000
Listeriosis cummulative for 2001
Listeriosis cummulative for 2000
Lyme Disease cummulative for 2001
Lyme Disease cummulative for 2000

tab delimited data:
test
UNITED STATES	105,607	121,776	752	8,909	232	244	126	767	1,782												
NEW ENGLAND	2,218	2,366	12	7	10	16	11	225	279												
Maine	48	29	-	-	-	2	-	-	-												
N.H.	46	35	-	-	3	2	-	42	18												
Vt.	30	20	5	3	3	-	-	1	2												
Mass.	1,094	946	7	3	3	9	7	46	105												
R.I.	263	234	-	1	-	-	-	-	-												
Conn.	737	1,102	-	-	1	3	4	136	154												
MID. ATLANTIC	11,000	13,156	26	266	25	58	20	310	1,191												
Upstate N.Y.	2,661	2,236	17	10	16	19	9	248	369												
N.Y. City	4,255	4,197	-	-	4	8	3	-	41												
N.J.	932	2,652	-	243	3	4	5	-	319												
Pa.	3,152	4,071	9	13	2	27	3	62	462												
E.N. CENTRAL	17,709	24,314	78	99	61	70	15	20	61												
Ohio	2,723	6,252	5	3	34	30	4	19	7												
Ind.	2,271	2,133	1	-	5	9	2	1	-												
Ill.	5,423	7,543	3	11	-	8	-	-	5												
Mich.	6,152	5,811	69	85	15	12	8	-	2												
Wis.	1,140	2,575	-	-	7	11	1	U	47												
W.N. CENTRAL	4,965	5,834	201	183	19	12	2	30	28												
Minn.	733	1,144	-	1	1	1	-	19	11												
Iowa	369	390	-	1	5	3	-	3	-												
Mo.	2,576	2,806	197	175	9	5	1	4	11												
N. Dak.	13	18	-	-	-	-	-	-	-												
S. Dak.	81	92	-	-	-	1	-	-	-												
Nebr.	270	467	1	2	3	-	-	2	1												
Kans.	923	917	3	4	1	2	1	2	5												
S. ATLANTIC	28,676	31,665	36	26	37	42	24	139	169												
Del.	587	604	-	2	-	4	-	-	32												
Md.	2,634	3,125	11	2	7	9	2	101	112												
D.C.	1,112	821	-	-	1	-	-	7	-												
Va.	3,163	3,677	-	1	6	3	4	21	13												
W. Va.	194	225	4	3	N	N	2	1	4												
N.C.	5,944	6,271	7	10	4	6	-	5	4												
S.C.	3,240	3,219	3	-	1	2	2	1	-												
Ga.	5,245	5,673	-	-	2	2	7	-	-												
Fla.	6,557	8,050	11	8	16	16	7	3	4												
E.S. CENTRAL	10,723	12,910	89	172	22	6	8	3	3												
Ky.	1,240	1,177	3	16	6	4	2	2	-												
Tenn.	3,408	4,023	27	34	9	1	3	1	2												
Ala.	3,485	4,417	1	6	5	1	3	-	-												
Miss.	2,590	3,293	58	116	2	-	-	-	1												
W.S. CENTRAL	17,408	19,204	144	8,068	3	10	2	1	19												
Ark.	1,742	1,164	3	2	-	-	1	-	-												
La.	4,002	4,732	58	215	2	5	-	1	1												
Okla.	1,716	1,437	2	2	1	1	-	-	-												
Tex.	9,948	11,871	81	7,849	-	4	1	-	18												
MOUNTAIN	3,681	3,768	126	25	19	14	12	3	1												
Mont.	43	14	-	1	-	-	-	-	-												
Idaho	29	31	1	-	-	1	-	1	-												
Wyo.	17	24	101	1	1	-	-	1	1												
Colo.	1,123	1,201	8	5	6	6	1	-	-												
N. Mex.	346	376	9	5	1	1	3	-	-												
Ariz.	1,419	1,521	4	10	6	2	3	-	-												
Utah	33	104	-	-	3	4	1	-	-												
Nev.	671	497	3	3	2	-	4	1	-												
PACIFIC	9,227	8,559	40	63	36	16	32	36	31												
Wash.	1,102	839	12	9	6	7	2	2	-												
Oreg.	121	326	3	14	N	N	1	1	3												
Calif.	7,661	7,115	25	40	27	9	29	33	27												
Alaska	116	110	-	-	-	-	-	-	1												
Hawaii	227	169	-	-	3	-	-	N	N												
Guam	-	-	-	-	-	-	-	-	-												
P.R.	653	201	-	1	2	-	-	N	N												
V.I.	6	-	-	-	-	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	-	U	U												
C.N.M.I.	U	U	U	U	U	U	-	U	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


