
TABLE II. (Part 10)  Provisional cases of selected notifiable diseases, United States, week ending March 16, 2013 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease †, all ages current week
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2013
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2012
Streptococcus pneumoniae, invasive disease †, age <5 years current week
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2013
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2012
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2013
Syphillis, primary & secondary cummulative for 2012

tab delimited data:
test
UNITED STATES	152	251	701	3,938	4,314	8	22	44	214	313	86	293	380	2,297	3,025						
NEW ENGLAND	-	10	35	123	195	-	1	4	2	13	-	7	16	71	113						
Conn.	-	5	21	60	95	-	0	2	-	5	-	0	4	4	22						
Maine	-	2	8	26	28	-	0	1	1	1	-	0	5	-	4						
Mass.	-	0	3	1	9	-	0	2	1	5	-	5	13	50	64						
N.H.	-	1	5	18	24	-	0	1	-	1	-	1	4	7	6						
R.I.	-	0	9	-	21	-	0	1	-	1	-	0	4	8	17						
Vt.	-	1	6	18	18	-	0	0	-	-	-	0	2	2	-						
MID. ATLANTIC	32	36	63	463	619	1	2	5	24	29	11	35	50	316	374						
N.J.	-	3	20	3	189	-	0	3	-	9	-	4	8	15	41						
N.Y. (Upstate)	23	17	39	239	247	1	1	4	15	12	4	4	25	55	31						
N.Y. City	9	14	36	221	183	-	0	3	9	8	2	19	31	153	193						
Pa.	N	-	-	N	N	N	0	0	N	N	5	9	18	93	109						
E.N. CENTRAL	34	57	130	852	875	1	4	12	26	57	-	32	60	164	361						
Ill.	N	0	0	N	N	-	1	3	5	13	-	12	23	40	160						
Ind.	-	13	44	134	203	-	0	2	-	6	-	4	10	28	51						
