
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending August 24, 2002 (WEEK 34)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis cummulative for 2002
Shigellosis cummulative for 2001
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2001
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2001
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2001

tab delimited data:
test
UNITED STATES	9,743	11,590	2,995	2,634	1,508	1,963	160	304													
NEW ENGLAND	190	198	146	169	12	94	2	32													
Maine	3	6	20	10	-	-	-	-													
N.H.	8	4	27	N	-	-	N	N													
Vt.	-	6	9	9	4	7	1	-													
Mass.	120	136	76	54	N	N	N	N													
R.I.	7	15	14	8	8	3	1	3													
Conn.	52	31	-	88	-	84	-	29													
MID. ATLANTIC	668	1,024	482	484	81	127	49	78													
Upstate N.Y.	168	360	227	206	72	123	49	78													
N.Y. City	239	279	122	139	U	U	U	U													
N.J.	148	204	91	93	N	N	N	N													
Pa.	113	181	42	46	9	4	-	-													
E.N. CENTRAL	1,031	2,772	538	623	159	133	65	81													
Ohio	425	1,818	169	159	29	-	1	-													
Ind.	62	153	40	49	125	133	39	39													
Ill.	340	385	105	204	2	-	-	42													
Mich.	107	201	224	160	3	-	N	N													
Wis.	97	215	-	51	N	N	25	-													
W.N. CENTRAL	710	1,047	180	263	154	105	36	48													
Minn.	149	310	95	112	48	49	36	40													
Iowa	75	309	-	-	N	N	N	N													
Mo.	117	183	37	56	6	9	-	-													
N. Dak.	15	16	-	11	1	5	-	8													
S. Dak.	150	117	10	8	1	3	-	-													
Nebr.	141	54	14	31	25	11	N	N													
Kans.	63	58	24	45	73	28	N	N													
S. ATLANTIC	3,774	1,547	594	445	933	1,057	3	4													
Del.	37	7	2	2	3	3	N	N													
Md.	725	93	95	N	N	N	N	N													
D.C.	40	38	6	15	48	5	1	3													
Va.	586	186	57	62	N	N	N	N													
W. Va.	7	7	16	18	34	37	2	1													
N.C.	216	244	102	118	N	N	U	U													
S.C.	65	199	27	8	139	216	N	N													
Ga.	1,016	200	134	144	256	301	N	N													
Fla.	1,082	573	155	78	453	495	N	N													
E.S. CENTRAL	842	997	73	80	103	193	-	-													
Ky.	88	381	13	29	12	23	N	N													
Tenn.	41	63	60	51	91	169	N	N													
Ala.	450	171	-	-	-	1	N	N													
Miss.	263	382	-	-	-	-	-	-													
W.S. CENTRAL	740	1,867	101	237	37	220	3	61													
Ark.	141	426	5	-	6	14	-	-													
La.	100	169	-	1	31	206	1	61													
Okla.	302	31	35	34	N	N	2	-													
Tex.	197	1,241	61	202	N	N	-	-													
MOUNTAIN	435	609	485	282	29	32	2	-													
Mont.	3	2	-	-	-	-	-	-													
Idaho	5	25	6	7	N	N	N	N													
Wyo.	6	3	7	7	9	5	-	-													
Colo.	85	151	160	120	-	-	-	-													
N. Mex.	80	74	75	60	19	25	-	-													
Ariz.	208	262	209	85	-	-	N	N													
Utah	25	43	28	3	1	-	2	-													
Nev.	23	49	-	-	-	2	-	-													
PACIFIC	1,353	1,529	396	51	-	2	-	-													
Wash.	101	131	65	-	-	-	N	N													
Oreg.	66	76	N	N	N	N	N	N													
Calif.	1,147	1,274	279	-	N	N	N	N													
Alaska	3	4	-	-	-	-	N	N													
Hawaii	36	44	52	51	-	2	-	-													
Guam	-	33	-	1	-	-	-	-													
P.R.	5	14	N	N	-	-	N	N													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	-	-	U	U													
C.N.M.I.	17	U	-	U	-	-	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


