
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 11, 1998 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1998
Meningococcal Disease cummulative for 1997
Mumps current week
Mumps cummulative for 1998
Mumps cummulative for 1997
Pertussis current week
Pertussis cummulative for 1998
Pertussis cummulative for 1997
Rubella current week
Rubella cummulative for 1998
Rubella cummulative for 1997

tab delimited data:
test
UNITED STATES	855	1,183	11	118	155	37	938	1,364	4	121	13										
NEW ENGLAND	51	71	-	-	6	4	168	376	-	21	-										
Maine	4	8	-	-	-	1	5	6	-	-	-										
N.H.	1	6	-	-	-	2	18	40	-	-	-										
Vt.	1	2	-	-	-	-	22	127	-	-	-										
Mass.	24	43	-	-	1	1	118	187	-	2	-										
R.I.	3	2	-	-	4	-	-	11	-	-	-										
Conn.	18	10	-	-	1	-	5	5	-	19	-										
MID. ATLANTIC	92	115	-	5	19	2	137	124	2	66	5										
Upstate N.Y.	24	24	-	2	4	2	80	53	2	66	1										
N.Y. City	8	20	U	-	1	U	-	28	U	-	4										
N.J.	24	22	-	-	3	-	-	7	-	-	-										
Pa.	36	49	-	3	11	-	57	36	-	-	-										
E.N. CENTRAL	126	161	1	18	23	4	102	158	-	-	3										
Ohio	53	59	1	10	7	2	38	53	-	-	-										
Ind.	23	17	-	-	4	-	34	11	-	-	-										
Ill.	25	51	-	-	7	2	7	18	-	-	-										
Mich.	12	14	-	8	4	-	13	24	-	-	-										
Wis.	13	20	-	-	1	-	10	52	-	-	3										
W.N. CENTRAL	71	87	5	15	7	9	76	74	-	1	-										
Minn.	6	2	4	8	3	9	50	45	-	-	-										
Iowa	11	21	1	5	3	-	13	7	-	-	-										
Mo.	31	47	-	1	-	-	9	9	-	1	-										
N. Dak.	-	-	-	1	-	-	-	1	-	-	-										
S. Dak.	5	3	-	-	-	-	2	1	-	-	-										
Nebr.	3	4	-	-	1	-	2	2	-	-	-										
Kans.	15	10	U	-	-	U	-	9	U	-	-										
S. ATLANTIC	161	204	2	20	19	2	83	120	1	3	-										
Del.	1	4	-	-	-	-	-	-	-	-	-										
Md.	16	25	-	2	2	1	16	56	1	1	-										
D.C.	-	5	-	-	-	-	-	2	-	-	-										
Va.	15	14	1	4	1	-	6	17	-	-	-										
W. Va.	4	6	-	-	-	-	1	3	-	-	-										
N.C.	22	39	-	6	5	-	38	25	-	1	-										
S.C.	20	31	-	3	1	1	7	4	-	1	-										
Ga.	37	34	-	-	2	-	-	2	-	-	-										
Fla.	46	46	1	5	8	-	15	11	-	-	-										
E.S. CENTRAL	56	86	-	-	11	1	16	32	-	-	-										
Ky.	-	20	-	-	-	-	1	9	-	-	-										
Tenn.	29	27	-	-	3	1	6	10	-	-	-										
Ala.	27	27	-	-	4	-	9	7	-	-	-										
Miss.	-	12	-	-	4	-	-	6	-	-	-										
W.S. CENTRAL	44	105	1	21	16	4	46	23	1	24	-										
Ark.	10	19	-	-	-	-	5	2	-	-	-										
La.	16	21	U	-	5	U	-	6	U	-	-										
Okla.	18	13	-	-	-	-	6	-	-	-	-										
Tex.	-	52	1	21	11	4	35	15	1	24	-										
MOUNTAIN	60	77	1	9	7	6	221	247	-	5	-										
Mont.	2	4	-	-	-	-	1	2	-	-	-										
Idaho	2	5	-	-	2	3	113	140	-	-	-										
Wyo.	3	-	-	1	-	-	-	3	-	-	-										
Colo.	14	21	-	1	2	1	30	77	-	-	-										
N. Mex.	12	13	N	N	N	-	47	12	-	1	-										
Ariz.	21	16	-	2	-	1	18	9	-	1	-										
Utah	5	9	1	1	1	1	9	1	-	2	-										
Nev.	1	9	U	4	2	U	3	3	U	1	-										
PACIFIC	194	277	1	30	47	5	89	210	-	1	5										
Wash.	24	27	-	4	3	5	78	98	-	-	-										
Oreg.	41	61	N	N	N	-	8	5	-	-	-										
Calif.	126	186	1	16	32	-	-	101	-	-	1										
Alaska	1	1	-	2	2	-	-	2	-	-	-										
Hawaii	2	2	U	8	10	U	3	4	U	1	4										
Guam	-	1	U	-	1	U	-	-	U	-	-										
P.R.	1	6	-	2	4	-	2	-	-	-	-										
V.I.	-	-	U	-	-	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


