
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 16, 1999 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1999*
AIDS § cummulative for 1998
Chlamydia† cummulative for 1999
Chlamydia† cummulative for 1998
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 1999
Gonorrhea cummulative for 1999
Gonorrhea cummulative for 1998
Hepatitis C/NA,NB cummulative for 1999
Hepatitis C/NA,NB cummulative for 1998

tab delimited data:
test
UNITED STATES	-	-	9,884	20,836	25	5	6,107	13,254	45	90											
NEW ENGLAND	-	-	106	858	1	1	26	299	-	4											
Maine	-	-	-	2	-	-	-	1	-	-											
N.H.	-	-	18	25	-	-	-	5	-	-											
Vt.	-	-	6	13	-	-	3	-	-	-											
Mass.	-	-	-	389	-	1	-	112	-	4											
R.I.	-	-	81	116	-	-	22	18	-	-											
Conn.	-	-	1	313	1	-	1	163	-	-											
MID. ATLANTIC	-	-	1,180	2,754	1	-	628	1,784	-	2											
Upstate N.Y.	-	-	N	N	1	-	-	118	-	2											
N.Y. City	-	-	838	1,203	-	-	493	655	-	-											
N.J.	-	-	70	389	-	-	51	363	-	-											
Pa.	-	-	272	1,162	N	-	84	648	-	-											
E.N. CENTRAL	-	-	1,293	4,023	12	-	853	2,833	11	28											
Ohio	-	-	349	1,230	12	-	216	626	-	2											
Ind.	-	-	-	301	-	-	123	220	-	1											
Ill.	-	-	762	U	-	-	415	U	-	3											
Mich.	-	-	175	1,161	-	-	81	865	11	22											
Wis.	-	-	7	501	N	-	18	206	-	-											
W.N. CENTRAL	-	-	85	1,263	4	1	34	528	-	10											
Minn.	-	-	9	256	1	1	10	112	-	-											
Iowa	-	-	-	39	3	-	-	13	-	1											
Mo.	-	-	-	491	-	-	-	210	-	9											
N. Dak.	-	-	-	34	-	-	-	2	-	-											
S. Dak.	-	-	55	57	-	-	8	11	-	-											
Nebr.	-	-	-	79	-	-	-	45	-	-											
Kans.	-	-	21	307	-	-	16	135	-	-											
S. ATLANTIC	-	-	3,996	3,475	3	-	2,805	3,071	4	4											
Del.	-	-	83	40	-	-	58	63	-	-											
Md.	-	-	338	295	1	-	221	177	2	2											
D.C.	-	-	N	N	-	-	112	209	-	-											
Va.	-	-	518	173	N	-	653	194	-	-											
W. Va.	-	-	-	131	-	-	-	38	-	-											
N.C.	-	-	763	578	2	-	704	489	-	2											
S.C.	-	-	1,822	596	-	-	659	529	-	-											
Ga.	-	-	-	1,062	-	-	-	857	-	-											
Fla.	-	-	472	600	-	-	398	515	2	-											
E.S. CENTRAL	-	-	522	1,394	1	-	503	1,575	1	1											
Ky.	-	-	-	160	-	-	-	116	-	-											
Tenn.	-	-	25	520	-	-	12	552	-	1											
Ala.	-	-	497	404	1	-	491	597	1	-											
Miss.	-	-	-	310	-	-	-	310	-	-											
W.S. CENTRAL	-	-	975	2,439	-	-	827	1,809	-	-											
Ark.	-	-	144	81	-	-	45	132	-	-											
La.	-	-	691	399	-	-	697	423	-	-											
Okla.	-	-	140	311	-	-	85	189	-	-											
Tex.	-	-	-	1,648	-	-	-	1,065	-	-											
MOUNTAIN	-	-	540	771	2	1	182	304	4	8											
Mont.	-	-	-	6	-	-	-	-	-	-											
Idaho	-	-	-	58	-	-	-	7	1	3											
Wyo.	-	-	-	22	-	-	-	1	-	1											
Colo.	-	-	221	157	2	1	56	147	1	1											
N. Mex.	-	-	-	87	-	-	-	22	2	1											
Ariz.	-	-	303	269	-	-	123	101	-	-											
Utah	-	-	16	100	-	-	3	13	-	2											
Nev.	-	-	-	72	-	-	-	13	-	-											
PACIFIC	-	-	1,187	3,859	1	2	249	1,051	25	33											
Wash.	-	-	-	391	-	1	-	61	-	-											
Oreg.	-	-	-	308	-	1	-	49	-	-											
Calif.	-	-	1,158	3,029	1	-	246	911	25	33											
Alaska	-	-	28	46	-	-	3	10	-	-											
Hawaii	-	-	1	85	N	-	-	20	-	-											
Guam	-	-	-	7	N	-	-	1	-	-											
P.R.	-	-	U	U	-	U	10	30	-	-											
V.I.	-	-	N	N	N	U	U	U	U	U											
Amer. Samoa	-	-	U	U	N	U	U	U	U	U											
C.N.M.I.	-	-	N	N	N	U	-	5	-	-											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


