
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending October 21, 2000 (WEEK 42)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 2000
H. influenzae, Invasive cummulative for 1999
Hepatitis (Viral), Type A cummulative for 2000
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type B cummulative for 2000
Hepatitis (Viral), Type B cummulative for 1999
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 2000
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 2000
Measles (Rubeola), Total cummulative for 2000
Measles (Rubeola), Total cummulative for 1999

tab delimited data:
test
UNITED STATES	925	969	9,768	13,242	5,457	5,580	-	54	-	18	72	83									
NEW ENGLAND	82	76	291	273	84	124	-	2	-	4	6	11									
Maine	1	5	17	11	5	1	-	-	-	-	-	-									
N.H.	12	15	18	14	15	13	-	2	-	1	3	1									
Vt.	6	5	8	18	6	3	-	-	-	3	3	-									
Mass.	36	29	107	102	12	41	-	-	-	-	-	8									
R.I.	4	5	22	16	18	28	-	-	-	-	-	-									
Conn.	23	17	119	112	28	38	-	-	-	-	-	2									
MID. ATLANTIC	146	167	937	997	719	714	-	14	-	5	19	5									
Upstate N.Y.	79	67	189	220	114	153	-	9	-	-	9	2									
N.Y. City	30	53	277	334	357	217	-	5	-	4	9	3									
N.J.	28	42	154	128	57	110	-	-	-	-	-	-									
Pa.	9	5	317	315	191	234	-	-	-	1	1	-									
E.N. CENTRAL	118	159	1,137	2,480	576	603	-	8	-	-	8	2									
Ohio	45	52	224	554	93	81	-	2	-	-	2	-									
Ind.	26	21	90	89	41	35	-	-	-	-	-	1									
Ill.	40	65	417	641	106	52	-	4	-	-	4	-									
Mich.	7	16	393	1,129	335	407	-	2	-	-	2	1									
Wis.	-	5	13	67	1	28	U	-	U	-	-	-									
W.N. CENTRAL	59	59	700	649	572	224	-	2	-	1	3	1									
Minn.	32	38	173	63	35	40	-	-	-	1	1	1									
Iowa	1	2	65	116	28	36	-	2	-	-	2	-									
Mo.	17	6	335	391	450	123	-	-	-	-	-	-									
N. Dak.	1	1	3	2	2	-	-	-	-	-	-	-									
S. Dak.	1	2	1	9	1	1	-	-	-	-	-	-									
Nebr.	3	4	30	43	34	17	-	-	-	-	-	-									
Kans.	4	6	93	25	22	7	-	-	-	-	-	-									
S. ATLANTIC	250	205	1,223	1,533	1,032	915	-	3	-	-	3	15									
Del.	-	-	-	2	-	1	-	-	-	-	-	-									
Md.	68	53	189	257	100	126	-	-	-	-	-	-									
D.C.	-	4	23	54	27	22	-	-	-	-	-	-									
Va.	35	16	129	142	137	75	-	2	-	-	2	13									
W. Va.	9	7	52	33	11	22	-	-	-	-	-	-									
N.C.	20	29	121	134	205	194	-	-	-	-	-	-									
S.C.	15	5	69	40	13	61	-	-	-	-	-	-									
Ga.	57	55	224	407	162	136	-	-	-	-	-	-									
Fla.	46	36	416	464	377	278	-	1	-	-	1	2									
E.S. CENTRAL	39	53	324	331	365	395	-	-	-	-	-	2									
Ky.	12	6	41	63	60	39	-	-	-	-	-	2									
Tenn.	18	29	119	128	177	190	-	-	-	-	-	-									
Ala.	8	15	52	48	47	78	-	-	-	-	-	-									
Miss.	1	3	112	92	81	88	-	-	-	-	-	-									
W.S. CENTRAL	56	54	1,551	2,574	626	961	-	-	-	-	-	11									
Ark.	2	2	104	46	72	64	-	-	-	-	-	4									
La.	11	12	55	191	87	156	-	-	-	-	-	-									
Okla.	41	36	227	426	133	121	-	-	-	-	-	-									
Tex.	2	4	1,165	1,911	334	620	-	-	-	-	-	7									
MOUNTAIN	88	92	801	1,046	435	481	-	11	-	1	12	1									
Mont.	1	2	7	17	7	17	-	-	-	-	-	-									
Idaho	4	1	22	36	7	25	-	-	-	-	-	-									
Wyo.	1	1	39	8	25	12	-	-	-	-	-	-									
Colo.	14	13	173	193	81	83	-	1	-	1	2	-									
N. Mex.	19	18	62	43	91	150	-	-	-	-	-	-									
Ariz.	37	48	396	579	164	119	-	-	-	-	-	1									
Utah	10	6	46	45	19	28	-	3	-	-	3	-									
Nev.	2	3	56	125	41	47	-	7	-	-	7	-									
PACIFIC	87	104	2,804	3,359	1,048	1,163	-	14	-	7	21	35									
Wash.	5	5	241	279	91	58	-	2	-	1	3	5									
Oreg.	25	35	146	213	90	92	-	-	-	-	-	12									
Calif.	28	50	2,395	2,837	849	985	-	11	-	3	14	17									
Alaska	6	6	9	10	8	15	-	1	-	-	1	-									
Hawaii	23	8	13	20	10	13	-	-	-	3	3	1									
Guam	-	-	-	1	-	2	U	-	U	-	-	1									
P.R.	4	2	197	261	213	193	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


