
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending January 7, 2006 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant, all ages cummulative for 2006
Streptococcus pneumoniae, invasive disease, drug resistant, all ages cummulative for 2005
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2006
Syphillis, primary & secondary cummulative for 2005
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2006
Varicella (chickenpox) cummulative for 2005

tab delimited data:
test
UNITED STATES	30	45	91	30	49	18	159	210	18	126	211	502	1,756	211	377						
NEW ENGLAND	-	2	12	-	7	1	4	11	1	3	1	46	1,114	1	118						
Conn.	U	0	0	U	U	-	0	7	-	-	U	0	0	U	U						
Maine	N	0	0	N	N	-	0	1	-	-	-	1	19	-	22						
Mass.	-	1	6	-	7	1	2	7	1	3	-	35	86	-	95						
N.H.	-	0	0	-	-	-	0	2	-	-	1	2	1,110	1	-						
R.I.	-	0	7	-	-	-	0	6	-	-	-	0	0	-	-						
Vt.	-	0	2	-	-	-	0	1	-	-	-	1	14	-	1						
MID. ATLANTIC	2	3	10	2	2	1	20	31	1	18	74	105	211	74	18						
N.J.	N	0	0	N	N	-	2	7	-	4	-	0	0	-	-						
N.Y. (Upstate)	-	1	9	-	-	-	2	7	-	-	-	0	0	-	-						
N.Y. City	U	0	0	U	U	-	12	20	-	14	-	0	0	-	-						
Pa.	2	2	9	2	2	1	3	7	1	-	74	105	211	74	18						
E.N. CENTRAL	10	11	31	10	7	3	16	40	3	8	45	124	460	45	114						
Ill.	-	0	2	-	-	-	7	30	-	-	-	2	5	-	-						
Ind.	-	3	16	-	-	-	1	5	-	-	-	0	245	-	-						
Mich.	1	1	7	1	1	-	1	8	-	-	45	81	351	45	68						
Ohio	9	7	20	9	6	3	4	11	3	8	-	27	102	-	46						
Wis.	N	0	0	N	N	-	0	4	-	-	-	8	27	-	-						
W.N. CENTRAL	-	1	15	-	1	-	5	10	-	7	69	10	70	69	2						
Iowa	N	0	0	N	N	-	0	1	-	-	N	0	0	N	N						
Kans.	N	0	0	N	N	-	0	2	-	-	-	0	0	-	-						
Minn.	-	0	15	-	-	-	1	5	-	1	-	0	0	-	-						
Mo.	-	0	3	-	1	-	3	6	-	6	69	7	69	69	-						
Nebr.	-	0	1	-	-	-	0	1	-	-	-	0	0	-	-						
N. Dak.	-	0	1	-	-	-	0	1	-	-	-	0	25	-	-						
S. Dak.	-	0	1	-	-	-	0	1	-	-	-	1	23	-	2						
S. ATLANTIC	18	19	40	18	29	9	39	86	9	28	22	45	193	22	58						
Del.	-	0	1	-	-	1	0	2	1	-	-	0	4	-	-						
D.C.	-	0	4	-	-	-	2	7	-	1	-	0	6	-	-						
Fla.	12	11	34	12	15	8	16	29	8	13	-	0	0	-	-						
Ga.	6	5	18	6	14	-	7	43	-	-	-	0	0	-	-						
Md.	-	0	0	-	-	-	6	18	-	6	-	0	0	-	-						
N.C.	N	0	0	N	N	-	4	17	-	8	-	0	0	-	-						
S.C.	-	0	0	-	-	-	1	8	-	-	-	9	41	-	2						
Va.	N	0	0	N	N	-	2	11	-	-	-	7	135	-	5						
W. Va.	-	2	8	-	-	-	0	1	-	-	22	17	61	22	51						
E.S. CENTRAL	-	3	10	-	-	1	10	18	1	6	-	0	0	-	-						
Ala.	-	0	0	-	-	-	3	10	-	-	-	0	0	-	-						
Ky.	-	0	5	-	-	1	1	4	1	-	N	0	0	N	N						
Miss.	-	0	0	-	-	-	0	5	-	-	-	0	0	-	-						
Tenn.	-	2	8	-	-	-	4	11	-	6	-	0	0	-	-						
W.S. CENTRAL	-	1	13	-	3	1	24	38	1	24	-	129	304	-	12						
Ark.	-	0	2	-	-	-	1	6	-	-	-	0	11	-	-						
La.	-	1	11	-	3	-	3	17	-	4	-	0	32	-	1						
Okla.	N	0	0	N	N	1	1	6	1	2	-	0	0	-	-						
Tex.	N	0	0	N	N	-	18	30	-	18	-	121	304	-	11						
MOUNTAIN	-	1	28	-	-	2	7	17	2	4	-	48	118	-	55						
