
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 27, 1999 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1999*
AIDS § cummulative for 1998
Chlamydia† cummulative for 1999
Chlamydia† cummulative for 1998
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 1999
Gonorrhea cummulative for 1999
Gonorrhea cummulative for 1998
Hepatitis C/NA,NB cummulative for 1999
Hepatitis C/NA,NB cummulative for 1998

tab delimited data:
test
UNITED STATES	3,137	7,332	69,253	86,363	151	37	40,072	52,365	353	524											
NEW ENGLAND	158	198	2,114	3,243	23	11	638	926	40	17											
Maine	3	4	99	157	1	-	9	7	-	-											
N.H.	3	10	138	147	1	-	12	19	-	-											
Vt.	-	8	69	40	-	-	7	1	1	2											
Mass.	124	70	1,381	1,339	15	7	471	336	39	15											
R.I.	9	22	341	387	-	-	93	52	-	-											
Conn.	19	84	86	1,173	6	4	46	511	-	-											
MID. ATLANTIC	489	2,103	10,460	12,255	10	-	5,521	7,340	15	40											
Upstate N.Y.	17	299	N	N	8	-	405	1,024	15	38											
N.Y. City	237	1,154	5,717	5,342	-	-	2,866	2,496	-	-											
N.J.	162	284	616	1,794	2	-	262	1,165	-	-											
Pa.	73	366	4,127	5,119	N	-	1,988	2,655	-	2											
E.N. CENTRAL	179	509	11,617	13,229	33	4	8,217	10,278	85	75											
Ohio	38	94	3,788	4,519	21	3	2,248	2,696	-	3											
Ind.	25	79	-	-	5	-	726	988	-	1											
Ill.	77	247	4,294	3,082	2	-	2,724	2,879	1	10											
Mich.	22	57	3,092	3,473	5	-	2,324	2,878	84	61											
Wis.	17	32	443	2,155	N	1	195	837	-	-											
W.N. CENTRAL	110	147	2,273	5,432	30	9	793	2,145	2	74											
Minn.	20	22	761	1,086	14	8	298	376	-	-											
Iowa	3	9	294	534	5	1	97	154	-	2											
Mo.	72	77	-	1,892	1	-	-	912	2	71											
N. Dak.	-	3	-	147	2	-	-	12	-	-											
S. Dak.	-	5	277	275	-	-	23	44	-	-											
Nebr.	6	14	349	476	2	-	161	175	-	-											
Kans.	9	17	592	1,022	6	-	214	472	-	1											
S. ATLANTIC	883	1,855	18,196	16,307	16	5	13,751	13,373	32	15											
Del.	13	36	476	325	1	-	273	228	-	-											
Md.	81	239	1,258	1,127	2	-	1,117	1,328	15	2											
D.C.	8	189	N	N	-	-	484	487	-	-											
Va.	54	112	2,131	1,812	5	-	1,810	1,092	6	1											
W. Va.	10	19	373	775	-	1	81	248	2	-											
N.C.	69	107	3,609	3,033	2	2	3,255	2,685	-	5											
S.C.	60	126	4,134	2,733	1	1	2,184	1,871	1	-											
Ga.	111	228	1,993	3,679	1	-	1,468	3,059	-	3											
Fla.	477	799	4,222	2,823	4	1	3,079	2,375	8	4											
E.S. CENTRAL	157	289	5,247	5,974	7	-	4,789	6,008	22	17											
Ky.	15	39	-	965	-	-	-	624	-	4											
Tenn.	64	104	2,141	2,088	5	-	1,772	1,856	21	11											
Ala.	31	86	2,017	1,473	2	-	1,987	1,995	1	2											
Miss.	47	60	1,089	1,448	-	-	1,030	1,533	-	-											
W.S. CENTRAL	532	885	4,517	11,921	5	-	3,276	7,631	15	12											
Ark.	19	33	748	467	2	-	328	833	-	2											
La.	27	148	2,531	1,858	1	-	2,286	1,649	6	-											
Okla.	6	52	1,238	1,213	1	-	662	670	-	-											
Tex.	480	652	-	8,383	1	-	-	4,479	9	10											
MOUNTAIN	45	199	3,085	4,210	8	1	792	1,202	35	66											
Mont.	-	8	186	107	-	-	3	6	4	4											
Idaho	4	5	245	291	-	-	18	24	3	17											
Wyo.	-	-	-	126	1	-	-	9	12	18											
Colo.	26	39	928	963	2	1	261	410	4	5											
N. Mex.	4	36	728	666	1	-	135	125	4	9											
Ariz.	4	61	764	1,521	2	-	349	521	7	-											
Utah	4	26	234	266	2	-	26	31	1	7											
Nev.	3	24	U	270	U	-	U	76	U	6											
PACIFIC	584	1,147	11,744	13,792	19	7	2,295	3,462	107	208											
Wash.	29	73	1,922	1,614	1	2	333	287	2	2											
Oreg.	15	31	682	927	7	5	85	144	-	1											
Calif.	525	1,028	8,679	10,657	11	-	1,796	2,917	105	171											
Alaska	5	-	264	282	-	-	48	51	-	-											
Hawaii	10	15	197	312	-	-	33	63	-	34											
Guam	1	-	-	43	N	-	-	4	-	-											
P.R.	92	271	U	U	1	U	51	79	-	-											
V.I.	-	8	N	N	N	U	U	U	U	U											
Amer. Samoa	-	-	U	U	N	U	U	U	U	U											
C.N.M.I.	-	-	N	N	N	U	-	7	-	-											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


