
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending July 28, 2007 (WEEK 30)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	69	94	261	3,341	3,593	18	29	108	945	814											
NEW ENGLAND	7	6	27	282	230	-	3	11	70	70											
Conn.	7	0	23	91	59	-	0	6	-	23											
Maine	-	0	3	20	12	-	0	1	1	-											
Mass.	-	3	12	129	122	-	2	6	54	41											
N.H.	-	1	4	27	24	-	0	2	7	6											
R.I.	-	0	12	-	4	-	0	3	6	-											
Vt.	-	0	2	15	9	-	0	1	2	-											
MID. ATLANTIC	9	15	41	628	677	5	4	20	114	120											
N.J.	-	2	9	80	115	-	1	4	19	44											
N.Y. (Upstate)	6	5	27	214	219	5	2	15	72	63											
N.Y. City	-	3	12	148	121	-	1	3	23	13											
Pa.	3	5	11	186	222	N	0	0	N	N											
E.N. CENTRAL	2	17	32	570	710	1	5	14	153	214											
Ill.	-	4	13	141	217	-	1	6	35	59											
Ind.	2	2	17	93	82	-	0	10	14	31											
Mich.	-	3	10	139	149	-	1	4	54	51											
Ohio	-	4	14	171	181	1	1	7	42	43											
Wis.	-	1	6	26	81	-	0	2	8	30											
W.N. CENTRAL	6	5	32	226	238	2	2	8	71	61											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	1	0	3	28	45	-	0	1	1	10											
Minn.	5	0	29	116	111	2	1	6	51	34											
Mo.	-	2	6	51	45	-	0	2	13	11											
Nebr.	-	0	3	15	21	-	0	2	5	4											
N. Dak.	-	0	2	10	8	-	0	2	1	2											
S. Dak.	-	0	2	6	8	-	0	0	-	-											
S. ATLANTIC	28	21	51	815	786	3	3	14	188	52											
Del.	1	0	2	7	7	-	0	0	-	-											
D.C.	-	0	3	8	9	-	0	1	-	-											
Fla.	11	6	16	193	177	2	0	5	43	-											
Ga.	4	5	12	153	166	-	0	5	45	-											
Md.	2	4	9	147	151	-	1	6	44	43											
N.C.	8	0	22	119	117	-	0	0	-	-											
S.C.	-	1	7	69	53	1	0	3	24	-											
Va.	2	2	11	99	86	-	0	3	27	-											
W. Va.	-	0	3	20	20	-	0	4	5	9											
E.S. CENTRAL	4	4	13	143	150	2	1	6	55	15											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	31	35	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	3	15											
Tenn.	4	3	13	112	115	2	0	6	52	-											
W.S. CENTRAL	8	6	90	206	269	2	4	43	139	135											
Ark.	-	0	2	16	20	-	0	2	7	16											
La.	-	0	4	14	13	-	0	4	22	16											
Okla.	2	2	23	52	70	1	1	13	35	26											
Tex.	6	3	64	124	166	1	1	27	75	77											
MOUNTAIN	4	10	23	387	471	2	4	12	132	132											
Ariz.	2	5	11	156	240	2	2	7	76	75											
Colo.	2	3	9	113	83	-	1	4	32	32											
Idaho	-	0	2	8	7	-	0	1	2	1											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	2	-	-	0	1	1	2											
N. Mex.	-	1	5	35	91	-	0	4	17	22											
Utah	-	2	7	68	47	-	0	2	4	-											
Wyo.	-	0	1	5	3	-	0	0	-	-											
PACIFIC	1	3	9	84	62	1	0	4	23	15											
Alaska	1	0	3	21	N	1	0	2	21	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	9	63	62	-	0	2	2	15											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	-	-	U	U	U	-	-	U	U											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


